name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
SeaSonic PRIME SNOWSILENT,,ATX,0.925531914893617,0.1891891891891892,1.0,White,gold,Full,550
be quiet! Pure Power 10 CM,,ATX,0.9042553191489362,0.10810810810810811,0.6000000000000001,,silver,Semi,400
OCZ ZT,,ATX,0.8723404255319148,0.24324324324324326,1.0,,bronze,Full,650
Zalman ZM1000-HP,,ATX,0.851063829787234,0.43243243243243246,1.0,,plus,Full,1000
PC Power & Cooling Silencer MK III,,ATX,0.8723404255319148,0.21621621621621623,0.6000000000000001,,bronze,Semi,600
Cooler Master Silent Pro M,,ATX,0.8723404255319148,0.43243243243243246,0.6000000000000001,,bronze,Semi,1000
Rosewill Green,,ATX,0.851063829787234,0.23243243243243245,0.0,,plus,False,630
SeaSonic PRIME Titanium,,ATX,1.0,0.43243243243243246,1.0,,titanium,Full,1000
Montech GAMMA II,,ATX,0.925531914893617,0.1891891891891892,0.0,Black,gold,False,550
be quiet! Dark Power Pro 10,,ATX,0.925531914893617,0.1891891891891892,0.6000000000000001,,gold,Semi,550
be quiet! Dark Power Pro 10,,ATX,0.925531914893617,0.24324324324324326,0.6000000000000001,,gold,Semi,650
be quiet! Dark Power Pro 10,,ATX,0.925531914893617,0.2972972972972973,0.6000000000000001,,gold,Semi,750
SeaSonic PRIME Gold,,ATX,0.925531914893617,0.24324324324324326,1.0,,gold,Full,650
Thermaltake Toughpower DPS G RGB Titanium,,ATX,1.0,0.35135135135135137,1.0,,titanium,Full,850
Super Flower Leadex III Super Pro,,ATX,0.8723404255319148,0.24324324324324326,1.0,Black,bronze,Full,650
Cooler Master Silent Pro M2,,ATX,0.8723404255319148,0.22702702702702704,0.6000000000000001,,bronze,Semi,620
Silverstone Strider,,ATX,0.925531914893617,0.2702702702702703,0.0,,gold,False,700
Deepcool DN400,,ATX,0.0,0.10810810810810811,0.0,,white,False,400
Ultra LSP750,,ATX,0.0,0.2972972972972973,0.0,,white,False,750
FSP Group Hydro X,,ATX,0.925531914893617,0.1891891891891892,0.0,,gold,False,550
Cooler Master V Gold,,ATX,0.925531914893617,0.2972972972972973,1.0,Black,gold,Full,750
FSP Group Raider 650,,ATX,0.8723404255319148,0.24324324324324326,0.0,,bronze,False,650
be quiet! Pure Power L8,,ATX,0.8723404255319148,0.16216216216216217,0.0,,bronze,False,500
XFX P1-550S-XXB9,,ATX,0.8723404255319148,0.1891891891891892,0.0,,bronze,False,550
FSP Group Berserker 500,,ATX,0.8723404255319148,0.16216216216216217,0.0,,bronze,False,500
Thermaltake Litepower,,ATX,0.0,0.08108108108108109,0.0,,white,False,350
Cooler Master MWE 400,,ATX,0.851063829787234,0.10810810810810811,0.0,Black,plus,False,400
LEPA MaxBron,,ATX,0.8723404255319148,0.32432432432432434,0.6000000000000001,,bronze,Semi,800
SeaSonic S12G,,ATX,0.925531914893617,0.1891891891891892,0.0,,gold,False,550
Rosewill PHOTON-1050,,ATX,0.925531914893617,0.45945945945945943,1.0,,gold,Full,1050
Silverstone Strider,,ATX,0.9042553191489362,0.21621621621621623,1.0,,silver,Full,600
