name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
Thermaltake TR2,,ATX,0.925531914893617,0.2702702702702703,0.0,,gold,False,700
Cooler Master New GX,,ATX,0.851063829787234,0.1891891891891892,0.0,,plus,False,550
CoolMax ZU-500B,,ATX,0.8723404255319148,0.16216216216216217,0.6000000000000001,,bronze,Semi,500
Antec Earthwatts Green,,ATX,0.8723404255319148,0.08108108108108109,0.0,,bronze,False,350
Thermaltake Toughpower DPS G RGB,,ATX,1.0,0.5675675675675675,1.0,,titanium,Full,1250
Thermaltake Toughpower DPS G RGB Titanium,,ATX,1.0,0.43243243243243246,1.0,,titanium,Full,1000
XFX XT,,ATX,0.8723404255319148,0.10810810810810811,0.0,,bronze,False,400
Thermaltake Toughpower XT,,ATX,0.8723404255319148,0.36486486486486486,1.0,,bronze,Full,875
Cooler Master Extreme 2,,ATX,0.0,0.17567567567567566,0.0,,white,False,525
Enermax TRIATHLOR ECO,,ATX,0.8723404255319148,0.32432432432432434,0.6000000000000001,,bronze,Semi,800
Super Flower Leadex Titanium,,ATX,1.0,0.2972972972972973,1.0,Black,titanium,Full,750
Athena Power AP-MFATX30,,Mini ITX,0.8723404255319148,0.05405405405405406,0.0,,bronze,False,300
Athena Power AP-MFATX22,,Mini ITX,0.0,0.010810810810810811,0.0,,white,False,220
Apevia Beast,,ATX,0.0,0.1891891891891892,0.0,,white,False,550
