name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
Antec Earthwatts Green,,ATX,80.0,430,0.0,,plus,False
Antec True Power,,ATX,82.0,1000,10.0,,bronze,Full
Apevia ATX-AS500W-BK,,ATX,0.0,500,0.0,,white,False
Apevia ATX-AS520W-BK,,ATX,0.0,520,0.0,,white,False
Apevia ATX-AS600W-BL,,ATX,0.0,600,0.0,,white,False
Apevia ATX-IB680W-BL,,ATX,0.0,680,0.0,,white,False
Apevia ATX-IB680W-GN,,ATX,0.0,680,0.0,,white,False
Mushkin MKNPSJL800,,ATX,85.0,800,0.0,,silver,False
HEC HEC350TEWX,,ATX,80.0,350,0.0,,plus,False
HEC X-Power Pro 600,,ATX,0.0,600,0.0,,white,False
CoolMax CA-300,,ATX,0.0,300,0.0,,white,False
VisionTek 900349,,ATX,82.0,800,0.0,,bronze,False
CoolMax NW-650B,,ATX,0.0,650,0.0,,white,False
OCZ StealthXstream II,,ATX,80.0,500,0.0,,plus,False
OCZ EliteXStream,,ATX,80.0,800,0.0,,plus,False
Rosewill RX750-S-B,,ATX,80.0,750,0.0,,plus,False
Silverstone DA750,,ATX,0.0,750,10.0,,white,Full
Silverstone Strider,,ATX,82.0,650,0.0,,bronze,False
Silverstone Strider,,ATX,82.0,750,0.0,,bronze,False
Zalman ZM660-XT,,ATX,82.0,660,10.0,,bronze,Full
SeaSonic X,,ATX,87.0,560,10.0,,gold,Full
Enermax NAXN ADV.,,ATX,82.0,650,6.0,,bronze,Semi
FSP Group AURUM S 500W,,ATX,87.0,500,0.0,,gold,False
Rosewill Quark 750,,ATX,90.0,750,10.0,,platinum,Full
Antec Earthwatts,,ATX,90.0,450,0.0,,platinum,False
Antec Earthwatts,,ATX,82.0,550,0.0,,bronze,False
Enermax ERV1000EWT-G,,ATX,87.0,1000,6.0,,gold,Semi
GameMax GM,,ATX,87.0,1650,0.0,Black,gold,False
SeaSonic M12II 850 EVO,,ATX,82.0,850,10.0,Black,bronze,Full
be quiet! Dark Power Pro 10,,ATX,87.0,1200,6.0,,gold,Semi
be quiet! Dark Power Pro 10,,ATX,87.0,1000,6.0,,gold,Semi
LEPA MaxBron,,ATX,82.0,650,6.0,,bronze,Semi
Thermaltake Toughpower DPS G RGB Gold,,ATX,87.0,850,10.0,,gold,Full
Topower TOP-800WB,,ATX,82.0,800,0.0,,bronze,False
Antec NeoECO Platinum,,ATX,90.0,850,10.0,Black,platinum,Full
Raidmax Scorpio,,ATX,82.0,635,6.0,,bronze,Semi
Cooler Master M620,,ATX,80.0,620,6.0,,plus,Semi
Ultra LSP,,ATX,0.0,550,0.0,,white,False
GAMDIAS ASTRAPE M1,,ATX,80.0,650,0.0,Black / Multicolor,plus,False
GAMDIAS ASTRAPE P1 G,,ATX,87.0,750,10.0,Black / Multicolor,gold,Full
CoolMax V-600,,ATX,0.0,600,0.0,,white,False
Athena Power AP-TFX30,,TFX,0.0,300,0.0,,white,False
Cougar GX-S,,ATX,87.0,450,0.0,,gold,False
Xigmatek NRP-MC802,,ATX,82.0,800,10.0,,bronze,Full
Silverstone Strider,,ATX,87.0,500,0.0,,gold,False
