name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
SeaSonic SS-300SFD,,SFX,80.0,300,0.0,,plus,False
Deepcool PM550D,,ATX,87.0,550,0.0,Black,gold,False
Rosewill Quark 1200,,ATX,90.0,1200,10.0,,platinum,Full
SeaSonic SSP-450RT,,ATX,87.0,450,0.0,,gold,False
Kingwin Lazer Platinum,,ATX,90.0,650,6.0,,platinum,Semi
Topower ZU-650W,,ATX,0.0,650,0.0,,white,False
CoolMax ZU-700B,,ATX,82.0,700,6.0,,bronze,Semi
FSP Group ATX400-PNT,,ATX,0.0,400,0.0,,white,False
Sparkle ATX-450PN,,ATX,0.0,450,0.0,,white,False
Sparkle SCC-750AF,,ATX,87.0,750,10.0,,gold,Full
LEPA B550-SA,,ATX,82.0,550,0.0,,bronze,False
VisionTek 900346,,ATX,0.0,500,0.0,,white,False
be quiet! STRAIGHT POWER E9 | 500W,,ATX,87.0,500,0.0,,gold,False
Sparkle ATX-400PA,,ATX,0.0,400,0.0,,white,False
FSP Group AU-1200PRO,,ATX,87.0,1200,0.0,,gold,False
Sparkle GW-EPS1000DA,,ATX,87.0,1000,6.0,,gold,Semi
CoolMax ZU-800B,,ATX,82.0,800,6.0,,bronze,Semi
