name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset,SATA,M.2,BAND,PCIe,OC,WIFI,max_memory_spec,memory_slots_spec,SATA_spec,BAND_spec,PCIe_spec,OC_spec
MSI PRO B760-P WIFI DDR4,161.98,1700,ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B760,0.2,2.0,0.09090909090909091,0.75,0.0,True,128,4,4.0,4.0,4.0,False
Asus ROG STRIX B760-I GAMING WIFI,218.99,1700,Mini ITX,0.060665362035225046,0.09090909090909091,Black,Asus,B760,0.2,2.0,0.09090909090909091,0.75,0.0,True,64,2,4.0,4.0,4.0,False
MSI PRO B650-P WIFI,189.99,AM5,ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B650,0.2,2.0,0.6363636363636364,0.75,1.0,True,128,4,4.0,16.0,4.0,True
MSI PRO B650M-A WIFI,165.95,AM5,Micro ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B650,0.2,2.0,0.6363636363636364,0.75,1.0,True,128,4,4.0,16.0,4.0,True
MSI PRO B550M-VC WIFI,118.61,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,True,128,4,6.0,16.0,4.0,True
MSI A520M-A PRO,75.99,AM4,Micro ATX,0.060665362035225046,0.09090909090909091,Black,MSI,A520,0.2,2.0,0.1818181818181818,0.5,0.0,False,64,2,4.0,6.0,3.0,False
MSI MAG Z690 TOMAHAWK WIFI DDR4,239.99,1700,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,MSI,Z690,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,True,128,4,6.0,16.0,5.0,True
Asus ROG STRIX Z790-E GAMING WIFI,485.14,1700,ATX,0.1232876712328767,0.2727272727272727,Black,Asus,Z790,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,True,128,4,6.0,16.0,5.0,True
Gigabyte A520I AC,109.99,AM4,Mini ITX,0.060665362035225046,0.09090909090909091,Black,Gigabyte,A520,0.2,2.0,0.1818181818181818,0.5,0.0,False,64,2,4.0,6.0,3.0,False
Asus PRIME Z690-P WIFI D4,199.0,1700,ATX,0.1232876712328767,0.2727272727272727,Silver / Black,Asus,Z690,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,True,128,4,6.0,16.0,5.0,True
MSI MAG X670E TOMAHAWK WIFI,309.99,AM5,ATX,0.18590998043052837,0.2727272727272727,Black,MSI,X670,0.6000000000000001,4.0,0.6363636363636364,0.75,1.0,True,192,4,8.0,16.0,4.0,True
