name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset,SATA,M.2,BAND,PCIe,OC,WIFI
ASRock Z390 Pro4,,1151,ATX,128,4,Black / Silver,ASRock,Z390,6,2,8,3,TRUE,FALSE
MSI MPG B550I GAMING EDGE MAX WIFI,,AM4,Mini ITX,64,2,Black,MSI,B550,6,3,16,4,TRUE,TRUE
ASRock X570S PG Riptide,184.99,AM4,ATX,128,4,Black,ASRock,X570,12,4,16,4,TRUE,FALSE
Gigabyte B650M AORUS PRO AX,,AM5,Micro ATX,128,4,Black,Gigabyte,B650,4,2,16,4,TRUE,FALSE
Asus PRIME H610M-A D4-CSM,109.99,1700,Micro ATX,64,2,Silver / Black,Asus,H610,4,1,6,4,FALSE,FALSE
Asus PRIME Z270-P,,1151,ATX,64,4,Black / Silver,Asus,Z270,6,2,4,3,TRUE,FALSE
ASRock Z790 LiveMixer,335.89,1700,ATX,128,4,Purple / Black,ASRock,Z790,6,4,16,5,TRUE,FALSE
Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),259.99,1700,Mini ITX,64,2,,Gigabyte,Z690,6,4,16,5,TRUE,FALSE
Gigabyte X570 AORUS PRO WIFI,430.99,AM4,ATX,128,4,Black / Silver,Gigabyte,X570,12,4,16,4,TRUE,TRUE
Asus MAXIMUS Z690 HERO EVA,,1700,ATX,128,4,Purple / Green,Asus,Z690,6,4,16,5,TRUE,FALSE
Asus Prime Z370-P,276.87,1151,ATX,64,4,Black / Silver,Asus,Z370,6,2,4,3,TRUE,FALSE
ASRock B760M Pro RS,,1700,Micro ATX,128,4,Silver / Black,ASRock,B760,4,2,4,4,FALSE,FALSE
Gigabyte GA-A320M-H,,AM4,Micro ATX,32,2,Black,Gigabyte,A320,4,2,4,3,FALSE,FALSE
Asus Prime TRX40-Pro,1050,sTRX4,ATX,256,8,Black / White,Asus,TRX40,8,4,16,4,TRUE,FALSE
MSI B350 TOMAHAWK ARCTIC,,AM4,ATX,64,4,White,MSI,B350,4,2,4,3,TRUE,FALSE
ASRock Z690 Taichi,312.99,1700,ATX,128,4,Black / Copper,ASRock,Z690,6,4,16,5,TRUE,FALSE
Gigabyte GA-78LMT-USB3,,AM3+,Micro ATX,32,4,Blue / White,Gigabyte,78L,,,,,,FALSE
Gigabyte GA-H110M-A,,1151,Micro ATX,32,2,Black,Gigabyte,H110,4,1,4,3,FALSE,FALSE
Asus PRIME B365M-A,,1151,Micro ATX,64,4,Black / Silver,Asus,B365,6,1,4,3,FALSE,FALSE
Gigabyte Z590 AORUS MASTER,,1200,ATX,128,4,Black,Gigabyte,Z590,6,3,16,4,TRUE,FALSE
Asus PRIME Z490-A,,1200,ATX,128,4,Black / Silver,Asus,Z490,6,3,8,3,TRUE,FALSE
Asus Pro WS X299 SAGE II,872.9,2066,SSI CEB,256,8,Black / Silver,Asus,X299,8,3,16,3,TRUE,FALSE
Asus Pro B550M-C/CSM,125.99,AM4,Micro ATX,128,4,Green,Asus,B550,6,3,16,4,TRUE,FALSE
Gigabyte Z590 AORUS ELITE AX,299,1200,ATX,128,4,Black,Gigabyte,Z590,6,3,16,4,TRUE,FALSE
Asus ROG STRIX B560-A GAMING WIFI,270.95,1200,ATX,128,4,Black / Silver,Asus,B560,6,1,4,4,FALSE,TRUE
MSI 970 GAMING,,AM3+,ATX,32,4,Black / Red,MSI,970,,,,,,FALSE
Biostar H310MHP,,1151,Micro ATX,32,2,Black,Biostar,H310,4,1,6,3,FALSE,FALSE
ASRock B550 Taichi Razer Edition,199.99,AM4,ATX,128,4,Black / Silver,ASRock,B550,6,3,16,4,TRUE,FALSE
Gigabyte B360M DS3H,,1151,Micro ATX,64,4,Silver / Black,Gigabyte,B360,6,1,4,3,FALSE,FALSE
MSI MAG B550M BAZOOKA,,AM4,Micro ATX,128,4,Black / Silver,MSI,B550,6,3,16,4,TRUE,FALSE
ASRock X570M Pro4,,AM4,Micro ATX,128,4,Black / Silver,ASRock,X570,12,4,16,4,TRUE,FALSE
Gigabyte Z590 AORUS PRO AX,149.99,1200,ATX,128,4,Black,Gigabyte,Z590,6,3,16,4,TRUE,FALSE
Asus ROG MAXIMUS XII HERO (WI-FI),546.01,1200,ATX,128,4,Black,Asus,,,,,,,TRUE
Asus PRIME H510M-A WIFI,134.53,1200,Micro ATX,64,2,Black / Silver,Asus,H510,4,1,6,3,FALSE,TRUE
Asus TUF GAMING Z490-PLUS (WI-FI),294,1200,ATX,128,4,Black,Asus,Z490,6,3,8,3,TRUE,TRUE
Asus TUF GAMING B460M-PLUS (WI-FI),,1200,Micro ATX,128,4,Black / Gold,Asus,B460,6,1,4,3,FALSE,TRUE
ASRock X370 Pro4,,AM4,ATX,64,4,Black / White,ASRock,X370,8,4,6,3,TRUE,FALSE
Asus TUF GAMING H770-PRO WIFI,,1700,ATX,128,4,Black,Asus,H770,6,2,8,3,FALSE,TRUE
Asus ProArt X570-CREATOR WIFI,465.99,AM4,ATX,128,4,Black,Asus,X570,12,4,16,4,TRUE,TRUE
ASRock Z390 Phantom Gaming 4,,1151,ATX,128,4,Black / Silver,ASRock,Z390,6,2,8,3,TRUE,FALSE
Gigabyte Z790M AORUS ELITE AX,,1700,Micro ATX,128,4,Black / Silver,Gigabyte,Z790,6,4,16,5,TRUE,FALSE
Gigabyte H410M S2H,,1200,Micro ATX,64,2,Black / Silver,Gigabyte,H410,4,1,6,3,FALSE,FALSE
Asus PRIME B760M-A AX,169.22,1700,Micro ATX,128,4,Silver / Black,Asus,B760,4,2,4,4,FALSE,FALSE
Asus PRIME X370-PRO,360.45,AM4,ATX,64,4,Black / White,Asus,X370,8,4,6,3,TRUE,FALSE
MSI B450 Gaming Plus,199,AM4,ATX,64,4,Red / Black,MSI,B450,4,2,6,3,TRUE,FALSE
Gigabyte Z370P D3,,1151,ATX,64,4,Black / Silver,Gigabyte,Z370,6,2,4,3,TRUE,FALSE
ASRock B365 Phantom Gaming 4,,1151,ATX,128,4,Black / Red,ASRock,B365,6,1,4,3,FALSE,FALSE
MSI MAG B365M MORTAR,,1151,Micro ATX,64,4,Black,MSI,B365,6,1,4,3,FALSE,FALSE
Intel DQ77MK,,1155,Micro ATX,32,4,Green / Blue,Intel,,,,,,,FALSE
MSI MPG Z590 GAMING FORCE,274.2,1200,ATX,128,4,Black,MSI,Z590,6,3,16,4,TRUE,FALSE
Asus PRIME B450M-A/CSM,158.36,AM4,Micro ATX,64,4,Black / Silver,Asus,B450,4,2,6,3,TRUE,FALSE
Asus B85M-G,,1150,Micro ATX,32,4,,Asus,B85,4,0,2,3,FALSE,FALSE
Asus ProArt Z690-CREATOR WIFI,657.99,1700,ATX,128,4,Black / Copper,Asus,Z690,6,4,16,5,TRUE,TRUE
ASRock AB350 Pro4,,AM4,ATX,64,4,Black / White,ASRock,B350,4,2,4,3,TRUE,FALSE
MSI Z790 GAMING PRO WIFI,,1700,ATX,192,4,Black,MSI,Z790,6,4,16,5,TRUE,TRUE
Gigabyte Z690 AORUS XTREME,881.99,1700,EATX,128,4,Black,Gigabyte,Z690,6,4,16,5,TRUE,FALSE
ASRock TRX40 Creator,,sTRX4,ATX,256,8,Black / Silver,ASRock,TRX40,8,4,16,4,TRUE,FALSE
MSI B250M BAZOOKA,,1151,Micro ATX,64,4,Black / Gray,MSI,B250,6,1,2,3,FALSE,FALSE
Asus PRIME B660M-A AC D4,149.99,1700,Micro ATX,128,4,Silver / Black,Asus,B660,4,2,4,4,FALSE,FALSE
Asus TUF GAMING B560M-PLUS,158.65,1200,Micro ATX,128,4,Black / Gold,Asus,B560,6,1,4,4,FALSE,FALSE
Asus M5A97 R2.0,,AM3+,ATX,32,4,Black / Blue,Asus,,,,,,,FALSE
Asus PRIME B760M-K D4,203.99,1700,Micro ATX,64,2,Silver / Black,Asus,B760,4,2,4,4,FALSE,FALSE
Asus ROG STRIX B560-G GAMING WIFI,,1200,Micro ATX,128,4,Black / Silver,Asus,B560,6,1,4,4,FALSE,TRUE
Gigabyte B550M AORUS ELITE AX,,AM4,Micro ATX,128,4,Black / Silver,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus PRIME B450M-K,,AM4,Micro ATX,32,2,Black,Asus,B450,4,2,6,3,TRUE,FALSE
Gigabyte X570 AORUS ULTRA,,AM4,ATX,128,4,Black / Silver,Gigabyte,X570,12,4,16,4,TRUE,FALSE
Gigabyte B660 GAMING X DDR4,,1700,ATX,128,4,Black,Gigabyte,B660,4,2,4,4,FALSE,FALSE
ASRock Z590 Steel Legend WiFi 6E,135.99,1200,ATX,128,4,Silver / Black,ASRock,Z590,6,3,16,4,TRUE,TRUE
Asus PRIME H310M-K,,1151,Micro ATX,32,2,Black / Silver,Asus,H310,4,1,6,3,FALSE,FALSE
Gigabyte Z390 AORUS ELITE,,1151,ATX,128,4,Black / Silver,Gigabyte,Z390,6,2,8,3,TRUE,FALSE
Gigabyte Z390 AORUS ULTRA,,1151,ATX,128,4,Black / Silver,Gigabyte,Z390,6,2,8,3,TRUE,FALSE
Gigabyte B560 DS3H AC,,1200,ATX,128,4,Brown / Black,Gigabyte,B560,6,1,4,4,FALSE,FALSE
MSI MAG A520M VECTOR WIFI,136.8,AM4,Micro ATX,64,2,Black,MSI,A520,4,2,6,3,FALSE,TRUE
Asus ROG ZENITH EXTREME ALPHA,1099.99,sTR4,EATX,128,8,Black,Asus,,,,,,,FALSE
Asus PRIME B350M-A,,AM4,Micro ATX,64,4,Black / Silver,Asus,B350,4,2,4,3,TRUE,FALSE
Asus EX-A320M-GAMING,265.7,AM4,Micro ATX,64,4,Red / Black,Asus,A320,4,2,4,3,FALSE,FALSE
ASRock X370 Taichi,,AM4,ATX,64,4,Black / White,ASRock,X370,8,4,6,3,TRUE,FALSE
Asus TUF B365M-PLUS GAMING,,1151,Micro ATX,64,4,Black / Yellow,Asus,B365,6,1,4,3,FALSE,FALSE
Asus PRIME B550-PLUS AC-HES,,AM4,ATX,128,4,Silver / Black,Asus,B550,6,3,16,4,TRUE,FALSE
Asus MAXIMUS VII HERO,,1150,ATX,32,4,Black / Red,Asus,,,,,,,FALSE
Gigabyte B660M GAMING DDR4,,1700,Micro ATX,64,2,Black / Red,Gigabyte,B660,4,2,4,4,FALSE,FALSE
Asus X99-WS/IPMI,,2011-3,ATX,128,8,Black / Silver,Asus,X99,10,3,16,3,TRUE,FALSE
Gigabyte B450M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange,Gigabyte,B450,4,2,6,3,TRUE,FALSE
Biostar B550MH,138.6,AM4,Micro ATX,64,2,Black,Biostar,B550,6,3,16,4,TRUE,FALSE
MSI H81M-P33,,1150,Micro ATX,16,2,Black / Blue,MSI,H81,2,0,2,2,FALSE,FALSE
Gigabyte Z390 AORUS MASTER,,1151,ATX,128,4,Black / Silver,Gigabyte,Z390,6,2,8,3,TRUE,FALSE
ASRock H670 Steel Legend,162.83,1700,ATX,128,4,Silver / Gray,ASRock,H670,8,3,24,4,FALSE,FALSE
Gigabyte B550M AORUS PRO,349.99,AM4,Micro ATX,128,4,Black / Silver,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Gigabyte B560 AORUS PRO AX,219.99,1200,ATX,128,4,Black,Gigabyte,B560,6,1,4,4,FALSE,FALSE
MSI MEG Z690 UNIFY-X,,1700,ATX,64,2,Black / Silver,MSI,Z690,6,4,16,5,TRUE,FALSE
ASRock B660M Pro RS/ax,,1700,Micro ATX,128,4,Silver / Black,ASRock,B660,4,2,4,4,FALSE,FALSE
Asus PRIME B560M-A AC,200,1200,Micro ATX,128,4,Black / Silver,Asus,B560,6,1,4,4,FALSE,FALSE
Asus TUF GAMING X570-PRO WIFI II,412.57,AM4,ATX,128,4,Black,Asus,X570,12,4,16,4,TRUE,TRUE
Asus WS C246 PRO,335.9,1151,ATX,64,4,Black / Silver,Asus,,,,,,,FALSE
ASRock X399 Taichi,,sTR4,ATX,128,8,Black / Silver,ASRock,X399,6,3,16,2,TRUE,FALSE
MSI PRO B760-VC WIFI,,1700,ATX,128,4,Black,MSI,B760,4,2,4,4,FALSE,TRUE
ASRock B360M Pro4,,1151,Micro ATX,64,4,Black / Silver,ASRock,B360,6,1,4,3,FALSE,FALSE
Asus M4N68T-M V2,,AM3,Micro ATX,16,2,Black / Blue,Asus,,,,,,,FALSE
Asus PRIME B760M-A AX D4,163.99,1700,Micro ATX,128,4,Silver / Black,Asus,B760,4,2,4,4,FALSE,FALSE
Asus CROSSHAIR VI HERO,,AM4,ATX,128,4,Black,Asus,,,,,,,FALSE
MSI MPG Z590 GAMING CARBON WIFI,349,1200,ATX,128,4,Black,MSI,Z590,6,3,16,4,TRUE,TRUE
Asus TUF B450M-PRO GAMING,,AM4,Micro ATX,64,4,Black,Asus,B450,4,2,6,3,TRUE,FALSE
Asus PRIME H410M-E,,1200,Micro ATX,64,2,Black,Asus,H410,4,1,6,3,FALSE,FALSE
Gigabyte GA-A320M-S2H V2,,AM4,Micro ATX,32,2,Black,Gigabyte,A320,4,2,4,3,FALSE,FALSE
Asus P8Z77-V PRO,,1155,ATX,32,4,Black / Blue,Asus,Z77,4,0,4,3,TRUE,FALSE
Asus MAXIMUS IX HERO,,1151,ATX,64,4,Black / Silver,Asus,,,,,,,FALSE
Gigabyte X570 AORUS XTREME,989,AM4,EATX,128,4,Black / Silver,Gigabyte,X570,12,4,16,4,TRUE,FALSE
MSI Z270 SLI PLUS,,1151,ATX,64,4,Black / Silver,MSI,Z270,6,2,4,3,TRUE,FALSE
Asus ROG STRIX B660-A GAMING WIFI,,1700,ATX,128,4,Silver / Black,Asus,B660,4,2,4,4,FALSE,TRUE
MSI X370 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver,MSI,X370,8,4,6,3,TRUE,FALSE
Gigabyte X570 UD,275,AM4,ATX,128,4,Black / Silver,Gigabyte,X570,12,4,16,4,TRUE,FALSE
Biostar B450NH,,AM4,Mini ITX,64,2,Black / Silver,Biostar,B450,4,2,6,3,TRUE,FALSE
Gigabyte B660 AORUS Master DDR4,295.03,1700,ATX,128,4,Black,Gigabyte,B660,4,2,4,4,FALSE,FALSE
Asus ROG MAXIMUS X HERO (WI-FI AC),,1151,ATX,64,4,Black / Silver,Asus,,,,,,,TRUE
ASRock Z370 Extreme4,989.6,1151,ATX,64,4,Black / Silver,ASRock,Z370,6,2,4,3,TRUE,FALSE
Asus TUF GAMING B760M-PLUS D4,,1700,Micro ATX,128,4,Black / Orange,Asus,B760,4,2,4,4,FALSE,FALSE
Gigabyte B450M GAMING,,AM4,Micro ATX,32,2,Red / Black,Gigabyte,B450,4,2,6,3,TRUE,FALSE
ASRock B550M/ac,,AM4,Micro ATX,128,4,Black / White,ASRock,B550,6,3,16,4,TRUE,FALSE
Gigabyte B560M AORUS PRO AX,259.99,1200,Micro ATX,128,4,Black / Silver,Gigabyte,B560,6,1,4,4,FALSE,FALSE
MSI MEG X570 ACE,,AM4,ATX,128,4,Black / Silver,MSI,X570,12,4,16,4,TRUE,FALSE
ASRock A320M-HDV,,AM4,Micro ATX,32,2,Black / Silver,ASRock,A320,4,2,4,3,FALSE,FALSE
Gigabyte GA-Z170X-UD5,,1151,ATX,64,4,Black / Gold,Gigabyte,Z170,6,1,4,3,TRUE,FALSE
Asus ROG STRIX Z590-I GAMING WIFI,400.99,1200,Mini ITX,64,2,Black,Asus,Z590,6,3,16,4,TRUE,TRUE
MSI MEG Z390 GODLIKE,824,1151,EATX,128,4,Black,MSI,Z390,6,2,8,3,TRUE,FALSE
MSI X99A SLI PLUS,,2011-3,ATX,128,8,Black,MSI,X99,10,3,16,3,TRUE,FALSE
Asus Sabertooth 990FX R2.0,,AM3+,ATX,32,4,Brown / Black,Asus,990FX,,,,,,FALSE
Gigabyte Z690 GAMING X,243.99,1700,ATX,128,4,Black / Gray,Gigabyte,Z690,6,4,16,5,TRUE,FALSE
Gigabyte Z390 I AORUS PRO WIFI,,1151,Mini ITX,64,2,Black / Silver,Gigabyte,Z390,6,2,8,3,TRUE,TRUE
Gigabyte B460M DS3H V2,,1200,Micro ATX,128,4,Brown / Black,Gigabyte,B460,6,1,4,3,FALSE,FALSE
NZXT N7 Z490,229.99,1200,ATX,128,4,Black,NZXT,Z490,6,3,8,3,TRUE,FALSE
MSI B550M-A PRO,,AM4,Micro ATX,64,2,Black,MSI,B550,6,3,16,4,TRUE,FALSE
MSI Z97 PC MATE,,1150,ATX,32,4,Black / Blue,MSI,Z97,6,1,4,3,TRUE,FALSE
MSI B365M PRO-VDH,,1151,Micro ATX,64,4,Black / Silver,MSI,B365,6,1,4,3,FALSE,FALSE
Asus Z170I PRO GAMING,,1151,Mini ITX,32,2,Black / Red,Asus,Z170,6,1,4,3,TRUE,FALSE
Asus ROG STRIX TRX40-XE GAMING,,sTRX4,ATX,256,8,Black,Asus,TRX40,8,4,16,4,TRUE,FALSE
Asus STRIX Z270F,,1151,ATX,64,4,Black / Silver,Asus,Z270,6,2,4,3,TRUE,FALSE
Gigabyte H510M K,,1200,Micro ATX,64,2,Black,Gigabyte,H510,4,1,6,3,FALSE,FALSE
ASRock Z370 Pro4,,1151,ATX,64,4,Black / Silver,ASRock,Z370,6,2,4,3,TRUE,FALSE
ASRock B560M Pro4,214.6,1200,Micro ATX,128,4,Silver / Black,ASRock,B560,6,1,4,4,FALSE,FALSE
Biostar B450MH,145.49,AM4,Micro ATX,32,2,Black / Yellow,Biostar,B450,4,2,6,3,TRUE,FALSE
Gigabyte Z590 UD,139.99,1200,ATX,128,4,Black,Gigabyte,Z590,6,3,16,4,TRUE,FALSE
Asus Sabertooth X79,,2011,ATX,64,8,Brown / Black,Asus,X79,6,0,16,2,TRUE,FALSE
ECS KAM1-I(1.0),,AM1,Mini ITX,16,2,Black / Gray,ECS,AM1,,,,,,FALSE
ASRock B560M-HDV,127.2,1200,Micro ATX,64,2,Silver / Black,ASRock,B560,6,1,4,4,FALSE,FALSE
Asus TUF GAMING B560-PLUS WIFI,,1200,ATX,128,4,Black,Asus,B560,6,1,4,4,FALSE,TRUE
ASRock Z390 Phantom Gaming 4S,,1151,ATX,128,4,Black,ASRock,Z390,6,2,8,3,TRUE,FALSE
MSI Z97S SLI Krait Edition,,1150,ATX,32,4,Black / White,MSI,Z97,6,1,4,3,TRUE,FALSE
Asus ROG STRIX Z370-F GAMING,527.99,1151,ATX,64,4,Black / Silver,Asus,Z370,6,2,4,3,TRUE,FALSE
MSI A320M PRO-VH,,AM4,Micro ATX,64,2,Brown / Black,MSI,A320,4,2,4,3,FALSE,FALSE
Gigabyte Z690M AORUS ELITE AX DDR4,,1700,Micro ATX,128,4,Black,Gigabyte,Z690,6,4,16,5,TRUE,FALSE
Asus TUF B360M-PLUS GAMING,,1151,Micro ATX,64,4,Silver / Orange,Asus,B360,6,1,4,3,FALSE,FALSE
Asus ROG MAXIMUS XI FORMULA,700,1151,ATX,128,4,Black,Asus,,,,,,,FALSE
MSI MAG B560 TORPEDO,227.27,1200,ATX,128,4,Black / Blue,MSI,B560,6,1,4,4,FALSE,FALSE
NZXT N7 Z590,,1200,ATX,128,4,Black,NZXT,Z590,6,3,16,4,TRUE,FALSE
Gigabyte GA-Z97X-SLI,,1150,ATX,32,4,Black / Red,Gigabyte,Z97,6,1,4,3,TRUE,FALSE
Gigabyte H410M H,,1200,Micro ATX,64,2,Black / Silver,Gigabyte,H410,4,1,6,3,FALSE,FALSE
ASRock B250M Pro4,,1151,Micro ATX,64,4,Black / White,ASRock,B250,6,1,2,3,FALSE,FALSE
Gigabyte B365M DS3H WIFI,,1151,Micro ATX,64,4,Black,Gigabyte,B365,6,1,4,3,FALSE,TRUE
Gigabyte Z390 AORUS PRO,,1151,ATX,128,4,Black / Silver,Gigabyte,Z390,6,2,8,3,TRUE,FALSE
Asus ROG Crosshair VII Hero,,AM4,ATX,64,4,Black,Asus,,,,,,,FALSE
MSI H110M Gaming,,1151,Micro ATX,32,2,Black / Red,MSI,H110,4,1,4,3,FALSE,FALSE
Gigabyte Z370N WIFI,272.83,1151,Mini ITX,32,2,Black / White,Gigabyte,Z370,6,2,4,3,TRUE,TRUE
Asus PRIME B365M-K,,1151,Micro ATX,32,2,Black / Silver,Asus,B365,6,1,4,3,FALSE,FALSE
Asus PRIME H610M-D D4,130.44,1700,Micro ATX,64,2,Silver / Black,Asus,H610,4,1,6,4,FALSE,FALSE
Gigabyte GA-F2A78M-HD2,,FM2+,Micro ATX,64,2,Black,Gigabyte,A78,6,0,6,2,TRUE,FALSE
Gigabyte B450M H,,AM4,Micro ATX,32,2,Black,Gigabyte,B450,4,2,6,3,TRUE,FALSE
Gigabyte B760M GAMING DDR4,,1700,Micro ATX,64,2,Black / Red,Gigabyte,B760,4,2,4,4,FALSE,FALSE
Asus Pro B760M-CT-CSM,139.99,1700,Micro ATX,128,4,Green / Black,Asus,B760,4,2,4,4,FALSE,FALSE
Asus ROG STRIX Z590-F GAMING WIFI,368.78,1200,ATX,128,4,Black / Silver,Asus,Z590,6,3,16,4,TRUE,TRUE
Gigabyte GA-H270N-WIFI,,1151,Mini ITX,32,2,Black / Silver,Gigabyte,H270,6,2,8,3,FALSE,TRUE
ASRock H470M-HVS,,1200,Micro ATX,64,2,Black / Silver,ASRock,H470,6,2,16,3,FALSE,FALSE
Asus PRIME B650M-A WIFI,,AM5,Micro ATX,128,4,Silver / Black,Asus,B650,4,2,16,4,TRUE,TRUE
ASRock B450M-HDV,,AM4,Micro ATX,32,2,Black / Silver,ASRock,B450,4,2,6,3,TRUE,FALSE
Gigabyte Z490 VISION G,,1200,ATX,128,4,White / Black,Gigabyte,Z490,6,3,8,3,TRUE,FALSE
Gigabyte Z590I VISION D,,1200,Mini ITX,64,2,Black / White,Gigabyte,Z590,6,3,16,4,TRUE,FALSE
Gigabyte B550 AORUS PRO,269,AM4,ATX,128,4,Black / Orange,Gigabyte,B550,6,3,16,4,TRUE,FALSE
ASRock X370 KILLER SLI/ac,,AM4,ATX,64,4,Black / White,ASRock,X370,8,4,6,3,TRUE,FALSE
MSI B360 GAMING PLUS,,1151,ATX,64,4,Black / Red,MSI,B360,6,1,4,3,FALSE,FALSE
MSI B460M-A PRO,,1200,Micro ATX,64,2,Black,MSI,B460,6,1,4,3,FALSE,FALSE
Gigabyte H310M H,,1151,Micro ATX,32,2,Silver / Brown,Gigabyte,H310,4,1,6,3,FALSE,FALSE
MSI X470 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver,MSI,X470,8,4,8,3,TRUE,FALSE
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),,1151,ATX,64,4,Black / Silver,Gigabyte,Z370,6,2,4,3,TRUE,FALSE
MSI MPG Z590M GAMING EDGE WIFI,254.99,1200,Micro ATX,128,4,Black,MSI,Z590,6,3,16,4,TRUE,TRUE
MSI MEG B550 UNIFY,,AM4,ATX,128,4,Black / Silver,MSI,B550,6,3,16,4,TRUE,FALSE
Asus M5A78L-M PLUS/USB3,249.97,AM3+,Micro ATX,32,4,Black / Blue,Asus,A78,6,0,6,2,TRUE,FALSE
MSI Creator TRX40,,sTRX4,EATX,256,8,Black / Silver,MSI,TRX40,8,4,16,4,TRUE,FALSE
MSI B450-A PRO,,AM4,ATX,64,4,Brown / Black,MSI,B450,4,2,6,3,TRUE,FALSE
MSI B250M PRO-VD,,1151,Micro ATX,32,2,Brown / Black,MSI,B250,6,1,2,3,FALSE,FALSE
ASRock B560 Steel Legend,144.99,1200,ATX,128,4,Silver / Black,ASRock,B560,6,1,4,4,FALSE,FALSE
MSI MAG B660 TOMAHAWK WIFI,,1700,ATX,128,4,Black / Silver,MSI,B660,4,2,4,4,FALSE,TRUE
ASRock H510M-HVS,,1200,Micro ATX,64,2,Silver / Black,ASRock,H510,4,1,6,3,FALSE,FALSE
MSI MPG Z390 GAMING PRO CARBON AC,,1151,ATX,128,4,Black / Silver,MSI,Z390,6,2,8,3,TRUE,FALSE
Asus P8H61-M LE/CSM R2.0,,1155,Micro ATX,16,2,Black / Blue,Asus,H61,2,0,4,2,FALSE,FALSE
MSI MEG X570 GODLIKE,,AM4,EATX,128,4,Black,MSI,X570,12,4,16,4,TRUE,FALSE
MSI MAG Z690M MORTAR WIFI,,1700,Micro ATX,128,4,Silver / Black,MSI,Z690,6,4,16,5,TRUE,TRUE
Asus ROG STRIX X470-I GAMING,,AM4,Mini ITX,32,2,Black,Asus,X470,8,4,8,3,TRUE,FALSE
Intel DH61BEB3,563.54,1155,Micro ATX,8,2,Green / Blue,Intel,H61,2,0,4,2,FALSE,FALSE
Gigabyte X299 UD4 Pro,319.99,2066,ATX,128,8,Black,Gigabyte,X299,8,3,16,3,TRUE,FALSE
Gigabyte GA-Z170X-Gaming 7,,1151,ATX,64,4,Black / Red,Gigabyte,Z170,6,1,4,3,TRUE,FALSE
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),,AM4,Mini ITX,32,2,Black / Red,Gigabyte,B350,4,2,4,3,TRUE,TRUE
Gigabyte B560M DS3H,,1200,Micro ATX,128,4,Black,Gigabyte,B560,6,1,4,4,FALSE,FALSE
Asus PRIME H310-PLUS,,1151,ATX,32,2,Black,Asus,H310,4,1,6,3,FALSE,FALSE
Gigabyte Z490I AORUS ULTRA,466.36,1200,Mini ITX,64,2,Black / Silver,Gigabyte,Z490,6,3,8,3,TRUE,FALSE
MSI MEG Z490I UNIFY,,1200,Mini ITX,64,2,Black / Silver,MSI,Z490,6,3,8,3,TRUE,FALSE
Asus STRIX X370-F GAMING,408.67,AM4,ATX,64,4,Black,Asus,X370,8,4,6,3,TRUE,FALSE
Gigabyte B450 Gaming X,,AM4,ATX,64,4,Black / Red,Gigabyte,B450,4,2,6,3,TRUE,FALSE
Asus Pro Q670M-C-CSM,169.19,1700,Micro ATX,128,4,Green / Black,Asus,,,,,,,FALSE
MSI MPG Z590 GAMING EDGE WIFI,343.2,1200,ATX,128,4,Black,MSI,Z590,6,3,16,4,TRUE,TRUE
MSI PRO B760M-E DDR4,,1700,Micro ATX,64,2,Black,MSI,B760,4,2,4,4,FALSE,FALSE
MSI Z87-G45 Gaming,,1150,ATX,32,4,Brown / Black,MSI,Z87,6,0,4,3,TRUE,FALSE
MSI B350M PRO-VDH,,AM4,Micro ATX,64,4,Brown / Black,MSI,B350,4,2,4,3,TRUE,FALSE
ASRock Fatal1ty B450 GAMING K4,,AM4,ATX,64,4,Black / Silver,ASRock,B450,4,2,6,3,TRUE,FALSE
MSI H410M-A PRO,,1200,Micro ATX,64,2,Black / Silver,MSI,H410,4,1,6,3,FALSE,FALSE
Gigabyte A520M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange,Gigabyte,A520,4,2,6,3,FALSE,FALSE
Gigabyte GA-AB350M-Gaming 3,,AM4,Micro ATX,64,4,Black / Red,Gigabyte,B350,4,2,4,3,TRUE,FALSE
Asus TUF Z370 Plus Gaming,,1151,ATX,64,4,Black / Yellow,Asus,Z370,6,2,4,3,TRUE,FALSE
MSI B150 Gaming M3,,1151,ATX,64,4,Black / Red,MSI,B150,6,1,2,3,FALSE,FALSE
Asus TUF X470-PLUS GAMING,,AM4,ATX,64,4,Black,Asus,X470,8,4,8,3,TRUE,FALSE
Asus M5A99FX PRO R2.0,,AM3+,ATX,32,4,Black / Blue,Asus,,,,,,,FALSE
Gigabyte GA-970A-DS3P,,AM3+,ATX,32,4,Black / Gray,Gigabyte,970,,,,,,FALSE
MSI PRO-B660M-A-CEC-WIFI-DDR4,,1700,Micro ATX,128,4,Black / Silver,MSI,B660,4,2,4,4,FALSE,TRUE
Asus ProArt B760-CREATOR,,1700,ATX,128,4,Black / Copper,Asus,B760,4,2,4,4,FALSE,FALSE
