chipset,core_clock,boost_clock,memory_clock,memory,memory_ver,bus_width,shaders,TMUs,ROPs,PCIe,TDP,rec_psu,detail_URL,1080p perf (FPS),1440p perf (FPS),4k perf (FPS),overall FPS performance
Radeon Pro WX 5100,713,1206,1250,8.0,5,256,1792,112,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-5100.c2873,,,,39.022742590296424
Radeon HD 7750,800,800,1125,1.0,5,128,512,32,16,PCIe 3.0 x16,55,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7750.c309,18.0,8.0,5.0,10.33
Vega Frontier Edition Liquid,1382,1600,945,16.0,5,2048,4096,256,64,PCIe 3.0 x16,375,750 W,https://www.techpowerup.com/gpu-specs/radeon-vega-frontier-edition-watercooled.c2982,,,,85.28441106750384
Quadro P2200,1000,1493,1251,5.0,5,160,1280,80,40,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/quadro-p2200.c3442,,,,49.81125559135095
GeForce GTX 950 75W,1026,1228,1653,2.0,5,128,768,48,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-950-low-power.c2841,,,,30.762541586893953
Radeon R7 370,925,1070,1400,2.0,5,256,1024,64,32,PCIe 3.0 x16,110,300 W,https://www.techpowerup.com/gpu-specs/radeon-r7-370.c2645,29.0,20.0,12.0,20.33
Quadro K620,1058,1058,900,2.0,3,128,384,24,16,PCIe 2.0 x16,45,200 W,https://www.techpowerup.com/gpu-specs/quadro-k620.c2600,,,,8.825829764257527
FirePro W9100,930,930,1250,16.0,5,512,2816,176,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/firepro-w9100.c2562,,,,56.77836077137605
GeForce GTX 260,576,680,999,0.875,3,448,192,64,28,PCIe 2.0 x16,182,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-260.c217,14.0,9.0,5.0,9.33
GeForce GTX 560 Ti,823,900,1002,1.0,5,256,384,64,32,PCIe 2.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-560-ti.c273,31.0,21.0,10.0,20.67
Radeon HD 7990,950,950,1500,3.0,5,384,2048,128,32,PCIe 3.0 x16,375,750 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7990.c2126,73.0,56.0,32.0,53.67
Radeon R9 280X,850,1070,1500,3.0,5,384,2048,128,32,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-280x.c2398,46.0,33.0,20.0,33.0
Quadro P600,1329,1455,1002,2.0,5,128,384,24,16,PCIe 3.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/quadro-p600.c2933,,,,25.656297149497426
Radeon R9 295X2,1018,1018,1250,4.0,5,512,2816,176,64,PCIe 3.0 x16,500,900 W,https://www.techpowerup.com/gpu-specs/radeon-r9-295x2.c2523,101.0,73.0,46.0,73.33
Radeon Pro WX 2100,925,1219,1500,2.0,5,64,512,32,16,PCIe 3.0 x8,35,200 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-2100.c2979,,,,18.694438889983452
GeForce GTX 550 Ti,900,910,1026,1.0,5,192,192,32,24,PCIe 2.0 x16,116,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-550-ti.c274,19.0,9.0,5.0,11.0
Radeon R9 Fury X,1050,1050,500,4.0,4,4096,4096,256,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-fury-x.c2677,,,,53.90018908901826
GeForce GTX 650 Ti,928,928,1350,1.0,5,128,768,64,16,PCIe 3.0 x16,110,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-650-ti.c1188,26.0,13.0,8.0,15.67
Quadro K2200,1046,1046,1253,4.0,5,128,640,40,16,PCIe 2.0 x16,68,250 W,https://www.techpowerup.com/gpu-specs/quadro-k2200.c2601,,,,13.356001403543509
Quadro GV100,1132,1447,848,32.0,5,4096,5120,320,128,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/quadro-gv100.c3066,,,,117.72735718114987
GeForce GTX 660 Ti,915,1028,1502,2.0,5,192,1344,112,24,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-660-ti.c364,43.0,30.0,13.0,28.67
Radeon R9 390X,1050,1100,1500,8.0,5,512,2816,176,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-390x.c2663,64.0,48.0,28.0,46.67
Quadro K2000,954,954,1000,2.0,5,128,384,32,16,PCIe 2.0 x16,51,250 W,https://www.techpowerup.com/gpu-specs/quadro-k2000.c1838,,,,7.716817364457405
Quadro P6000,1506,1531,1127,24.0,5,384,3840,240,96,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/quadro-p6000.c2865,,,,108.04106594099417
GeForce GTX 670,915,1006,1502,2.0,5,256,1344,112,32,PCIe 3.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-670.c362,48.0,34.0,15.0,32.33
Vega Frontier Edition,1382,1600,945,16.0,5,2048,4096,256,64,PCIe 3.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-vega-frontier-edition.c2958,,,,85.28441106750384
Quadro 4000,475,475,702,2.0,5,256,256,32,32,PCIe 2.0 x16,142,300 W,https://www.techpowerup.com/gpu-specs/quadro-4000.c898,,,,-1.6452056747978858
Radeon Pro VII,1400,1700,1000,16.0,5,4096,3840,240,64,PCIe 4.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-pro-vii.c3575,,,,76.14577232523575
FirePro W5000,825,825,800,2.0,5,256,768,48,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/firepro-w5000.c588,,,,15.60937252118007
Radeon R9 380X,970,1040,1425,4.0,5,256,2048,128,32,PCIe 3.0 x16,190,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-380x.c2758,44.0,32.0,19.0,31.67
Quadro FX 1800,550,550,800,0.75,3,192,64,32,12,PCIe 2.0 x16,59,250 W,https://www.techpowerup.com/gpu-specs/quadro-fx-1800.c1323,,,,-14.88592960602849
Quadro 2000D,625,625,650,1.0,5,128,192,32,16,PCIe 2.0 x16,62,250 W,https://www.techpowerup.com/gpu-specs/quadro-2000d.c901,,,,-5.800033991329961
GeForce GTX 480,701,700,924,1.5,5,384,480,60,48,PCIe 2.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-480.c268,27.0,18.0,11.0,18.67
GeForce FX 5200,250,250,200,0.125,1,128,4,2,4,AGP 8x,40,200 W,https://www.techpowerup.com/gpu-specs/geforce-fx-5200.c60,,,,-33.61000892041496
GeForce GT 220,600,625,700,1.0,3,128,48,24,8,PCIe 2.0 x16,58,250 W,https://www.techpowerup.com/gpu-specs/geforce-gt-220.c2246,,,,-14.51057884061023
Radeon HD 6770,850,850,1200,1.0,5,128,800,40,16,PCIe 2.0 x16,108,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6770.c280,,,,7.693449081282473
Radeon HD 7950,800,850,1250,3.0,5,384,1792,112,32,PCIe 3.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7950.c307,44.0,31.0,13.0,29.33
Radeon R9 290X,1000,1040,1250,4.0,5,512,2816,176,64,PCIe 3.0 x16,290,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-290x.c2460,61.0,45.0,27.0,44.33
Quadro M5000,861,1038,1653,8.0,5,256,2048,128,64,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/quadro-m5000.c2756,,,,54.6831495560588
GeForce GT 630,810,780,900,1.0,3,128,96,16,4,PCIe 2.0 x16,65,250 W,https://www.techpowerup.com/gpu-specs/geforce-gt-630.c816,,,,-11.019977986917489
Radeon HD 7850,860,920,1200,2.0,5,256,1024,64,32,PCIe 3.0 x16,130,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7850.c1055,34.0,23.0,11.0,22.67
FirePro W7100,920,824,1250,8.0,5,256,1792,112,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/firepro-w7100.c2610,,,,25.27025906218902
GeForce 9800 GTX+,738,738,1100,0.5,3,256,128,64,16,PCIe 2.0 x16,140,300 W,https://www.techpowerup.com/gpu-specs/geforce-9800-gtx.c237,,,,-5.0833756594105
GeForce GTX 580,772,772,1002,1.5,5,384,512,64,48,PCIe 2.0 x16,244,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-580.c270,41.0,29.0,13.0,27.67
GeForce GTX 680,1006,1006,1502,2.0,5,256,1536,128,32,PCIe 3.0 x16,195,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-680.c342,51.0,37.0,18.0,35.33
Radeon R7 360,1000,1070,1500,2.0,5,128,768,48,16,PCIe 3.0 x16,100,300 W,https://www.techpowerup.com/gpu-specs/radeon-r7-360.c2733,,,,15.432142759102739
Radeon Pro Duo Polaris,1243,1243,1750,16.0,5,256,2304,144,32,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-pro-duo-polaris.c2953,,,,45.20323332248942
GeForce GTX 560,810,810,1000,1.0,5,256,336,56,32,PCIe 2.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-560.c287,27.0,13.0,8.0,16.0
GeForce GTX 690,915,915,1502,2.0,5,256,1536,128,32,PCIe 3.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-690.c361,78.0,61.0,31.0,56.67
GeForce 210,520,589,400,0.5,3,64,16,8,4,PCIe 2.0 x16,31,200 W,https://www.techpowerup.com/gpu-specs/geforce-210.c2020,,,,-18.367892513156526
Quadro K4000,810,810,1404,3.0,5,192,768,64,24,PCIe 2.0 x16,80,250 W,https://www.techpowerup.com/gpu-specs/quadro-k4000.c1841,,,,10.764892324234701
GeForce GT 640,513,901,792,0.625,3,320,96,24,20,PCIe 1.0 x16,143,300 W,https://www.techpowerup.com/gpu-specs/geforce-8800-gts-640.c757,10.0,5.0,3.0,6.0
GeForce 8500 GT,459,450,400,0.25,3,128,16,8,4,PCIe 1.0 x16,30,200 W,https://www.techpowerup.com/gpu-specs/geforce-8500-gt.c765,,,,-23.694397934817367
GeForce GTX 650 Ti Boost,980,1072,1502,2.0,5,192,768,64,24,PCIe 3.0 x16,134,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-650-ti-boost.c2059,29.0,17.0,11.0,19.0
Radeon R9 270,900,975,1400,2.0,5,256,1280,80,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-270.c2458,32.0,21.0,13.0,22.0
FirePro W2100,630,630,900,2.0,3,128,320,20,8,PCIe 3.0 x8,26,200 W,https://www.techpowerup.com/gpu-specs/firepro-w2100.c2612,,,,-12.009866888274097
Radeon HD 7770,1000,1020,1125,1.0,5,128,640,40,16,PCIe 3.0 x16,80,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7770-ghz-edition.c308,,,,12.419968498300172
Quadro K5000,706,706,1350,4.0,5,256,1536,128,32,PCIe 2.0 x16,122,300 W,https://www.techpowerup.com/gpu-specs/quadro-k5000.c565,,,,18.986505197721876
GeForce GT 730,350,902,325,0.125,2,128,8,4,8,PCIe 1.0 x16,24,200 W,https://www.techpowerup.com/gpu-specs/geforce-7300-gt.c175,,,,-6.398520510282957
FirePro W4100,630,630,1000,2.0,5,128,512,32,16,PCIe 3.0 x16,50,250 W,https://www.techpowerup.com/gpu-specs/firepro-w4100.c2611,,,,-2.8326361268876425
GeForce GTX 570,732,797,950,1.25,5,320,480,60,40,PCIe 2.0 x16,219,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-570.c269,37.0,25.0,12.0,24.67
Radeon HD 6670,800,800,1000,1.0,5,128,480,24,8,PCIe 2.0 x16,66,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6670.c406,,,,-1.9094138812391392
GeForce GTX Titan,836,876,1502,6.0,5,384,2688,224,48,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan.c1996,,,,45.30472211762086
Radeon R7 260X,1100,1050,1625,2.0,5,128,896,56,16,PCIe 3.0 x16,115,300 W,https://www.techpowerup.com/gpu-specs/radeon-r7-260x.c2465,,,,15.92422842084185
Quadro 400,450,450,770,0.5,3,64,48,16,8,PCIe 2.0 x16,32,200 W,https://www.techpowerup.com/gpu-specs/quadro-400.c1317,,,,-20.585625230439597
FirePro 2270,600,600,600,0.5,3,64,80,8,4,PCIe 2.0 x16,15,200 W,https://www.techpowerup.com/gpu-specs/firepro-2270.c1183,,,,-17.41440028381779
Quadro 410,706,706,891,0.5,3,64,192,16,8,PCIe 2.0 x16,38,200 W,https://www.techpowerup.com/gpu-specs/quadro-410.c1316,,,,-10.114975005027496
GeForce 9500 GT,600,550,1000,0.5,3,128,32,16,8,PCIe 2.0 x16,50,250 W,https://www.techpowerup.com/gpu-specs/geforce-9500-gt.c3373,,,,-17.447197712131434
GeForce GTX 460,675,715,900,1.0,5,256,336,56,32,PCIe 2.0 x16,160,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-460.c265,,,,7.983409076358534
Radeon HD 6450,625,625,500,0.5,3,64,160,8,4,PCIe 2.0 x16,18,200 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6450.c402,,,,-15.817520754051053
GeForce GTX Titan Z,705,876,1750,6.0,5,384,2880,240,48,PCIe 3.0 x16,375,750 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-z.c2575,,,,47.17146577163354
Quadro K1200,1058,1124,1250,4.0,5,128,512,32,16,PCIe 2.0 x16,45,200 W,https://www.techpowerup.com/gpu-specs/quadro-k1200.c2641,,,,14.951989161211408
Quadro K600,876,876,891,1.0,3,128,192,16,16,PCIe 2.0 x16,41,200 W,https://www.techpowerup.com/gpu-specs/quadro-k600.c1839,,,,0.5040101137825914
Radeon R7 250,925,1100,900,1.0,3,128,512,32,16,PCIe 3.0 x16,55,250 W,https://www.techpowerup.com/gpu-specs/radeon-r7-250.c2956,14.0,8.0,5.0,9.0
GeForce GT 720,797,797,800,1.0,3,64,192,16,8,PCIe 2.0 x8,19,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-720.c2702,,,,-6.838859821774655
Radeon HD 4350,450,575,800,0.5,3,64,80,8,4,PCIe 2.0 x16,20,200 W,https://www.techpowerup.com/gpu-specs/radeon-hd-4350.c423,,,,-18.314431927271777
GeForce GT 520,810,810,900,1.0,3,64,48,8,4,PCIe 2.0 x16,29,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-520.c285,,,,-10.132873625133776
Radeon HD 7870 GHz Edition,1000,1000,1200,2.0,5,256,1280,80,32,PCIe 3.0 x16,175,450 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7870-ghz-edition.c339,,,,26.75803793071524
Radeon R9 280,827,940,1250,3.0,5,384,1792,112,32,PCIe 3.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/radeon-r9-280.c2405,38.0,28.0,16.0,27.33
Radeon Pro Duo,1000,1000,500,4.0,4,4096,4096,256,64,PCIe 3.0 x16,350,750 W,https://www.techpowerup.com/gpu-specs/radeon-pro-duo.c2828,,,,52.100125799316324
GeForce GT 740,993,1059,1253,1.0,5,128,384,32,16,PCIe 3.0 x16,64,250 W,https://www.techpowerup.com/gpu-specs/geforce-gt-740.c1987,,,,11.496950272831477
Radeon Pro WX 8200,1200,1530,1000,8.0,5,2048,3584,224,64,PCIe 3.0 x16,230,550 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-8200.c3303,,,,77.91587856634274
Radeon HD 3450,600,600,500,0.25,2,64,40,4,4,PCIe 2.0 x16,25,200 W,https://www.techpowerup.com/gpu-specs/radeon-hd-3450.c224,,,,-19.08038384477853
Quadro 6000,574,574,747,6.0,5,384,448,56,48,PCIe 2.0 x16,204,550 W,https://www.techpowerup.com/gpu-specs/quadro-6000.c896,,,,12.880357515427626
GeForce GTS 450,783,783,902,1.0,5,128,192,32,16,PCIe 2.0 x16,106,300 W,https://www.techpowerup.com/gpu-specs/geforce-gts-450.c1778,14.0,7.0,4.0,8.33
GeForce GTX Titan Black,889,980,1750,6.0,5,384,2880,240,48,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-black.c2549,,,,50.9155973888816
Quadro K420,876,891,891,1.0,3,128,192,16,16,PCIe 2.0 x16,41,200 W,https://www.techpowerup.com/gpu-specs/quadro-k420.c2599,,,,1.0440290965022214
FirePro W9000,975,975,1375,6.0,5,384,2048,128,32,PCIe 3.0 x16,274,600 W,https://www.techpowerup.com/gpu-specs/firepro-w9000.c585,,,,32.486013180005706
Quadro K5200,667,667,1502,8.0,5,256,2304,192,48,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/quadro-k5200.c2603,,,,34.691629251825965
GeForce 9400 GT,550,550,400,0.5,2,128,16,8,4,PCIe 2.0 x16,50,250 W,https://www.techpowerup.com/gpu-specs/geforce-9400-gt.c3159,,,,-21.36325379867352
Radeon HD 4870,550,750,888,0.5,5,256,800,40,16,PCIe 2.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/radeon-hd-4870.c219,14.0,9.0,5.0,9.33
GeForce 9800 GT,600,600,900,0.5,3,256,112,56,16,PCIe 2.0 x16,125,300 W,https://www.techpowerup.com/gpu-specs/geforce-9800-gt.c635,,,,-10.288074274652296
Radeon HD 6950,800,800,1250,2.0,5,256,1408,88,32,PCIe 2.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6950.c405,31.0,21.0,10.0,20.67
Radeon HD 7870,925,1100,1500,2.0,5,256,1536,96,32,PCIe 3.0 x16,175,450 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7870-ghz-edition.c339,,,,32.78238645790831
Radeon R5 230,625,625,667,1.0,3,64,160,8,4,PCIe 2.0 x16,19,200 W,https://www.techpowerup.com/gpu-specs/radeon-r5-230.c2576,,,,-15.817520754051053
FirePro W5100,930,930,1500,4.0,5,128,768,48,16,PCIe 3.0 x16,50,250 W,https://www.techpowerup.com/gpu-specs/firepro-w5100.c2585,,,,10.391965553525246
Radeon HD 4670,675,750,800,0.5,3,128,320,32,8,MXM-A (3.0),35,200 W,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-4670.c1150,,,,-7.543983455386602
GeForce GTX 295,576,576,999,0.875,3,448,240,80,28,PCIe 2.0 x16,289,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-295.c239,,,,-3.481024268188172
Radeon HD 6850,775,775,1000,1.0,5,256,960,48,32,PCIe 2.0 x16,127,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6850.c255,23.0,12.0,7.0,14.0
Radeon HD 5770,850,850,1195,1.0,5,128,800,40,16,PCIe 2.0 x16,108,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-5770.c250,,,,7.693449081282473
GeForce GTX 590,608,630,854,1.5,5,384,512,64,48,PCIe 2.0 x16,365,750 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-590.c281,59.0,42.0,19.0,40.0
Radeon 9550,250,250,200,0.0625,1,64,4,2,4,AGP 8x,40,200 W,https://www.techpowerup.com/gpu-specs/radeon-9550.c33,,,,-33.287679439981126
GeForce GTX 470,608,607,837,1.25,5,320,448,56,40,PCIe 2.0 x16,215,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-470.c267,26.0,14.0,8.0,16.0
GeForce GTS 250,702,675,1000,1.0,3,256,128,64,16,PCIe 2.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/geforce-gts-250.c241,,,,-7.3514554026654295
Radeon HD 7970,925,1000,1375,3.0,5,384,2048,128,32,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7970.c296,51.0,37.0,19.0,35.67
Quadro 5000,513,513,750,5.0,5,320,352,44,40,PCIe 2.0 x16,152,450 W,https://www.techpowerup.com/gpu-specs/quadro-5000.c897,,,,5.203561364102519
Radeon HD 7770 GHz Edition,1000,1000,1125,1.0,5,128,640,40,16,PCIe 3.0 x16,80,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7770-ghz-edition.c308,,,,11.699943180556751
FirePro V5900,600,600,500,2.0,5,256,512,32,32,PCIe 2.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/firepro-v5900.c577,,,,5.084865774388767
Radeon R5 220,650,650,533,1.0,3,64,80,8,4,PCIe 2.0 x16,19,200 W,https://www.techpowerup.com/gpu-specs/radeon-r5-220-oem.c2544,,,,-15.614336994581514
GeForce 9600 GT,650,650,900,0.5,3,256,64,32,16,PCIe 2.0 x16,95,250 W,https://www.techpowerup.com/gpu-specs/geforce-9600-gt.c206,,,,-9.197582802840166
FirePro S9150,900,900,1250,16.0,5,512,2816,176,64,PCIe 3.0 x16,235,550 W,https://www.techpowerup.com/gpu-specs/firepro-s9150.c2608,,,,55.69832281245605
FirePro V5700,700,700,900,0.5,3,128,320,32,8,PCIe 2.0 x16,56,250 W,https://www.techpowerup.com/gpu-specs/firepro-v5700.c858,,,,-9.344046740431928
GeForce GTX 285,648,648,1242,1.0,3,512,240,80,32,PCIe 2.0 x16,204,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-285.c238,19.0,12.0,7.0,12.67
Radeon HD 5850,500,725,1000,1.0,5,128,800,40,16,PCIe 2.0 x16,30,200 W,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5850.c1654,,,,3.19329086540953
Radeon HD 6970,880,890,1375,2.0,5,256,1536,96,32,PCIe 2.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6970.c258,35.0,25.0,11.0,23.67
Quadro NVS 450,480,480,700,0.25,3,64,16,8,4,PCIe 1.0 x16,35,200 W,https://www.techpowerup.com/gpu-specs/quadro-nvs-450.c1449,,,,-22.29203048172652
FireGL V7300,594,594,648,0.5,3,256,16,8,16,PCIe 1.0 x16,97,250 W,https://www.techpowerup.com/gpu-specs/firegl-v7300.c852,,,,-11.923225499095985
Radeon HD 7790,1000,1075,1500,1.0,5,128,896,56,16,PCIe 3.0 x16,85,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7790.c2100,23.0,13.0,8.0,14.67
Radeon R7 265,900,925,1400,2.0,5,256,1024,64,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/radeon-r7-265.c2558,28.0,19.0,12.0,19.67
Quadro K2000D,954,954,1000,2.0,5,128,384,32,16,PCIe 2.0 x16,51,250 W,https://www.techpowerup.com/gpu-specs/quadro-k2000d.c2021,,,,7.716817364457405
FirePro V4900,800,800,1000,1.0,5,128,480,24,8,PCIe 2.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/firepro-v4900.c578,,,,-1.9094138812391392
FirePro W7000,950,950,1200,4.0,5,256,1280,80,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/firepro-w7000.c587,,,,24.957974639150656
Radeon R9 285,918,965,1375,2.0,5,256,1792,112,32,PCIe 3.0 x16,190,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-285.c2609,39.0,28.0,16.0,27.67
FirePro S7000,950,950,1200,4.0,5,256,1280,80,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/firepro-s7000.c801,,,,24.957974639150656
Radeon HD 5870,2235,870,1313,1.0,5,256,1600,80,32,PCIe 2.0 x16,188,450 W,https://www.techpowerup.com/gpu-specs/radeon-hd-5870.c253,,,,24.865264909702695
Radeon HD 4850,503,625,850,1.0,3,256,800,40,16,PCIe 2.0 x16,110,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-4850.c493,,,,-3.5894595539314977
Radeon HD 6870,900,900,1050,1.0,5,256,1120,56,32,PCIe 2.0 x16,151,450 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6870.c256,28.0,14.0,9.0,17.0
GeForce GTX 560 Ti 448,732,797,950,1.25,5,320,448,56,40,PCIe 2.0 x16,210,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-560-ti-448.c289,,,,16.409869844454683
Radeon HD 7970 GHz Edition,1000,1000,1500,3.0,5,384,2048,128,32,PCIe 3.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7970-ghz-edition.c365,59.0,42.0,19.0,40.0
FirePro W8100,824,824,1250,8.0,5,512,2560,160,64,PCIe 3.0 x16,220,550 W,https://www.techpowerup.com/gpu-specs/firepro-w8100.c2588,,,,50.53800466506497
FirePro V7900,725,725,1250,2.0,5,256,1280,80,32,PCIe 2.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/firepro-v7900.c580,,,,16.85768984853045
Radeon R7 350,800,925,1125,2.0,5,128,512,32,16,PCIe 3.0 x16,55,250 W,https://www.techpowerup.com/gpu-specs/radeon-r7-350.c3135,,,,7.787737273971892
Radeon RX 550 - 640,1019,1190,1500,2.0,5,128,640,40,16,PCIe 3.0 x8,60,250 W,https://www.techpowerup.com/gpu-specs/radeon-rx-550-640sp.c3083,,,,18.540183677698828
FirePro 2450,400,600,400,0.25,3,64,40,4,4,PCIe 2.0 x16,32,200 W,https://www.techpowerup.com/gpu-specs/firepro-2450-multi-view.c1384,,,,-17.81140140501096
NVS 810,902,1020,900,2.0,3,64,512,32,16,PCIe 3.0 x16,68,250 W,https://www.techpowerup.com/gpu-specs/nvs-810.c2772,,,,8.992222119483507
FirePro V7900 SDI,725,725,1250,2.0,5,256,1280,80,32,PCIe 2.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/firepro-v7900-sdi.c576,,,,16.85768984853045
FirePro S9050,900,900,1375,12.0,5,384,1792,112,32,PCIe 3.0 x16,225,550 W,https://www.techpowerup.com/gpu-specs/firepro-s9050.c2607,,,,27.361696290213025
GeForce GTX 275,633,633,1134,0.875,3,448,240,80,28,PCIe 2.0 x16,219,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-275.c621,,,,-1.4289521198837392
GeForce GT 430,700,735,800,0.5,3,64,96,16,4,PCIe 2.0 x16,49,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-430.c603,,,,-12.317705465585583
GeForce 7200 GS,450,450,334,0.125,2,64,2,2,4,PCIe 1.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/geforce-7200-gs.c723,,,,-24.835865045071237
Radeon HD 6750,700,700,1150,1.0,5,128,720,36,16,PCIe 2.0 x16,86,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6750.c279,,,,1.5478341573731669
Radeon HD 5550,550,550,800,0.5,5,128,320,16,8,PCIe 2.0 x16,39,200 W,https://www.techpowerup.com/gpu-specs/radeon-hd-5550.c1034,,,,-12.400580450531685
Radeon HD 5750,700,700,1150,1.0,5,128,720,36,16,PCIe 2.0 x16,86,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-5750.c249,,,,1.5478341573731669
FirePro V3900,650,650,900,1.0,3,128,480,24,8,PCIe 2.0 x16,50,250 W,https://www.techpowerup.com/gpu-specs/firepro-v3900.c579,,,,-9.847568623360836
GeForce GT 620,700,700,900,1.0,3,64,96,16,4,PCIe 2.0 x16,49,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-620.c820,,,,-13.577749767911278
Radeon HD 7870 XT,925,925,1500,2.0,5,256,1536,96,32,PCIe 3.0 x16,185,450 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7870-xt.c1860,,,,26.482164955127395
