index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
23,Intel Core i5-13600KF,289.99,14,3.5,5.1,125,,TRUE,Raptor Lake-S,1700,10,24,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.7606895496952085,Unknown,TRUE,0.5737051792828685,FALSE,0.5554213124374331,FALSE
24,AMD Ryzen 9 7950X3D,557,16,4.2,5.7,120,Radeon,TRUE,Raphael,AM5,5,128,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.9359173239528938,Unknown,TRUE,0.650398406,TRUE,0.967896717,FALSE
25,AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,TRUE,Cezanne,AM4,7,16,DDR4,,"Apr 13th, 2021",0.5269724049028819,Desktop,FALSE,0.3715139442231076,TRUE,0.3456798646829369,FALSE
26,AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,TRUE,Raphael,AM5,5,64,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",0.9541174157180624,Unknown,TRUE,0.6437583001328021,TRUE,1,FALSE
27,Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,1700,10,30,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.8881775874500207,Desktop,FALSE,0.6499003984063745,FALSE,0.6082709102834064,FALSE
28,AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,,TRUE,Renoir,AM4,7,8,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.3555244816360418,Desktop,FALSE,0.2342297476759628,TRUE,0.2358210500880251,FALSE
29,Intel Core i7-13700KF,382.84,16,3.4,5.4,125,,TRUE,Raptor Lake-S,1700,10,30,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9150516725294412,Unknown,TRUE,0.7375498007968128,FALSE,0.697797646,FALSE
30,Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,24,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.7037732963359479,Unknown,TRUE,0.4902058432934927,FALSE,0.467775898,FALSE
31,AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,TRUE,Raphael,AM5,5,32,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.6169896654941117,Unknown,TRUE,0.4676294820717132,TRUE,0.5851082191307949,FALSE
32,Intel Core i5-10400F,114.64,6,2.9,4.3,65,,TRUE,Comet Lake,1200,14,12,DDR4,,"Apr 30th, 2020",0.2624702309423409,Desktop,FALSE,0.1900730411686587,FALSE,0.2109496358175981,FALSE
33,AMD Ryzen 7 3700X,239,8,3.6,4.4,65,,TRUE,Matisse,AM4,7,32,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.487010859,Desktop,FALSE,0.3341633466135457,TRUE,0.329334806,FALSE
34,Intel Core i3-13100F,118.99,4,3.4,4.5,58,,TRUE,Raptor Lake-S,1700,10,12,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",0.262535777,Unknown,TRUE,0.1746347941567065,TRUE,0.2054264903862749,FALSE
35,AMD Threadripper 3990X,4483,64,2.9,4.3,280,,TRUE,Castle Peak,TRX4,7,256,DDR4,,"Feb 7th, 2020",0.6068299504031113,Unknown,TRUE,0.5137782204515272,TRUE,0.8854292519589906,TRUE
36,Intel Core i9-13900KS,,24,3,6,150,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,36,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",0.9575258362647208,Unknown,TRUE,1,FALSE,0.9330836411336256,FALSE
37,Intel Core i7-12700KF,219.99,12,3.6,5,125,,TRUE,Alder Lake-S,1700,10,25,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.7359566518822783,Desktop,FALSE,0.5197543160690571,FALSE,0.5254064689840865,FALSE
38,AMD Ryzen 9 5950X,390,16,3.4,4.9,105,,TRUE,Vermeer,AM4,7,64,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",1,Desktop,FALSE,0.6220119521912351,TRUE,0.7291069764230729,FALSE
39,Intel Core i9-13900KF,535.99,24,3,5.8,125,,TRUE,Raptor Lake-S,1700,10,36,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",0.9377963250234874,Unknown,TRUE,0.9868857901726428,FALSE,0.915530395,FALSE
40,AMD Ryzen 5 4600G,104,6,3.7,4.2,65,Radeon Vega 7,TRUE,Renoir,AM4,7,8,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 21st, 2020",0.3310319211693504,Desktop,FALSE,0.2093293492695883,TRUE,0.2424660844350857,FALSE
