,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
75,Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",0.3082435709759881,Desktop,False,0.23555776892430277,False,0.24426110670026582,False
76,AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,,True,Zen,Socket AM4,12,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.2977342742904586,Desktop,False,0.19654714475431606,False,0.2120024854154441,False
77,Intel Core i9-10850K,249.63,10,3.6,5.2,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,20.0,DDR4,"H410, B460, H470, Z490","Jul 27th, 2020",0.49441761891236424,Desktop,False,0.38280212483399734,True,0.406348165280127,False
78,AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,True,Matisse,Socket AM4,7,16.0,DDR4,,"Apr 24th, 2020",0.24544997705870783,Desktop,False,0.13662018592297476,False,0.15110980703510649,False
79,Intel Core i5-11400,144.88,6,2.6,4.4,65,Intel UHD Graphics 730,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.3650068823876423,Desktop,False,0.23754980079681273,True,0.24769581276536987,False
80,Intel Core i7-11700,194.99,8,2.5,4.9,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.44051650680591664,Desktop,False,0.36205179282868527,True,0.29952708067244294,False
81,AMD Ryzen 9 3950X,575.0,16,3.5,4.7,105,,True,Matisse,Socket AM4,7,64.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Nov 25th, 2019",0.846227796106535,Desktop,False,0.6143758300132802,False,0.6276709586109289,False
82,Intel Core i3-10105F,78.05,4,3.7,4.4,65,,True,Comet Lake-R,Socket 1200,14,6.0,DDR4,,"Mar 16th, 2021",0.19041272477004084,Desktop,False,0.10541168658698538,True,0.1468811488142497,False
83,Intel Core i7-4790K,206.87,4,4.0,4.4,88,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",0.16681596713933008,Desktop,False,0.08831341301460822,False,0.1412026649176706,False
84,Intel Core i9-13900,559.99,24,2.0,5.6,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",0.8917607987939434,Unknown,True,0.6462483399734396,True,0.8395871448790085,False
85,Intel Core i7-8700,313.0,6,3.2,4.6,65,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Jan 1st, 2018",0.2757324826847867,Desktop,False,0.20551128818061087,False,0.20340709033794746,False
86,Intel Core i5-8400,185.0,6,2.8,4.0,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 5th, 2017",0.19218248159234413,Desktop,False,0.12583001328021248,False,0.1468811488142497,False
87,Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.8900565885206143,Desktop,False,0.6499003984063745,False,0.6279816355414408,False
88,Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790",Jan-22,0.6824051213703598,Desktop,False,0.48871181938911024,False,0.46026787255341917,False
89,Intel Core i5-6600K,188.0,4,3.5,3.9,91,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,DDR4,,"Jul 2nd, 2015",0.1284930848390832,Desktop,False,0.06706507304116865,False,0.09995167247747591,False
90,Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5",,"Apr 5th, 2022",0.9573510454674561,Desktop,False,0.6547144754316069,False,0.6388553281093582,False
91,AMD Ryzen 5 1600,250.0,6,3.2,3.6,65,,True,Zen,Socket AM4,14,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 11th, 2017",0.21794227533920338,Desktop,False,0.149070385126162,False,0.1825744761641755,False
92,AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,,True,Zen,Socket AM4,12,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.3197142170464725,Desktop,False,0.22128154050464807,False,0.24569367254651522,False
93,Intel Core i5-6500,140.0,4,3.2,3.6,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,DDR4,"Z170, B150, H110","Jul 2nd, 2015",0.1142476348620245,Desktop,False,0.061254980079681276,False,0.0922710483620422,False
94,Intel Core i7-7700,245.0,4,3.6,4.2,65,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,8.0,DDR4,,"Jan 3rd, 2017",0.1794227533920339,Desktop,False,0.11703187250996014,False,0.16231143636300874,False
95,AMD Threadripper 3970X,2300.98,32,3.7,4.5,280,,True,Castle Peak,Socket TRX4,7,128.0,DDR4,,"Nov 25th, 2019",0.8087570189429526,Unknown,True,0.6037516600265604,True,0.7335427525976043,True
96,Intel Core i7-11700KF,260.0,8,3.6,5.0,125,,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.5182765627389718,Desktop,False,0.3839641434262948,True,0.3728123166143118,False
97,Intel Core i3-9100F,110.0,4,3.6,4.2,65,,False,Coffee Lake,Socket 1151,14,6.0,DDR4,,"Apr 23rd, 2019",0.1385654045314514,Desktop,False,0.07702523240371845,False,0.10274776485208326,False
98,Intel Core i7-11700F,223.57,8,2.5,4.9,65,,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4592846686621949,Desktop,False,0.36205179282868527,True,0.3489419724533121,False
99,Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,6.0,DDR4,,"Apr 30th, 2020",0.1829622670366405,Desktop,False,0.13363213811420982,False,0.14178949911974872,False
100,Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,"H81, B85, H87, Z87, H91, B95, H97, Z97","Jun 2nd, 2014",0.11354847167296642,Desktop,False,0.05610889774236387,False,0.10823639062446064,False
101,Intel Core i7-6700,233.0,4,3.4,4.0,65,Intel HD Graphics 530,True,Skylake,Socket 1151,14,8.0,DDR4,,"Jul 1st, 2015",0.16718739758351722,Desktop,False,0.10292164674634793,False,0.13730194345679864,False
102,Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,16.0,DDR4,,"Apr 30th, 2020",0.3609429963512421,Desktop,False,0.34777556440903057,False,0.25090614104732645,False
