name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,category,passmarkPred,CPU ScoreMulti 15,cinePred,Blender Score,Number of Benchmarks
Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Apr 23rd, 2019",322.85,13385.0,Desktop,False,1491.0,False,105.07,15.0
Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",165.99,6869.0,Desktop,False,717.0,False,59.64,8.0
Intel Core i9-9900KF,395.0,8,3.6,5.0,95,,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Jan 8th, 2019",502.13,18691.0,Desktop,False,2245.0,False,181.43,26.0
AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True,Raven Ridge,Socket AM4,14,4.0,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,8378.0,Desktop,False,811.0,False,45.38,6.0
AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,True,Zen,Socket AM4,14,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",,14590.0,Desktop,False,1403.0,False,125.61,19.0
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",184.98,14575.0,Desktop,False,1615.0,False,119.68,5.0
Intel Xeon E5-2699 V4,387.1,22,2.2,3.6,145,,True,Broadwell-EP,Socket 2011-3,14,55.0,DDR4,"C612, X99","Oct 25th, 2016",,18429.0,,True,2223.0,True,226.0,0.0
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,True,Comet Lake,Socket 1200,14,16.0,DDR4,,"Apr 30th, 2020",309.99,19143.0,Desktop,False,2344.0,False,181.05,13.0
AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,,True,Matisse 2,Socket AM4,7,64.0,DDR4,,"Jul 7th, 2020",618.77,32869.0,Desktop,False,3297.0,False,268.04,14.0
Intel Core i5-3470,200.0,4,3.2,3.2,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Jun 1st, 2012",105.57,4657.0,Desktop,False,439.0,False,28.35,12.0
Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",175.0,5499.0,Desktop,False,564.0,False,43.59,9.0
Intel Core i7-9700F,349.0,8,3.0,4.7,65,,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Apr 23rd, 2019",340.99,13462.0,Desktop,False,1491.0,False,106.97,2.0
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,"Intel 80 Series, Intel 90 Series","May 11th, 2014",79.46,4834.0,Desktop,False,477.0,False,37.33,3.0
AMD FX-8350,,8,4.0,4.0,125,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",,7655.0,,True,838.0,True,82.0,0.0
Intel Celeron G6900,72.45,2,3.4,3.4,46,Intel UHD Graphics 710,False,Alder Lake-S,Socket 1700,10,4.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",49.99,3446.0,Desktop,False,351.0,True,17.0,0.0
AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,,True,Matisse,Socket AM4,7,16.0,DDR4,,"Apr 24th, 2020",269.99,12746.0,Desktop,False,1129.0,False,89.18,3.0
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,True,Comet Lake,Socket 1200,14,20.0,DDR4,,"Apr 30th, 2020",339.99,23508.0,Desktop,False,2677.0,False,199.1,15.0
Intel Core i7-9700KF,297.0,8,3.6,4.9,95,,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Jan 8th, 2019",424.99,14499.0,Desktop,False,1520.0,False,121.01,7.0
Intel Core i7-3770K,275.0,4,3.5,3.5,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22,8.0,DDR3,,"Apr 29th, 2012",136.48,6462.0,Desktop,False,672.0,False,42.09,7.0
AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,,True,Zen,Socket AM4,14,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",169.46,12943.0,Desktop,False,1126.0,False,98.93,4.0
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"May 1st, 2014",58.0,5344.0,Desktop,False,505.0,False,47.07,6.0
Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14,6.0,DDR4,,"Mar 16th, 2021",107.0,8928.0,Desktop,False,867.0,True,102.08,1.0
Intel Celeron G5900,39.99,2,3.4,3.4,58,Intel UHD Graphics 610,False,Comet Lake,Socket 1200,14,2.0,DDR4,,"Apr 30th, 2020",53.99,2790.0,Desktop,False,351.0,True,14.0,0.0
Intel Core i7-4790,319.66,4,3.6,4.0,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",200.0,7235.0,Desktop,False,705.0,True,64.05,30.0
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",232.49,19742.0,Desktop,False,2091.0,True,153.84,2.0
Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22,8.0,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",329.99,7129.0,Desktop,False,709.0,False,69.26,10.0
Intel Core i3-8100,163.0,4,3.6,3.6,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,6.0,DDR4,,"Oct 5th, 2017",169.99,6163.0,Desktop,False,616.0,False,58.74,2.0
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,True,Matisse 2,Socket AM4,7,32.0,DDR4,,"Jul 7th, 2020",391.65,23815.0,Desktop,False,2532.0,True,183.84,7.0
AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,,True,Matisse 2,Socket AM4,7,32.0,DDR4,,"Jul 7th, 2019",327.52,18780.0,Desktop,False,1757.0,False,145.11,3.0
AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,True,Zen,Socket AM4,14,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",168.06,15496.0,Desktop,False,1532.0,False,128.57,9.0
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,False,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",184.95,13319.0,Desktop,False,1129.0,False,79.69,38.0
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True,Cascade Lake-X,Socket 2066,14,24.75,DDR4,,"Oct 19th, 2019",999.99,33408.0,Desktop,False,3800.0,False,307.69,3.0
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,238.97,21368.0,Desktop,False,2176.0,True,85.19,2.0
Intel Core i9-11900KF,,8,3.5,5.3,125,,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",379.98,25390.0,Desktop,False,2515.0,False,158.98,2.0
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 19th, 2018",139.99,9478.0,Desktop,False,987.0,False,72.39,3.0
Intel Celeron G4900,34.99,2,3.1,3.1,65,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14,2.0,DDR4,,"Apr 3rd, 2018",105.95,2448.0,Desktop,False,313.0,True,12.0,0.0
Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32,8.0,DDR3,,"Jan 9th, 2011",89.0,5344.0,Desktop,False,552.0,True,36.03,7.0
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,DDR4,"Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",129.99,5163.0,Desktop,False,497.0,False,43.52,5.0
AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,True,Zen,Socket AM4,14,8.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",109.65,7783.0,Desktop,False,731.0,False,55.67,4.0
Intel Core i5-4570,121.16,4,3.2,3.2,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",99.99,5199.0,Desktop,False,491.0,False,45.14,3.0
Intel Core i5-3570K,125.0,4,3.4,3.4,77,Intel HD Graphics 4000,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Apr 29th, 2012",65.64,4936.0,Desktop,False,510.0,False,28.75,4.0
Intel Core i3-4150,77.14,2,3.5,3.5,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22,3.0,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",999.0,3360.0,Desktop,False,349.0,True,19.0,0.0
Intel Core i5-9600KF,230.0,6,3.7,4.6,95,,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Jan 8th, 2019",159.0,10838.0,Desktop,False,1165.0,False,96.47,8.0
AMD FX-6300,,6,3.5,3.5,95,,False,Vishera,Socket AM3+,32,8.0,DDR3,,"Oct 23rd, 2012",,6410.0,,True,684.0,True,61.0,0.0
Intel Core i5-2400,170.99,4,3.1,3.1,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,,"Jan 9th, 2011",88.57,3840.0,Desktop,False,409.0,False,21.28,2.0
Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Oct 28th, 2019",898.3,19518.0,Desktop,False,2201.0,False,163.71,8.0
AMD Ryzen 5 3500,,6,3.6,4.1,65,,False,Picasso,Socket FP5,12,4.0,DDR4,,"Jan 6th, 2019",,12836.0,Desktop,False,1129.0,False,87.5,12.0
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Feb 14th, 2018",190.0,9576.0,Desktop,False,934.0,False,84.5,6.0
AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,True,Zen,Socket AM4,14,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",120.36,9083.0,Desktop,False,712.0,False,66.85,5.0
Intel Pentium Gold G7400,89.99,2,3.7,3.7,46,Intel UHD Graphics 710,True,Alder Lake-S,Socket 1700,10,6.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",66.99,6896.0,Desktop,False,645.0,True,43.0,0.0
AMD Athlon 3000G,98.99,2,3.5,3.5,35,Radeon Vega 3,True,Zen,Socket AM4,14,4.0,DDR4,,"Nov 20th, 2019",54.99,4480.0,Desktop,False,425.0,True,11.92,1.0
AMD Threadripper 1950X,541.64,16,3.4,4.0,180,,True,Zen,Socket SP3r2,14,32.0,DDR4,,"Aug 10th, 2017",,18165.0,,True,2225.0,True,199.0,0.0
Intel Pentium Gold G6400,53.94,2,4.0,4.0,58,Intel UHD Graphics 610,True,Comet Lake,Socket 1200,14,4.0,DDR4,,"Apr 30th, 2020",74.63,4130.0,Desktop,False,397.0,True,28.84,1.0
AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,True,Zen,Socket AM4,14,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",178.03,16306.0,Desktop,False,1617.0,False,157.66,4.0
Intel Core i3-6100,100.0,2,3.7,3.7,51,Intel HD Graphics 530,True,Skylake,Socket 1151,14,4.0,DDR4,,"Sep 1st, 2015",131.51,4177.0,Desktop,False,392.0,False,39.48,2.0
AMD Ryzen 3 1200,115.0,4,3.1,3.4,65,,False,Zen,Socket AM4,14,8.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 27th, 2017",103.55,6304.0,Desktop,False,604.0,False,34.8,1.0
Intel Xeon E5-2660,28.99,8,2.2,3.0,95,,True,Sandy Bridge-EP,Socket 2011,32,20.0,DDR3,,"Mar 6th, 2012",64.73,8104.0,Server,False,923.0,True,84.0,0.0
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"May 1st, 2014",118.88,5572.0,Desktop,False,534.0,False,28.5,1.0
Intel Core i9-12900F,432.0,16,2.4,5.1,65,,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",529.99,35726.0,Desktop,False,3911.0,False,339.36,1.0
Intel Core i7-5820K,,6,3.3,3.6,140,,True,Haswell-E,Socket 2011-3,22,15.0,DDR4,,"Sep 1st, 2014",255.36,9814.0,Desktop,False,1085.0,False,93.84,10.0
AMD Threadripper 1900X,179.99,8,3.8,4.0,180,,True,Zen,Socket SP3r2,14,32.0,DDR4,,"Aug 31st, 2017",,15602.0,,True,1546.0,True,144.0,0.0
Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",209.88,13056.0,Desktop,False,1491.0,False,112.78,1.0
Intel Core i7-6900K,164.9,8,3.2,3.7,140,,True,Broadwell-E,Socket 2011-3,14,20.0,DDR4,,"May 31st, 2016",384.95,14291.0,Desktop,False,1522.0,True,142.5,13.0
Intel Core i5-4670K,144.25,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",154.88,5547.0,Desktop,False,520.0,False,54.09,1.0
AMD Threadripper 1920X,280.0,12,3.5,4.0,180,,True,Zen,Socket SP3r2,14,32.0,DDR4,,"Aug 10th, 2017",,17188.0,,True,2123.0,True,173.0,0.0
Intel Core i9-10900X,508.0,10,3.7,4.7,165,,True,Cascade Lake-X,Socket 2066,14,19.25,DDR4,,"Oct 19th, 2019",560.0,22683.0,Desktop,False,2358.0,False,187.88,5.0
Intel Core i7-6850K,165.0,6,3.6,3.8,140,,True,Broadwell-E,Socket 2011-3,14,15.0,DDR4,,"May 31st, 2016",326.97,11295.0,Desktop,False,1182.0,True,101.0,0.0
Intel Core i5-2500K,234.0,4,3.3,3.3,95,Intel HD Graphics 3000,False,Sandy Bridge,Socket 1155,32,6.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",59.0,4097.0,Desktop,False,419.0,True,31.14,4.0
Intel Core i3-2100,49.0,2,3.1,3.1,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32,3.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",116.19,1819.0,Desktop,False,218.0,True,10.0,0.0
Intel Core i3-7350K,59.99,2,4.2,4.2,60,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,4.0,DDR4,,"Jan 3rd, 2017",250.8,4819.0,Desktop,False,473.0,True,30.0,0.0
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",509.0,38281.0,Desktop,False,3911.0,False,228.14,4.0
AMD FX-8320,109.0,8,3.5,3.5,125,,False,Vishera,Socket AM3+,32,8.0,DDR3,,"Oct 23rd, 2012",,7331.0,,True,789.0,True,80.0,0.0
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14,6.0,DDR4,"Intel 100 Series, Intel 200 Series","Jul 1st, 2015",119.0,6107.0,Desktop,False,597.0,False,56.53,4.0
Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14,6.0,DDR4,,"Jan 3rd, 2017",169.99,6598.0,Desktop,False,666.0,False,53.83,1.0
Intel Core i3-7100,103.0,2,3.9,3.9,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,3.0,DDR4,,"Jan 3rd, 2017",127.99,4342.0,Desktop,False,425.0,False,23.76,1.0
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,6.0,DDR4,,"Sep 1st, 2018",169.96,6625.0,Desktop,False,660.0,False,53.99,1.0
Intel Core i5-3570,,4,3.4,3.4,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,"Intel 6 Series, Intel 7 Series","Jun 1st, 2012",166.0,4910.0,Desktop,False,510.0,False,28.24,10.0
Intel Core i7-2700K,95.0,4,3.5,3.5,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32,8.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Oct 24th, 2011",180.0,5604.0,Desktop,False,589.0,True,35.97,2.0
Intel Core i5-13600,,14,2.7,5.0,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,32927.0,,True,3263.0,True,292.6,1.0
Intel Core i7-6800K,195.0,6,3.4,3.6,140,,True,Broadwell-E,Socket 2011-3,14,15.0,DDR4,,"May 31st, 2016",259.99,10681.0,Desktop,False,1173.0,True,108.31,2.0
Intel Core i9-10900F,312.99,10,2.8,5.2,65,,True,Comet Lake,Socket 1200,14,20.0,DDR4,,"Apr 30th, 2020",350.0,20881.0,Desktop,False,2535.0,True,179.0,0.0
Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32,8.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",79.99,5500.0,Desktop,False,612.0,False,38.92,6.0
AMD Athlon 200GE,,2,3.2,3.2,35,Radeon Vega 3,True,Zen,Socket AM4,14,4.0,DDR4,"AMD 300 Series, AMD 400 Series","Sep 6th, 2018",123.89,4135.0,Desktop,False,390.0,True,23.0,0.0
AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,,True,Colfax,Socket SP3r2,12,64.0,DDR4,,"Aug 13th, 2018",,22262.0,,True,2692.0,True,309.0,0.0
Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True,Skylake-X,Socket 2066,14,14.0,DDR4,,"Jun 26th, 2017",269.98,21310.0,Desktop,False,2194.0,False,209.19,17.0
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,20.0,DDR4,,"Apr 30th, 2020",389.97,20446.0,Desktop,False,2541.0,False,162.69,5.0
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Jun 5th, 2018",549.0,14550.0,Desktop,False,1448.0,False,122.84,6.0
Intel Core i9-13900T,,24,1.1,5.3,35,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",,36792.0,,True,4073.0,True,481.74,1.0
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Sep 1st, 2013",79.0,4718.0,Desktop,False,462.0,False,39.22,6.0
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",347.88,23117.0,Desktop,False,2455.0,True,189.83,3.0
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True,Skylake-X,Socket 2066,14,22.0,DDR4,,"Sep 1st, 2017",990.97,26699.0,Desktop,False,3161.0,False,324.22,1.0
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,12.0,,,"Mar 16th, 2021",197.19,17626.0,Desktop,False,1740.0,True,148.51,3.0
Intel Core i7-7740X,193.74,4,4.3,4.5,112,,True,Kaby Lake-X,Socket 2066,14,8.0,,,"Jun 26th, 2017",225.99,9864.0,Desktop,False,1050.0,True,79.0,0.0
AMD Ryzen 3 1300X,,4,3.5,3.7,65,,False,Zen,Socket AM4,14,8.0,,,"Jul 27th, 2017",115.0,6925.0,Desktop,False,634.0,True,52.0,0.0
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,,,"Oct 19th, 2018",297.59,9698.0,Desktop,False,1016.0,False,77.22,2.0
AMD FX-9590,302.58,8,4.7,5.0,220,,False,Vishera,Socket AM3+,32,8.0,,,"Jun 11th, 2013",,13173.0,,True,1251.0,True,129.0,0.0
Intel Celeron G440,,1,1.6,1.6,35,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32,1.0,,,"Sep 4th, 2011",100.0,426.0,Desktop,False,205.0,True,-9.0,0.0
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,,,"Apr 30th, 2020",219.99,13928.0,Desktop,False,1569.0,False,105.54,1.0
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,,,"Feb 14th, 2018",275.67,9849.0,Desktop,False,959.0,False,92.16,5.0
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,,,"Apr 23rd, 2019",458.99,16873.0,Desktop,False,1931.0,False,131.85,3.0
Intel Core i5-2500,,4,3.3,3.3,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32,6.0,,,"Jan 9th, 2011",58.87,4101.0,Desktop,False,419.0,True,25.96,1.0
Intel Core i9-10920X,679.99,12,3.5,4.8,165,,True,Cascade Lake-X,Socket 2066,14,19.25,,,"Oct 19th, 2019",679.99,26696.0,Desktop,False,2846.0,True,210.44,4.0
AMD Threadripper 2950X,1075.0,16,3.5,4.4,180,,True,Colfax,Socket SP3r2,12,32.0,,,"Aug 31st, 2018",,31126.0,,True,3269.0,True,288.0,0.0
Intel Core i9-11900F,312.5,8,2.5,5.2,65,,True,Rocket Lake,Socket 1200,14,16.0,,,"Mar 16th, 2021",379.99,23814.0,Desktop,False,2581.0,True,190.0,0.0
Intel Core i3-4130,77.14,2,3.4,3.4,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22,3.0,DDR3,,"Sep 1st, 2013",72.29,3291.0,Desktop,False,349.0,False,28.24,2.0
Intel Pentium Gold G5400,64.95,2,3.7,3.7,58,Intel UHD Graphics 610,True,Coffee Lake,Socket 1151,14,4.0,DDR4,,"Apr 2nd, 2018",112.88,3723.0,Desktop,False,385.0,False,27.23,1.0
Intel Pentium G4400,42.99,2,3.3,3.3,54,Intel HD Graphics 510,False,Skylake,Socket 1151,14,4.0,"DDR3, DDR4",,"Sep 1st, 2015",97.41,2599.0,Desktop,False,313.0,True,12.0,0.0
Intel Core i3-4170,,2,3.7,3.7,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22,3.0,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",95.8,3569.0,Desktop,False,350.0,True,23.63,1.0
Intel Xeon E5-2670 V3,,12,2.3,3.1,120,,True,Haswell-EP,Socket 2011-3,22,30.0,"DDR3, DDR4","C612, X99","Sep 8th, 2014",,10944.0,,True,1234.0,True,125.0,0.0
Intel Core i7-6950X,328.29,10,3.0,3.5,140,,True,Broadwell-E,Socket 2011-3,14,25.0,DDR4,,"May 31st, 2016",377.32,17142.0,Desktop,False,1819.0,False,205.72,2.0
Intel Pentium G4560,,2,3.5,3.5,54,Intel HD Graphics 610,True,Kaby Lake,Socket 1151,14,3.0,DDR4,,"Jan 3rd, 2017",168.0,3513.0,Desktop,False,349.0,True,20.0,0.0
Intel Core i3-9350KF,,4,4.0,4.6,91,,False,Coffee Lake,Socket 1151,14,8.0,DDR4,,"Jan 8th, 2019",207.36,7318.0,Desktop,False,745.0,True,58.0,0.0
Intel Core i3-3220,,2,3.3,3.3,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22,3.0,DDR3,,"Sep 3rd, 2012",39.94,2203.0,Desktop,False,295.0,False,13.52,1.0
Intel Core i7-4930K,175.0,6,3.4,3.9,130,,True,Ivy Bridge-E,Socket 2011,22,12.0,DDR3,,"Sep 1st, 2013",174.85,9360.0,Desktop,False,1064.0,False,58.41,3.0
Intel Core i3-8350K,217.3,4,4.0,4.0,91,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,8.0,DDR4,,"Oct 5th, 2017",206.16,6862.0,Desktop,False,689.0,True,55.0,0.0
Intel Core i7-7800X,405.86,6,3.5,4.0,140,,True,Skylake-X,Socket 2066,14,8.25,DDR4,,"Jun 26th, 2017",199.99,12864.0,Desktop,False,1285.0,False,108.23,2.0
Intel Pentium Gold G6405,72.98,2,4.1,4.1,58,Intel UHD Graphics 610,True,Comet Lake-R,Socket 1200,14,4.0,DDR4,,"Mar 16th, 2021",60.1,4285.0,Desktop,False,428.0,True,26.0,0.0
AMD FX-8300,100.0,8,3.3,3.3,95,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",,6074.0,,True,724.0,True,68.0,0.0
Intel Core i5-4670,135.86,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22,6.0,DDR3,,"Jun 2nd, 2013",100.0,5440.0,Desktop,False,520.0,False,39.18,1.0
Intel Core i5-3330,,4,3.0,3.0,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22,6.0,DDR3,,"Sep 3rd, 2012",74.35,4090.0,Desktop,False,385.0,True,34.0,0.0
Intel Core i7-5960X,,8,3.0,3.5,140,,True,Haswell-E,Socket 2011-3,22,20.0,DDR4,,"Sep 1st, 2014",215.61,12719.0,Desktop,False,1360.0,False,145.36,5.0
Intel Core i3-2120,128.12,2,3.3,3.3,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32,3.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",27.44,1926.0,Desktop,False,219.0,True,11.63,2.0
AMD FX-9370,109.0,8,4.4,4.7,220,,False,Vishera,Socket AM3+,32,8.0,DDR3,"AMD 800 Series, AMD 900 Series","Jun 11th, 2013",,11890.0,,True,1201.0,True,120.0,0.0
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,True,Skylake-X,Socket 2066,14,11.0,,,"Jun 26th, 2017",709.0,17283.0,Desktop,False,1887.0,False,160.69,3.0
