name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,category
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Sep 1st, 2018",169.96,6625.0,2519.0,Desktop
Intel Core i5-3570,,4,3.4,3.4,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,"Intel 6 Series, Intel 7 Series","Jun 1st, 2012",166.0,4910.0,2049.0,Desktop
Intel Core i7-2700K,95.0,4,3.5,3.5,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Oct 24th, 2011",180.0,5604.0,1786.0,Desktop
Intel Core i5-13600,,14,2.7,5.0,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
Intel Celeron G5925,36.97,2,3.6,3.6,58,Intel UHD Graphics 610,False,,,,,,,,53.93,2939.0,2282.0,Desktop
Intel Core i7-6800K,195.0,6,3.4,3.6,140,,True,Broadwell-E,Socket 2011-3,14 nm,15 MB,DDR4,,"May 31st, 2016",259.99,10681.0,2272.0,Desktop
AMD Athlon II X2 240,29.48,2,2.8,2.8,65,,False,Regor,Socket AM3,45 nm,,DDR3,,"Jul 23rd, 2009",24.95,935.0,1027.0,Desktop
Intel Core i9-10900F,312.99,10,2.8,5.2,65,,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",350.0,20881.0,3070.0,Desktop
Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",79.99,5500.0,1745.0,Desktop
AMD Athlon 200GE,,2,3.2,3.2,35,Radeon Vega 3,True,Zen,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Sep 6th, 2018",123.89,4135.0,1817.0,Desktop
