name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,category
AMD Ryzen 9 7950X3D,557.0,16,4.2,5.7,120,Radeon,True,Raphael,Socket AM5,5 nm,128 MB,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",,,,
AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,True,Cezanne,Socket AM4,7 nm,16 MB,DDR4,,"Apr 13th, 2021",233.0,24545.0,3281.0,Desktop
AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,True,Raphael,Socket AM5,5 nm,64 MB,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",,,,
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",599.95,41077.0,4209.0,Desktop
AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,,True,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",141.75,16698.0,2605.0,Desktop
Intel Core i7-13700KF,382.84,16,3.4,5.4,125,,True,Raptor Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",,,,
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True,Raphael,Socket AM5,5 nm,32 MB,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",,,,
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",124.99,12439.0,2572.0,Desktop
AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",367.52,22716.0,2680.0,Desktop
Intel Core i3-13100F,118.99,4,3.4,4.5,58,,True,Raptor Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",,,,
AMD Threadripper 3990X,4483.0,64,2.9,4.3,280,,True,Castle Peak,Socket TRX4,7 nm,256 MB,DDR4,,"Feb 7th, 2020",,,,
Intel Core i9-13900KS,,24,3.0,6.0,150,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",,,,
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",350.99,34110.0,4054.0,Desktop
AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,,True,Vermeer,Socket AM4,7 nm,64 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",649.74,46195.0,3498.0,Desktop
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",,,,
AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 21st, 2020",,15577.0,2658.0,Desktop
Intel Core i3-10100F,75.83,4,3.6,4.3,65,,True,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",79.99,8854.0,2604.0,Desktop
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",192.0,19571.0,3532.0,Desktop
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,,True,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",,,,
AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True,Raphael,Socket AM5,5 nm,64 MB,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",,,,
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",260.98,27186.0,3967.0,Desktop
Intel Core i5-11400F,130.97,6,2.6,4.4,65,,True,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",149.99,17213.0,3023.0,Desktop
AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True,Raphael,Socket AM5,5 nm,128 MB,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",,,,
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 19th, 2018",390.99,14550.0,2899.0,Desktop
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",124.88,13195.0,2250.0,Desktop
Intel Core i7-11700K,272.87,8,3.6,5.0,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",297.0,24749.0,3429.0,Desktop
AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False,Picasso,Socket AM4,12 nm,4 MB,DDR4,,"Jul 7th, 2019",,7037.0,2216.0,Desktop
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",209.99,18285.0,2670.0,Desktop
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",328.98,19277.0,3074.0,Desktop
Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 19th, 2018",622.0,18716.0,2960.0,Desktop
Intel Core i5-11600K,184.0,6,3.9,4.9,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",209.99,19781.0,3374.0,Desktop
AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,17221.0,2395.0,Desktop
AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,True,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",359.0,32751.0,2725.0,Desktop
Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 5th, 2017",309.0,13850.0,2764.0,Desktop
Intel Core i7-13700,379.0,16,2.1,5.2,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",,,,
Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",122.0,14503.0,3549.0,Desktop
Intel Core i5-9400F,135.0,6,2.9,4.1,65,,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",129.99,9544.0,2471.0,"Desktop, Laptop"
Intel Core i7-13700F,349.99,16,2.1,5.2,65,,True,Raptor Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",349.44,9658.0,2730.0,Desktop
Intel Core i3-13100,138.94,4,3.4,4.5,60,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
Intel Core i7-12700F,284.99,12,2.1,4.9,65,,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",312.96,32268.0,3987.0,Desktop
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",248.59,23275.0,2735.0,Desktop
Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",397.97,25539.0,3519.0,Desktop
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",149.99,12320.0,2587.0,Desktop
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",389.97,23768.0,3167.0,Desktop
Intel Core i7-10700F,218.13,8,2.9,4.8,65,,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",249.99,16973.0,2919.0,Desktop
Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Aug 1st, 2015",230.0,8967.0,2520.0,Desktop
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",232.6,10793.0,2773.0,Desktop
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True,Picasso,Socket AM4,12 nm,4 MB,DDR4,"AMD 300 series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",,9307.0,2330.0,Desktop
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",212.97,14534.0,2936.0,Desktop
AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",154.39,14053.0,2406.0,Desktop
Intel Core i9-10850K,249.63,10,3.6,5.2,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,"H410, B460, H470, Z490","Jul 27th, 2020",408.44,23055.0,3091.0,Desktop
AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,True,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",137.95,11660.0,2427.0,Desktop
Intel Core i5-11400,144.88,6,2.6,4.4,65,Intel UHD Graphics 730,True,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",174.21,17132.0,3048.0,Desktop
Intel Core i7-11700,194.99,8,2.5,4.9,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",316.99,20588.0,3146.0,Desktop
AMD Ryzen 9 3950X,575.0,16,3.5,4.7,105,,True,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Nov 25th, 2019",650.0,39157.0,2738.0,Desktop
Intel Core i3-10105F,78.05,4,3.7,4.4,65,,True,Comet Lake-R,Socket 1200,14 nm,6 MB,DDR4,,"Mar 16th, 2021",78.99,9141.0,2675.0,Desktop
Intel Core i7-4790K,,4,4.0,4.4,88,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",206.87,8061.0,2467.0,Desktop
Intel Core i9-13900,559.99,24,2.0,5.6,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",,,,
Intel Core i7-8700,313.0,6,3.2,4.6,65,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 1st, 2018",260.99,13046.0,2662.0,Desktop
Intel Celeron E1400,,2,2.0,2.0,65,,False,Allendale,Socket 775,65 nm,,"DDR1, DDR2, DDR3",,"Apr 20th, 2008",14.0,671.0,746.0,Desktop
Intel Core i5-8400,185.0,6,2.8,4.0,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",230.0,9222.0,2404.0,Desktop
Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",572.98,41163.0,4217.0,Desktop
Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,328.0,31659.0,3948.0,Desktop
Intel Core i5-6600K,188.0,4,3.5,3.9,91,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,,"Jul 2nd, 2015",135.0,6307.0,2332.0,Desktop
Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5",,"Apr 5th, 2022",779.98,44243.0,4317.0,Desktop
AMD Ryzen 5 1600,250.0,6,3.2,3.6,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",,10401.0,1685.0,Desktop
AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,15059.0,2145.0,Desktop
Intel Core i5-6500,140.0,4,3.2,3.6,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Z170, B150, H110","Jul 2nd, 2015",129.0,5655.0,2123.0,Desktop
Intel Core i7-7700,245.0,4,3.6,4.2,65,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",219.99,8638.0,2472.0,Desktop
AMD Threadripper 3970X,2300.98,32,3.7,4.5,280,,True,Castle Peak,Socket TRX4,7 nm,128 MB,DDR4,,"Nov 25th, 2019",,,,
Intel Core i7-11700KF,260.0,8,3.6,5.0,125,,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",279.0,24147.0,3420.0,Desktop
Intel Core i3-9100F,110.0,4,3.6,4.2,65,,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Apr 23rd, 2019",124.0,6768.0,2519.0,Desktop
Intel Core i7-11700F,223.57,8,2.5,4.9,65,,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",289.99,21447.0,3339.0,Desktop
Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,,"Apr 30th, 2020",112.99,8800.0,2637.0,Desktop
Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","Jun 2nd, 2014",69.99,5623.0,2197.0,Desktop
Intel Core i7-6700,233.0,4,3.4,4.0,65,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Jul 1st, 2015",255.0,8078.0,2300.0,Desktop
Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",268.99,16946.0,2922.0,Desktop
AMD Ryzen 5 1600AF,140.99,6,3.2,3.6,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"X470, X370, B450, B350, A320","Oct 11th, 2019",,,,
AMD Threadripper 3960X,1483.0,24,3.8,4.5,280,,True,Castle Peak,Socket TRX4,7 nm,128 MB,DDR4,,"Nov 25th, 2019",,,,
Intel Core i7-3770,143.0,4,3.4,3.4,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,"Intel 6 Series, Intel 7 Series","Apr 29th, 2012",139.98,6397.0,2076.0,Desktop
Intel Core i5-8600K,245.0,6,3.6,4.3,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",235.99,10195.0,2609.0,Desktop
AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,6703.0,2058.0,Desktop
Intel Core i9-13900F,499.99,24,2.0,5.6,65,,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",,,,
Intel Core i7-4770,125.0,4,3.4,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",178.69,7030.0,2166.0,Desktop
Intel Core i5-12500,232.99,6,3.0,4.6,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",202.0,20309.0,3759.0,Desktop
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6064.0,2284.0,Desktop
Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",322.85,13385.0,2782.0,Desktop
Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6869.0,2566.0,Desktop
Intel Core i9-9900KF,395.0,8,3.6,5.0,95,,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Jan 8th, 2019",502.13,18691.0,2968.0,Desktop
AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,8378.0,2132.0,Desktop
AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",,14590.0,2026.0,Desktop
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",184.98,14575.0,2948.0,Desktop
Intel Xeon E5-2699 V4,387.1,22,2.2,3.6,145,,True,Broadwell-EP,Socket 2011-3,14 nm,55 MB,DDR4,"C612, X99","Oct 25th, 2016",,,,
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",309.99,19143.0,3056.0,Desktop
AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,,True,Matisse 2,Socket AM4,7 nm,64 MB,DDR4,,"Jul 7th, 2020",618.77,32869.0,2786.0,Desktop
Intel Core i5-3470,200.0,4,3.2,3.2,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",105.57,4657.0,1943.0,Desktop
Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",175.0,5499.0,2103.0,Desktop
Intel Core i7-9700F,349.0,8,3.0,4.7,65,,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",340.99,13462.0,2796.0,Desktop
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","May 11th, 2014",79.46,4834.0,1902.0,Desktop
AMD FX-8350,,8,4.0,4.0,125,,False,Vishera,Socket AM3+,32 nm,8 MB,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Oct 23rd, 2012",,,,
Intel Celeron G6900,72.45,2,3.4,3.4,46,Intel UHD Graphics 710,False,Alder Lake-S,Socket 1700,10 nm,4 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",49.99,3446.0,2587.0,Desktop
AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,,True,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",269.99,12746.0,2689.0,Desktop
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",339.99,23508.0,3141.0,Desktop
Intel Core i7-9700KF,297.0,8,3.6,4.9,95,,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 8th, 2019",424.99,14499.0,2920.0,Desktop
Intel Core i7-3770K,275.0,4,3.5,3.5,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,,"Apr 29th, 2012",136.48,6462.0,2082.0,Desktop
AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",169.46,12943.0,2183.0,Desktop
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",58.0,5344.0,2093.0,Desktop
Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14 nm,6 MB,DDR4,,"Mar 16th, 2021",107.0,8928.0,2718.0,Desktop
Intel Celeron G5900,39.99,2,3.4,3.4,58,Intel UHD Graphics 610,False,Comet Lake,Socket 1200,14 nm,2 MB,DDR4,,"Apr 30th, 2020",53.99,2790.0,2150.0,Desktop
Intel Core i7-4790,319.66,4,3.6,4.0,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",200.0,7235.0,2234.0,Desktop
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,True,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",232.49,19742.0,3359.0,Desktop
Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",329.99,7129.0,2165.0,Desktop
Intel Core i3-8100,163.0,4,3.6,3.6,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Oct 5th, 2017",169.99,6163.0,2240.0,Desktop
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,True,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2020",391.65,23815.0,2845.0,Desktop
AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,,True,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2019",327.52,18780.0,2794.0,Desktop
AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",168.06,15496.0,2074.0,Desktop
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,False,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",184.95,13319.0,2525.0,Desktop
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2019",999.99,33408.0,2667.0,Desktop
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,238.97,21368.0,3883.0,Desktop
Intel Core i9-11900KF,,8,3.5,5.3,125,,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",379.98,25390.0,3563.0,Desktop
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",139.99,9478.0,2479.0,Desktop
Intel Celeron G4900,34.99,2,3.1,3.1,65,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14 nm,2 MB,DDR4,,"Apr 3rd, 2018",105.95,2448.0,1914.0,Desktop
Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,,"Jan 9th, 2011",89.0,5344.0,1741.0,Desktop
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",129.99,5163.0,1964.0,Desktop
