name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Seagate BarraCuda Q5,54.99,1000,0.055,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Addlink S70,80.98,2000,0.04,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP CX2,15.49,256,0.061,SSD,0,2.5,SATA 6.0 Gb/s,550
Silicon Power A55,17.97,256,0.07,SSD,0,M.2,M.2 SATA,550
Western Digital Red Pro,209.99,10000,0.021,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate IronWolf NAS,464.9,16000,0.029,7200,256,3.5,SATA 6.0 Gb/s,160
Kingston KC600,94.99,1024,0.093,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG GAMMIX S70 Blade,249.99,4000,0.062,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Intel 600p,1000,1000,1,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Cardea Z44Q,269.99,4000,0.067,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Gold,239.99,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Black SN850 w/Heatsink,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
SanDisk Ultra 3D,109.99,2000,0.055,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG SX6000 Pro,34.97,512,0.068,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Caviar Green,109.99,2000,0.055,5400,64,3.5,SATA 3.0 Gb/s,160
Kingston SSDNow UV400,129,240,0.537,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red Pro,239.99,12000,0.02,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate Surveillance HDD,,2000,,5900,64,3.5,SATA 6.0 Gb/s,550
PNY XLR8 CS3030,170.94,2000,0.085,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar NQ100,24.99,480,0.052,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA Legend 960,69.98,1000,0.07,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Black SN850,84,500,0.168,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
ADATA XPG SPECTRIX S40G RGB,,2000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Blue SN550,169.4,2000,0.085,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY CS900,28.53,480,0.059,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Black SN750,49.99,500,0.1,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA Swordfish,47.44,1000,0.047,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung PM981,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
