name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
ADATA Swordfish,89.99,2000,0.045,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Patriot Burst Elite,22.49,480,0.047,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair MP400,147.55,1000,0.148,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate Exos X16,324.23,10000,0.032,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Gold,209.99,8000,0.026,7200,256,3.5,SATA 6.0 Gb/s,160
Gigabyte AORUS Gen4,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
ADATA XPG SPECTRIX S20G,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black,,8000,,7200,256,3.5,SATA 6.0 Gb/s,160
PNY XLR8 CS3040,459.99,4000,0.115,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Toshiba X300 Pro,369.99,18000,0.021,7200,512,3.5,SATA 6.0 Gb/s,160
Seagate IronWolf NAS,95.2,3000,0.032,5400,256,3.5,SATA 6.0 Gb/s,160
Seagate IronWolf NAS,1197,3840,0.312,SSD,0,2.5,SATA 6.0 Gb/s,550
Crucial BX100,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate BarraCuda,148,500,0.296,7200,32,3.5,SATA 3.0 Gb/s,160
Seagate Surveillance HDD,,1000,,5900,64,3.5,SATA 6.0 Gb/s,550
Intel 760p,117,256,0.457,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Blue SN550,69.99,500,0.14,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Mushkin Vortex-LX,74.99,2000,0.037,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Blue,69.98,4000,0.017,5400,64,3.5,SATA 6.0 Gb/s,160
Western Digital Gold,279.99,12000,0.023,7200,256,3.5,SATA 6.0 Gb/s,160
Corsair MP510,344.99,4000,0.086,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP EX2,39.99,1000,0.04,SSD,0,2.5,SATA 6.0 Gb/s,550
Lexar NQ100,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
HP S700,44.99,1000,0.045,SSD,0,2.5,SATA 6.0 Gb/s,550
MSI SPATIUM M480 HS,561,2000,0.281,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Western Digital WD_BLACK,39.99,500,0.08,7200,64,3.5,SATA 6.0 Gb/s,160
Seagate FireCuda 510,151.47,1000,0.151,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung Spinpoint F2 EG,154,500,0.308,5400,16,3.5,SATA 3.0 Gb/s,160
PNY CS1311,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Sabrent Rocket 4.0,109.95,1000,0.11,SSD,0,M.2-2230,M.2 PCIe 4.0 X4,7000
Toshiba N300,151.99,8000,0.019,7200,256,3.5,SATA 6.0 Gb/s,160
Inland Platinum,49.99,1024,0.049,SSD,0,2.5,SATA 6.0 Gb/s,550
Acer FA100,44.99,1000,0.045,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate IronWolf Pro NAS,249.99,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s,160
Intenso Top Performance,44,128,0.344,SSD,0,M.2,M.2 SATA,550
XPG SX6000 Lite,39.99,512,0.078,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Corsair MP600 CORE,134.99,1000,0.135,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Blue,56.73,1000,0.057,5400,16,2.5,SATA 6.0 Gb/s,160
Toshiba X300,149,4000,0.037,7200,128,3.5,SATA 6.0 Gb/s,160
Klevv CRAS C710,75.45,512,0.147,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung PM893,43.99,240,0.183,SSD,0,2.5,SATA 6.0 Gb/s,550
MyDigitalSSD Super Boot Drive,,8,,SSD,0,M.2-2242,M.2 SATA,550
Samsung PM961,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Toshiba MG07ACA12TE,218.95,12000,0.018,7200,256,3.5,SATA 6.0 Gb/s,160
Silicon Power A58,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Enterprise Capacity,181.9,8000,0.023,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Blue,69.99,3000,0.023,5400,32,3.5,SATA 3.0 Gb/s,160
Lexar NS100,39.99,1000,0.04,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba N300,274.99,16000,0.017,7200,512,3.5,SATA 6.0 Gb/s,160
Western Digital Red SA500,99.45,1000,0.099,SSD,0,M.2,M.2 SATA,550
Samsung 850 Pro,307.2,2000,0.154,SSD,0,2.5,SATA 6.0 Gb/s,550
Lexar NM620,36.39,512,0.071,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Patriot Viper VPN110,35.99,512,0.07,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate SV35.5,45,500,0.09,5900,16,3.5,SATA 3.0 Gb/s,300
Hitachi HTS547550A9E384,,500,,5400,8,2.5,SATA 3.0 Gb/s,160
Crucial BX200,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate BarraCuda 510,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
HP S700,,500,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Purple Pro,326.95,18000,0.018,7200,512,3.5,SATA 6.0 Gb/s,160
Patriot P300,74.98,2000,0.037,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP AX2,15.49,256,0.061,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Green,85.4,240,0.356,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston DC450R,1063.57,7680,0.138,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Caviar Green,20.87,500,0.042,5400,32,3.5,SATA 3.0 Gb/s,160
Integral M,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Blue,33.99,500,0.068,5400,64,3.5,SATA 6.0 Gb/s,160
Patriot Burst,54.19,240,0.226,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red,309.99,12000,0.026,5400,256,3.5,SATA 6.0 Gb/s,160
Seagate BarraCuda,,2000,,7200,64,3.5,SATA 6.0 Gb/s,160
Seagate NAS HDD,,2000,,5400,64,3.5,SATA 6.0 Gb/s,160
Western Digital Black,69.99,1000,0.07,7200,32,2.5,SATA 6.0 Gb/s,160
Western Digital Red,336.2,8000,0.042,5400,256,3.5,SATA 6.0 Gb/s,160
Seagate Barracuda Compute,134.25,6000,0.022,5400,256,3.5,SATA 6.0 Gb/s,160
Western Digital Red SA500,49.99,500,0.1,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG SX8100,84.99,1000,0.085,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Sabrent Rocket Q,29.99,500,0.06,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Kingston DC500R,611.61,7680,0.08,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP GX2,51.47,256,0.201,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate BarraCuda,79.79,1000,0.08,7200,32,3.5,SATA 3.0 Gb/s,160
Seagate IronWolf NAS,75.77,1000,0.076,5900,64,3.5,SATA 6.0 Gb/s,550
Seagate Exos X14,375.85,14000,0.027,7200,256,3.5,SATA 6.0 Gb/s,160
Crucial BX100,,500,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Surveillance HDD,,3000,,5900,64,3.5,SATA 6.0 Gb/s,550
ADATA Premier SP550,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP GX2,,2000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Leven JM600,67.98,2000,0.034,SSD,0,M.2,M.2 SATA,550
Inland Prime,102.99,2000,0.051,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Patriot P400,32.99,512,0.064,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate IronWolf NAS,128.66,2000,0.064,5400,256,3.5,SATA 6.0 Gb/s,160
Seagate BarraCuda Pro,355,12000,0.03,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital RE4,44.9,1000,0.045,7200,64,3.5,SATA 3.0 Gb/s,160
Western Digital Blue SA510,32.99,250,0.132,SSD,0,2.5,SATA 6.0 Gb/s,550
Crucial MX300,99.99,275,0.364,SSD,0,M.2,M.2 SATA,550
Western Digital WD Blue,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital SN530,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
SanDisk Solid State Drive,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA LEGEND 960 MAX,119.99,2000,0.06,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Toshiba HDKBB96,48.9,1000,0.049,5400,8,2.5,SATA 6.0 Gb/s,160
Intenso 3812440,46,256,0.18,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Ultrastar,209.99,8000,0.026,7200,0,3.5,SATA 6.0 Gb/s,160
Integral M2,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate Pipeline HD,,1000,,5900,64,3.5,SATA 3.0 Gb/s,300
Samsung 840,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba N300,,18000,,7200,0,3.5,SATA 6.0 Gb/s,160
Gigabyte GP-GSM2NE3128GNTD,,128,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
PNY CS2230,24.99,500,0.05,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN750 Rev2,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Red,,6000,,5400,64,3.5,SATA 6.0 Gb/s,160
Patriot Burst,58.91,480,0.123,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red,,4000,,5400,64,3.5,SATA 6.0 Gb/s,160
Crucial MX300,169.95,750,0.227,SSD,0,2.5,SATA 6.0 Gb/s,550
Intel 545s,145.49,256,0.568,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba P300,,2000,,7200,64,3.5,SATA 6.0 Gb/s,160
ADATA Swordfish,59.34,250,0.237,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
SanDisk Solid State Drive,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi Ultrastar He10,,10000,,7200,256,3.5,SATA 6.0 Gb/s,160
Samsung 860 Pro,257.85,512,0.504,SSD,512,2.5,SATA 6.0 Gb/s,550
Crucial MX500,,250,,SSD,0,M.2,M.2 SATA,550
ADATA XPG GAMMIX S5,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
GOODRAM CL100 gen.3,120,960,0.125,SSD,0,2.5,SATA 6.0 Gb/s,550
Netac NV3000,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Create Classic DL,99.99,2000,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
ADATA Legend 800,,500,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Acer FA100,19.98,256,0.078,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Acer FA100,84.99,2000,0.042,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Patriot Viper VP4300,74.98,1000,0.075,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate IronWolf 525,99.99,500,0.2,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate BarraCuda Pro,199.99,6000,0.033,7200,256,3.5,SATA 6.0 Gb/s,160
Corsair MP510,124.99,1920,0.065,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Vulcan G,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
Hitachi Deskstar 7K2000,51,2000,0.025,7200,32,3.5,SATA 3.0 Gb/s,160
ADATA Falcon,,512,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Green,82.53,240,0.344,SSD,0,M.2,M.2 SATA,550
Kingston Q500,18.5,120,0.154,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston KC2500,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA Premier SP550,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair Force LE,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair Force MP500,,120,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Inland 2TB NVME PREMIUM,,2000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Inland Premium,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Purple Surveillance,77.99,3000,0.026,5400,256,3.5,SATA 6.0 Gb/s,160
ADATA LEGEND 960 MAX,299.99,4000,0.075,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
ADATA XPG GAMMIX S50 Lite,159.99,2000,0.08,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP MP44,114.99,2000,0.057,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Inland Platinum,379.99,4000,0.095,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Transcend MTS600,36.64,32,1.145,SSD,0,M.2-2260,M.2 SATA,550
Corsair MP600 CORE,,4000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
SanDisk Ultra II,127.58,240,0.532,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate EE25.2,19,40,0.475,5400,8,2.5,SATA 3.0 Gb/s,160
HP EX920,69.98,256,0.273,SSD,256,M.2,M.2 PCIe 3.0 X4,3500
PNY CS2140,45.11,500,0.09,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Netac NV2000,,512,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Blue,,4000,,,64,3.5,SATA 6.0 Gb/s,550
Kingston A400,,480,,SSD,0,M.2,M.2 SATA,550
Patriot P310,36.99,960,0.039,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN750 SE,43.9,250,0.176,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Enmotus FuzeDrive,,900,,SSD,24576,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Blue,115,1000,0.115,SSD,0,2.5,SATA 6.0 Gb/s,550
Silicon Power UD85,,250,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate ST2000NX0253,169.85,2000,0.085,7200,128,2.5,SATA 6.0 Gb/s,160
HP EX900,41.99,120,0.35,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Corsair MP400,,8000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Silicon Power UD90,,500,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate Pipeline HD,,500,,5900,8,3.5,SATA 3.0 Gb/s,300
Seagate Constellation ES,189.99,2000,0.095,7200,64,3.5,SATA 6.0 Gb/s,160
Samsung 830,,256,,SSD,0,2.5,SATA 6.0 Gb/s,550
SanDisk SSD PLUS,66.97,120,0.558,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Exos 7E8,186.81,4000,0.047,7200,256,3.5,SATA 6.0 Gb/s,160
Kingston SSDNOW DC500R,281.95,3840,0.073,SSD,0,2.5,SATA 6.0 Gb/s,550
Sabrent Rocket,59.99,512,0.117,SSD,0,M.2-2242,M.2 PCIe 3.0 X4,3500
ADATA Legend 850,34.99,512,0.068,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Netac NV3000,,2000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Patriot P400,59.99,1000,0.06,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Red,61.14,2000,0.031,5400,64,3.5,SATA 6.0 Gb/s,160
HP EX900 Plus,19.98,256,0.078,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Caviar Green,,2000,,5400,64,3.5,SATA 6.0 Gb/s,160
Seagate BarraCuda,112.2,4000,0.028,5900,64,3.5,SATA 6.0 Gb/s,550
Western Digital AV-GP,18.82,500,0.038,5400,16,3.5,SATA 3.0 Gb/s,160
ADATA Legend 750,53.3,500,0.107,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Inland Prime,39.99,500,0.08,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate BarraCuda,31.99,250,0.128,7200,8,3.5,SATA 6.0 Gb/s,160
Hitachi Ultrastar 7K3000,113.44,2000,0.057,7200,64,3.5,SATA 6.0 Gb/s,160
Intel 600p,119,512,0.232,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate BarraCuda,122.74,1500,0.082,7200,32,3.5,SATA 3.0 Gb/s,160
Western Digital Black,299,4000,0.075,7200,64,3.5,SATA 6.0 Gb/s,160
Western Digital Green,,4000,,5900,64,3.5,SATA 6.0 Gb/s,550
Western Digital Blue,,1000,,,64,2.5,SATA 6.0 Gb/s,550
Western Digital PC SN730,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Toshiba MG07ACA14TE,219,14000,0.016,7200,256,3.5,SATA 6.0 Gb/s,160
TEAMGROUP Cardea A440,62.99,1000,0.063,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
ADATA LEGEND 850 LITE,31.99,500,0.064,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Sabrent Rocket Q4,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
PNY XLR8 CS3140 w/Heatsink,,2000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power UD80,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar Professional NM800PRO w/Heatsink,92.99,1000,0.093,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate FireCuda 120,,2000,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Force Cardea Zero Z330,37.99,512,0.074,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate IronWolf 525,179.99,1000,0.18,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate BarraCuda,37.35,500,0.075,7200,16,3.5,SATA 3.0 Gb/s,160
Crucial MX300,249.99,525,0.476,SSD,0,M.2,M.2 SATA,550
Klevv CRAS C710,42.99,1000,0.043,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Gigabyte AORUS RGB,,256,,SSD,512,M.2,M.2 PCIe 3.0 X4,3500
Mushkin Pilot-E,64.99,1000,0.065,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial MX300,199.99,1050,0.19,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Caviar Black,192.98,4000,0.048,7200,128,3.5,SATA 6.0 Gb/s,160
Sabrent Rocket 4.0 HTSK,79.98,1000,0.08,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Caviar Blue,156.03,1000,0.156,7200,32,3.5,SATA 3.0 Gb/s,160
Western Digital Black,,5000,,7200,128,3.5,SATA 6.0 Gb/s,160
Seagate NAS HDD,,8000,,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate BarraCuda 120,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Force Cardea Zero Z340,,4000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
MSI SPATIUM S270,,960,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate IronWolf NAS,432.84,14000,0.031,7200,256,3.5,SATA 6.0 Gb/s,160
Lexar NM610PRO,,2000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital RE,18.94,250,0.076,7200,64,3.5,SATA 6.0 Gb/s,160
Western Digital Purple Pro,194.99,8000,0.024,7200,256,3.5,SATA 6.0 Gb/s,160
Intel D3-S4520,613.95,7680,0.08,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red,197.5,2000,0.099,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Mushkin Tempest,49.99,1000,0.05,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Integral M2,,500,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Red,419,10000,0.042,5400,256,3.5,SATA 6.0 Gb/s,160
Western Digital Blue SN550,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN750,,4000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
ADATA LEGEND 700,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 840,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
GOODRAM CL100 gen.3,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Create Classic,56.99,1000,0.057,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
HP EX900 Plus,84.99,2000,0.042,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar NS100,109,512,0.213,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Gold,109.49,4000,0.027,7200,128,3.5,SATA 6.0 Gb/s,160
Toshiba P300,65.65,2000,0.033,5400,128,3.5,SATA 6.0 Gb/s,160
HP EX920,72.99,512,0.143,SSD,512,M.2,M.2 PCIe 3.0 X4,3500
Apacer AS350 PANTHER,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair CSSD-F4000GBMP600PHX,409.99,4000,0.102,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Purple,,6000,,5640,128,3.5,SATA 6.0 Gb/s,550
TEAMGROUP CX1,15.99,240,0.067,SSD,0,2.5,SATA 6.0 Gb/s,550
ADATA XPG SX8100,47.99,512,0.094,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Intel Optane 905P,,380,,SSD,0,M.2-22110,M.2 PCIe 3.0 X4,3500
Western Digital Red,264.45,10000,0.026,5400,256,3.5,SATA 6.0 Gb/s,160
Seagate SkyHawk Surveillance,77.52,3000,0.026,5000,256,3.5,SATA 6.0 Gb/s,550
Western Digital VelociRaptor,42,300,0.14,10000,16,3.5,SATA 3.0 Gb/s,300
Samsung 830,,128,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate ST4000DX001,,4000,,,64,3.5,SATA 6.0 Gb/s,550
Samsung SM951,,128,,SSD,256,M.2,M.2 PCIe 3.0 X4,3500
KingDian S280,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Gigabyte UD PRO 512,,512,,SSD,512,2.5,SATA 6.0 Gb/s,550
PNY CS1031,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Apacer AS2280P4,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Addlink S20,24.22,512,0.047,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Blue,139.99,6000,0.023,5400,64,3.5,SATA 6.0 Gb/s,160
Apacer AS350 PANTHER,,512,,SSD,0,2.5,SATA 6.0 Gb/s,550
Inland TN320,21.99,256,0.086,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Lexar NM710,150,500,0.3,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial MX200,397.77,500,0.796,SSD,0,M.2-2260,M.2 SATA,550
Seagate FireCuda,80,500,0.16,,0,2.5,SATA 6.0 Gb/s,550
Intel 760p,760.3,2000,0.38,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Inland Professional,34.99,480,0.073,SSD,0,2.5,SATA 6.0 Gb/s,550
Verbatim Vi550,30.07,512,0.059,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate SkyHawk,91.99,4000,0.023,5900,64,3.5,SATA 6.0 Gb/s,550
ADATA SU800,701.13,2000,0.351,SSD,0,2.5,SATA 6.0 Gb/s,550
KIOXIA EXCERIA PLUS G2,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung Spinpoint F3,,500,,7200,16,3.5,SATA 3.0 Gb/s,160
Samsung Spinpoint F4,,2000,,5400,32,3.5,SATA 3.0 Gb/s,160
Western Digital Caviar Green,,3000,,5400,64,3.5,SATA 6.0 Gb/s,160
Crucial M500,190,240,0.792,SSD,0,2.5,SATA 6.0 Gb/s,550
Supermicro HDD-T4000-ST4000NM00,,4000,,7200,128,3.5,SATA 6.0 Gb/s,160
SanDisk Ultra II,,960,,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba X300,,5000,,7200,128,3.5,SATA 6.0 Gb/s,160
Seagate Barracuda Compute,,500,,SSD,0,2.5,SATA 6.0 Gb/s,550
Lexar NM620,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
KIOXIA EXCERIA,,250,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
MSI SPATIUM S270,,480,,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba S300 Pro,,6000,,7200,256,3.5,SATA 6.0 Gb/s,160
Lexar NM700,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate Lightsaber Collection FireCuda,159.99,1000,0.16,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP MP44,59.99,1000,0.06,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Purple Pro,264.99,14000,0.019,7200,512,3.5,SATA 6.0 Gb/s,160
Seagate FireCuda,210,2000,0.105,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Gigabyte AORUS Gen4 7000s Premium,,1000,,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
Inland Gaming Performance Plus,134.99,2000,0.067,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Purple Pro,214.99,10000,0.021,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Gold,319.99,14000,0.023,7200,512,3.5,SATA 6.0 Gb/s,160
Klevv CRAS C720,72.98,2000,0.036,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
KingSpec NX-2280,21.99,128,0.172,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Hitachi Ultrastar 7K6000,88.99,4000,0.022,7200,128,3.5,SATA 6.0 Gb/s,160
Seagate SkyHawk AI,374.99,20000,0.019,7200,256,3.5,SATA 6.0 Gb/s,160
Integral M,,128,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Cardea A440 Pro,187.7,2000,0.094,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Caviar Green,40.99,1000,0.041,5400,32,3.5,SATA 3.0 Gb/s,160
Corsair MP510,81.08,480,0.169,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP GX1,38.99,480,0.081,SSD,0,2.5,SATA 6.0 Gb/s,550
PNY XLR8 CS3030,47.67,250,0.191,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Apacer AS2280P4,,256,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Apacer AS340 PANTHER,,120,,SSD,0,2.5,SATA 6.0 Gb/s,550
Inland Prime,29.99,250,0.12,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
OCZ Colossus,,1000,,SSD,128,3.5,SATA 3.0 Gb/s,300
Seagate ST1000DM004,,1000,,7200,64,3.5,SATA 6.0 Gb/s,160
SK Hynix SL308,,250,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Blue,99.99,500,0.2,SSD,0,M.2,M.2 SATA,550
TEAMGROUP MP34,,512,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Transcend 110S,28.98,256,0.113,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
TEAMGROUP T-Force Vulcan G,,1000,,SSD,0,2.5,SATA 6.0 Gb/s,550
GOODRAM CL100 gen.3,,240,,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair MP600 MINI,99.99,1000,0.1,SSD,0,M.2-2230,M.2 PCIe 4.0 X4,7000
