name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed,capacity_spec,cache_spec,speed_spec
ADATA XPG GAMMIX S11 Pro,42.92,0.011276827937431793,0.9652578003983182,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.256,0,3500
Intel 760p,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
TEAMGROUP GX1,28.0,0.005092761004001455,0.9508740871874308,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Western Digital Purple,,0.04510731174972717,,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,64,550
SanDisk X400,194.53,0.005456529647144416,0.666076565611861,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,0.128,0,550
Samsung 850 Evo,305.0,0.04510731174972717,0.9349413587076787,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,1.0,0,550
Seagate BarraCuda,242.08,0.13604947253546743,0.984509847311352,HDD,0.0009765625,2.5,SATA 6.0 Gb/s,0.0,3.0,128,160
Toshiba MG08ADA800E,188.99,0.3634048744998181,0.9971232573578225,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Western Digital Scorpio Blue,,0.02237177155329211,,HDD,6.103515625e-05,2.5,SATA 3.0 Gb/s,0.0,0.5,8,160
Hitachi 7K1000.C,137.5,0.02237177155329211,0.9415799955742421,HDD,0.0001220703125,3.5,SATA 3.0 Gb/s,0.0,0.5,16,160
Samsung 850 Pro,,0.005456529647144416,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.128,0,550
Transcend TS512GSSD230S,34.99,0.02291742451800655,0.9873865899535296,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.512,0,550
ADATA XPG SX8200 480,,0.021462349945434705,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.48,0,3500
Western Digital Purple,291.33,0.5452891960712987,0.9971232573578225,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,12.0,256,160
MSI SPATIUM M461,,0.02237177155329211,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.5,0,7000
Seagate Exos 7E10 512n,209.9,0.2724627137140778,0.9946890905067493,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,6.0,256,160
Hitachi Ultrastar 7K4000,,0.13604947253546743,,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,3.0,64,160
Seagate Enterprise Capacity,170.62,0.18152055292833758,0.9929187873423324,HDD,0.0009765625,3.5,SATA 6.0 Gb/s,0.0,4.0,128,160
Toshiba X300,207.99,0.3634048744998181,0.9966806815667183,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
TEAMGROUP T-Force Cardea Ceramic C440,413.0,0.04510731174972717,0.9110422659880505,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Addlink S90 Lite,49.99,0.04510731174972717,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Lexar NS100,76.99,0.09057839214259732,0.994025226820093,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,0,550
Mushkin ELEMENT,37.99,0.04510731174972717,0.994025226820093,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Seagate EXOS Enterprise,127.49,0.18152055292833758,0.9953529541934056,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Toshiba X300 Pro,164.99,0.3634048744998181,0.9977871210444789,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Western Digital Gold,109.99,0.09057839214259732,0.990263332595707,HDD,0.0009765625,3.5,SATA 6.0 Gb/s,0.0,2.0,128,160
Intel 660p,86.99,0.02291742451800655,0.964815224607214,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
Seagate IronWolf 125,128.18,0.04510731174972717,0.9741093162204028,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Western Digital Purple,83.0,0.09057839214259732,0.9931400752378845,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,2.0,64,160
Leven JS600,,0.02291742451800655,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.512,0,550
MSI SPATIUM M390,128.52,0.09057839214259732,0.988271741535738,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
TEAMGROUP T-Force Delta RGB Lite,43.99,0.02237177155329211,0.9829608320424873,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,0,550
ADATA Ultimate SU650,101.0,0.021462349945434705,0.9559637087851295,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
Seagate BarraCuda 120,,0.09057839214259732,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,0,550
Western Digital Purple,415.0,0.8181156784285195,0.9973445452533747,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,18.0,512,160
HP S700,17.98,0.011004001455074573,0.9865014383713211,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.25,0,550
Netac NV5000,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Seagate Barracuda 7200.12,,0.02237177155329211,,HDD,0.0001220703125,3.5,SATA 3.0 Gb/s,0.0,0.5,16,160
Crucial MX200,,0.011004001455074573,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.25,0,550
Kingston SSDNow UV400,,0.021462349945434705,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
Western Digital Black NVMe,,0.02237177155329211,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
Micron 1100,,0.02291742451800655,,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,0.512,0,550
Micron 2200,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Apacer AS350 PANTHER,,0.011276827937431793,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.256,0,550
Toshiba L200,69.99,0.09057839214259732,0.9946890905067493,HDD,0.0009765625,2.5,SATA 6.0 Gb/s,0.0,2.0,128,160
Addlink S95,112.88,0.09057839214259732,0.9900420447001549,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
HP FX900 Pro,114.99,0.09057839214259732,0.9898207568046028,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Intel 320,73.0,0.0014550745725718443,0.5985837574684665,SSD,0.0,2.5,SATA 3.0 Gb/s,0.02046783625730994,0.04,0,300
Seagate SkyHawk,71.66,0.09057839214259732,0.9944678026111972,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,64,550
Patriot Viper VPR400 RGB,42.99,0.02291742451800655,0.9838459836246958,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.512,0,7000
Transcend MTS800,40.15,0.0025463805020007274,0.8636866563398982,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,0.064,0,550
Western Digital Black SN750 Rev2,198.33,0.09057839214259732,0.9805266651914141,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Inland Gaming Performance Plus,322.99,0.18152055292833758,0.984509847311352,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Toshiba N300 Pro,229.99,0.45434703528555836,0.9973445452533747,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,10.0,512,160
Kingston DC1000B,77.98,0.010549290651145871,0.9305156007966364,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.24,0,3500
KIOXIA EXCERIA PRO,269.38,0.09057839214259732,0.972560300951538,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Western Digital Caviar Blue,75.0,0.00327391778828665,0.794866120823191,HDD,6.103515625e-05,3.5,SATA 3.0 Gb/s,0.0,0.08,8,160
ADATA Ultimate SU650,,0.005092761004001455,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
ADATA SU760,67.98,0.04510731174972717,0.9873865899535296,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Kingston HyperX 3K,105.51,0.005092761004001455,0.8079221066607657,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Intel DC P4511,,0.09057839214259732,,SSD,0.0,M.2-22110,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Seagate Exos 7E8,139.38,0.09057839214259732,0.9869440141624253,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,2.0,256,160
Crucial P5,,0.011004001455074573,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.25,0,3500
Transcend 220S,59.84,0.04510731174972717,0.9891568931179464,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Samsung 750 EVO,,0.005092761004001455,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Crucial MX300,,0.04738086576937068,,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,1.05,0,550
Toshiba XG5,,0.02291742451800655,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
Western Digital PC SN730,75.0,0.02291742451800655,0.9701261341004647,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB,,0.04510731174972717,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Klevv CRAS C700 RGB,,0.021462349945434705,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.48,0,3500
Western Digital Red Plus,139.99,0.2724627137140778,0.9973445452533747,HDD,0.0009765625,3.5,SATA 6.0 Gb/s,0.0,6.0,128,160
TEAMGROUP T-Force Cardea A440 Pro,62.99,0.04510731174972717,0.9884930294312901,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Inland TN320,84.99,0.09057839214259732,0.9931400752378845,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Seagate SkyHawk Surveillance,141.94,0.2724627137140778,0.9971232573578225,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,6.0,256,160
Toshiba N300,319.99,0.7271735176427793,0.998008408940031,HDD,0.0,3.5,SATA 6.0 Gb/s,0.0,16.0,0,160
Western Digital Black,39.95,0.02237177155329211,0.9847311352069041,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,0.5,64,160
TEAMGROUP EX2,599.99,0.3634048744998181,0.9858375746846647,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,8.0,0,550
Fantom Drives VENOM8,357.94,0.18152055292833758,0.9827395441469352,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Silicon Power UD80,,0.02237177155329211,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
ADATA XPG GAMMIX S70,791.0,0.09057839214259732,0.9150254481079885,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Silicon Power A80,,0.011276827937431793,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.256,0,3500
ADATA XPG SX8100,109.99,0.09057839214259732,0.990263332595707,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
TEAMGROUP T-Force Delta Max RGB Lite,44.99,0.02291742451800655,0.9829608320424873,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.512,0,550
Western Digital Purple,99.87,0.18152055292833758,0.9969019694622704,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,4.0,64,160
Seagate IronWolf 125,223.7,0.09057839214259732,0.9776499225492365,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,0,550
Seagate IronWolf 125,54.99,0.011004001455074573,0.9537508298296083,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.25,0,550
Western Digital Blue,93.96,0.02237177155329211,0.9608320424872759,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,0,550
Neo Forza eSports,69.99,0.04510731174972717,0.9869440141624253,SSD,0.00390625,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,512,3500
SanDisk EXTREME PRO,71.99,0.02237177155329211,0.970568709891569,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
Seagate Barracuda Green,,0.09057839214259732,,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,64,550
TEAMGROUP T-Force Vulcan,,0.02237177155329211,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,0,550
Inland 1TB Performance,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Acer Predator GM3500,,0.04510731174972717,,SSD,0.0078125,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,1024,3500
Netac NV7000,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Nextorage NEM-PA,258.62,0.18152055292833758,0.9880504536401858,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
TEAMGROUP MP44,284.99,0.18152055292833758,0.9867227262668732,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
TEAMGROUP CX1,22.49,0.021462349945434705,0.9920336357601239,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
ADATA Legend 960,319.99,0.18152055292833758,0.9847311352069041,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Western Digital Red,49.99,0.011004001455074573,0.9581765877406506,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.25,0,3500
PNY CS2130,44.9,0.02237177155329211,0.982518256251383,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
Seagate IronWolf Pro,260.0,0.45434703528555836,0.9966806815667183,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,10.0,256,160
Addlink S20,41.66,0.04510731174972717,0.9931400752378845,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Klevv NEO N400,14.99,0.010549290651145871,0.9887143173268422,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.24,0,550
Toshiba X300,284.99,0.7271735176427793,0.9984509847311352,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,16.0,512,160
Lexar NM760,276.0,0.04510731174972717,0.94135870767869,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Toshiba X300,214.99,0.5452891960712987,0.9984509847311352,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,12.0,256,160
TEAMGROUP T-Force Cardea A440 Pro,359.99,0.18152055292833758,0.982518256251383,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Integral M2,,0.011004001455074573,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.25,0,3500
TEAMGROUP MS30,19.98,0.005456529647144416,0.9679132551449435,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,0.128,0,550
Intenso High Performance,53.83,0.021462349945434705,0.9776499225492365,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
Seagate FireCuda 120,,0.18152055292833758,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,4.0,0,550
Toshiba X300,152.99,0.18152055292833758,0.994025226820093,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Nextorage NEM-PA,71.9,0.04510731174972717,0.9865014383713211,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Mushkin Vortex-LX,34.99,0.02291742451800655,0.9873865899535296,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,0.512,0,7000
Intenso 3812430,25.99,0.005456529647144416,0.9575127240539942,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.128,0,550
Western Digital Ultrastar DC HC520,275.85,0.5452891960712987,0.9973445452533747,HDD,0.0,3.5,SATA 6.0 Gb/s,0.0,12.0,0,160
Addlink S68,42.99,0.04510731174972717,0.9929187873423324,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Western Digital Ultrastar DC HC330,239.99,0.45434703528555836,0.9971232573578225,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,10.0,256,160
Lexar NQ100,,0.021462349945434705,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
Netac NV2000,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Seagate Barracuda 7200.10,,0.006911604219716261,,HDD,6.103515625e-05,3.5,SATA 3.0 Gb/s,0.0,0.16,8,160
Micron 1100,199.99,0.04510731174972717,0.9581765877406506,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Silicon Power US70,,0.04510731174972717,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Patriot Viper VPN110,59.99,0.04510731174972717,0.9891568931179464,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Western Digital Scorpio Blue,,0.04510731174972717,,HDD,6.103515625e-05,2.5,SATA 3.0 Gb/s,0.02046783625730994,1.0,8,300
Western Digital VelociRaptor,97.06,0.02237177155329211,0.9595043151139633,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,64,550
Hitachi Travelstar 7K1000,,0.04510731174972717,,HDD,0.000244140625,2.5,SATA 6.0 Gb/s,0.0,1.0,32,160
Samsung PM961,109.0,0.02291742451800655,0.9552998450984731,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
Corsair Force MP500,,0.021462349945434705,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.48,0,3500
Silicon Power Ace A56,,0.04510731174972717,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,0,550
Seagate Exos 7E8 512e,232.22,0.3634048744998181,0.9960168178800619,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Patriot Viper VPN110,99.99,0.09057839214259732,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
ADATA ATOM 50,117.42,0.09057839214259732,0.9893781810134986,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
ADATA Legend 850,,0.09057839214259732,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Toshiba N300,265.99,0.45434703528555836,0.9964593936711662,HDD,0.0,3.5,SATA 6.0 Gb/s,0.0,10.0,0,160
Mushkin Source HC,927.02,0.3634048744998181,0.9767647709670281,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,8.0,0,550
Kingston KC600,29.18,0.011276827937431793,0.9772073467581324,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.256,0,550
Mushkin Tempest,21.99,0.011276827937431793,0.9834034078335915,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.256,0,3500
Western Digital Caviar Blue,108.59,0.04510731174972717,0.9783137862358929,HDD,0.000244140625,3.5,SATA 6.0 Gb/s,0.0,1.0,32,160
ADATA Legend 750,75.17,0.04510731174972717,0.9858375746846647,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Seagate IronWolf Pro NAS,179.99,0.2724627137140778,0.9957955299845098,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,6.0,256,160
Western Digital Purple,69.0,0.09057839214259732,0.9946890905067493,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,2.0,64,160
Western Digital Blue,174.99,0.04510731174972717,0.9637087851294535,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,1.0,0,550
SanDisk X600,889.0,0.04510731174972717,0.8057092277052446,SSD,0.0,M.2,M.2 SATA,0.05701754385964912,1.0,0,550
Klevv CRAS C920,59.99,0.04510731174972717,0.9891568931179464,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Crucial M550,39.99,0.005456529647144416,0.9333923434388139,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.128,0,550
Seagate BarraCuda,43.99,0.02237177155329211,0.9829608320424873,HDD,0.0009765625,2.5,SATA 6.0 Gb/s,0.0,0.5,128,160
Western Digital Black NVMe,59.0,0.011004001455074573,0.9502102235007746,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.25,0,3500
SanDisk SSD PLUS,59.99,0.043288468534012366,0.9887143173268422,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.96,0,550
Seagate IronWolf Pro,,0.5452891960712987,,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,12.0,256,160
XPG SX6000 Lite,,0.005456529647144416,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.128,0,3500
PNY XLR8 CS3040 w/Heatsink,171.89,0.09057839214259732,0.9834034078335915,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Western Digital Caviar Blue,,0.014186977082575483,,HDD,6.103515625e-05,3.5,SATA 3.0 Gb/s,0.0,0.32,8,160
Seagate BarraCuda,94.47,0.04510731174972717,0.9816331046691746,HDD,0.00048828125,3.5,SATA 3.0 Gb/s,0.0,1.0,64,160
Seagate BarraCuda,29.99,0.014186977082575483,0.9816331046691746,HDD,0.0001220703125,3.5,SATA 3.0 Gb/s,0.0,0.32,16,160
Crucial M4,,0.005456529647144416,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.128,0,550
OCZ Vertex 3,,0.005092761004001455,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Western Digital Caviar Green,,0.06784285194616224,,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,1.5,64,160
Crucial M500,75.0,0.005092761004001455,0.8641292321310025,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.12,0,550
Crucial MX100,,0.005456529647144416,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.128,0,550
SanDisk EXTREME PRO,299.99,0.043288468534012366,0.9333923434388139,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.96,0,550
Seagate BarraCuda Pro,,0.3634048744998181,,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Intel 545s,,0.02291742451800655,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.512,0,550
Micron 1100,,0.011276827937431793,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.256,0,550
Samsung MZ1LV960HCJH,,0.043288468534012366,,SSD,0.0,M.2-22110,M.2 PCIe 3.0 X4,0.48830409356725146,0.96,0,3500
Inland Platinum,,0.09057839214259732,,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
KingSpec P3,,0.011276827937431793,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.256,0,550
Micron 3400,107.8,0.04510731174972717,0.978535074131445,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Sabrent Rocket 4.0,74.98,0.02291742451800655,0.9701261341004647,SSD,0.0,M.2-2230,M.2 PCIe 4.0 X4,1.0,0.512,0,7000
Western Digital Red Plus,93.99,0.18152055292833758,0.9973445452533747,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,4.0,64,160
Seagate SkyHawk AI,359.43,0.7271735176427793,0.9975658331489268,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,16.0,256,160
Seagate IronWolf 125,81.34,0.02237177155329211,0.9663642398760788,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,0,550
Nextorage G-Series,66.9,0.04510731174972717,0.9876078778490817,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Transcend 250H,134.99,0.09057839214259732,0.9876078778490817,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
KIOXIA EXCERIA,91.33,0.043288468534012366,0.9814118167736224,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.96,0,550
Toshiba N300,185.99,0.45434703528555836,0.998229696835583,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,10.0,256,160
Seagate FireCuda,336.62,0.04510731174972717,0.9278601460500111,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Seagate IronWolf NAS,,0.8181156784285195,,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,18.0,256,160
Mushkin Tempest,28.99,0.02291742451800655,0.9898207568046028,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
Seagate EXOS Enterprise,243.45,0.2724627137140778,0.9933613631334366,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,6.0,256,160
Western Digital Purple Pro,263.99,0.5452891960712987,0.9975658331489268,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,12.0,256,160
Western Digital Scorpio Blue,27.99,0.00327391778828665,0.9249834034078336,HDD,6.103515625e-05,2.5,SATA 3.0 Gb/s,0.0,0.08,8,160
Seagate Enterprise Capacity,125.0,0.09057839214259732,0.9887143173268422,HDD,0.0009765625,3.5,SATA 6.0 Gb/s,0.0,2.0,128,160
Seagate BarraCuda Pro,220.0,0.45434703528555836,0.9975658331489268,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,10.0,256,160
Intel Optane DC P4801X,,0.004183339396144052,,SSD,0.0,M.2-22110,M.2 PCIe 3.0 X4,0.48830409356725146,0.1,0,3500
Seagate BarraCuda,,0.011004001455074573,,HDD,0.0001220703125,3.5,SATA 6.0 Gb/s,0.0,0.25,16,160
Western Digital Blue,71.63,0.033739541651509636,0.9811905288780703,HDD,6.103515625e-05,2.5,SATA 6.0 Gb/s,0.0,0.75,8,160
Seagate IronWolf NAS,250.0,0.45434703528555836,0.9969019694622704,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,10.0,256,160
Intel DC S3610,889.99,0.07238995998544925,0.8793980969240982,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.6,0,550
Western Digital Caviar Green,,0.02237177155329211,,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,0.5,64,160
Seagate 600,139.99,0.010549290651145871,0.8734233237441912,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.24,0,550
Intel 730,587.09,0.021462349945434705,0.7317990705908386,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.48,0,550
