name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed,capacity_spec,cache_spec,speed_spec
Intel 670p,69.98,0.09057839214259732,0.9946890905067493,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Western Digital Blue SN570,26.99,0.02237177155329211,0.9904846204912592,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
Samsung 980 Pro,49.99,0.02237177155329211,0.9803053772958619,SSD,0.00390625,M.2,M.2 PCIe 4.0 X4,1.0,0.5,512,7000
Crucial P3,83.29,0.09057839214259732,0.9931400752378845,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
Crucial MX500,47.99,0.04510731174972717,0.9918123478645718,SSD,0.0078125,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,1024,550
Western Digital Gold,549.99,1.0,0.9969019694622704,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,22.0,512,160
Kingston KC3000,145.13,0.09276100400145508,0.9867227262668732,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.048,0,7000
Seagate Barracuda Compute,114.99,0.3634048744998181,0.9993361363133436,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,8.0,256,160
Samsung 870 Evo,39.25,0.02237177155329211,0.9849524231024563,SSD,0.00390625,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.5,512,550
Western Digital Blue,53.99,0.09057839214259732,0.9964593936711662,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,2.0,256,160
Samsung 970 Evo Plus,31.48,0.011004001455074573,0.9745518920115069,SSD,0.00390625,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.25,512,3500
Seagate IronWolf Pro NAS,289.99,1.0,0.9995574242088958,HDD,0.00390625,3.5,SATA 6.0 Gb/s,0.0,22.0,512,160
MSI SPATIUM M450,37.99,0.04510731174972717,0.994025226820093,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Silicon Power P34A60,22.97,0.02291742451800655,0.9924762115512281,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
Corsair MP600 PRO XT,1014.99,0.3634048744998181,0.9743306041159548,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,8.0,0,7000
Silicon Power UD90,78.97,0.09057839214259732,0.9938039389245408,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Crucial P3,209.76,0.18152055292833758,0.9909271962823634,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,4.0,0,3500
Samsung 980 Pro w/Heatsink,126.0,0.09057839214259732,0.9884930294312901,SSD,0.015625,M.2,M.2 PCIe 4.0 X4,1.0,2.0,2048,7000
Solidigm P41 Plus,79.99,0.09057839214259732,0.9935826510289887,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
SK Hynix Platinum P41,,0.09057839214259732,,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Sabrent Rocket 4 Plus,129.99,0.09057839214259732,0.9880504536401858,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Samsung 980,27.99,0.02237177155329211,0.9900420447001549,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,0,3500
