chipset,memory,core_clock,boost_clock,G3Dmark,G2Dmark,testDate,category
GeForce GTX 770,4.0,1137.0,1137.0,5892,551,2013,Desktop
Quadro M2000,4.0,872.0,1180.0,3942,565,2016,Workstation
Radeon Pro WX 4100,4.0,925.0,975.0,3766,690,2017,Desktop
Quadro P5000,16.0,1607.0,1733.0,11976,701,2016,Workstation
T1000,8.0,1065.0,1395.0,7829,831,2021,Unknown
T1000,4.0,1065.0,1395.0,7829,831,2021,Unknown
Quadro P1000,4.0,1354.0,1455.0,4466,659,2017,Workstation
Radeon PRO W6600,8.0,2331.0,2580.0,14212,1006,2021,Unknown
GeForce GTX 660,2.0,1020.0,1020.0,4004,476,2012,Desktop
GeForce GTX 660,3.0,980.0,980.0,4004,476,2012,Desktop
Radeon Pro WX 7100,8.0,900.0,1080.0,7822,787,2016,Workstation
T400,4.0,420.0,1425.0,3627,561,2021,Unknown
T400,2.0,420.0,1425.0,3627,561,2021,Unknown
GeForce GTX 950,2.0,1190.0,1393.0,5392,641,2015,Desktop
Quadro P400,2.0,1070.0,1170.0,1614,427,2017,Workstation
Radeon R9 380,4.0,970.0,1000.0,6275,675,2016,Desktop
Radeon R9 380,2.0,990.0,990.0,6275,675,2016,Desktop
GeForce GTX 760,2.0,1085.0,1085.0,4775,523,2013,Desktop
GeForce GTX 760,4.0,1085.0,1150.0,4775,523,2013,Desktop
T600,4.0,735.0,1335.0,6509,738,2021,Unknown
Radeon Pro WX 3100,4.0,925.0,1219.0,2627,491,2017,Workstation
Quadro M6000,24.0,988.0,1114.0,11397,788,2015,Workstation
Quadro M6000,12.0,988.0,988.0,11397,788,2015,Workstation
Quadro K6000,12.0,902.0,902.0,8108,556,2013,Workstation
Radeon Pro WX 9100,16.0,1200.0,1500.0,13241,772,2017,Desktop
Radeon PRO W6400,4.0,2331.0,2331.0,5916,621,2022,Unknown
Radeon R9 270X,2.0,1020.0,1020.0,4923,607,2013,Desktop
Radeon R9 270X,4.0,1050.0,1100.0,4923,607,2013,Desktop
Radeon R9 290,4.0,1000.0,1000.0,8409,789,2020,Unknown
Radeon Pro W5500,8.0,1354.0,1900.0,9269,896,2020,Desktop
Quadro P620,2.0,1266.0,1354.0,3640,575,2018,Workstation
Radeon RX 460,2.0,1090.0,1210.0,4114,570,2016,Desktop
Radeon RX 460,4.0,1175.0,1250.0,4114,570,2016,Desktop
GeForce GTX 650,2.0,1110.0,1110.0,1769,346,2012,Desktop
GeForce GTX 650,1.0,1150.0,1150.0,1769,346,2012,Desktop
Radeon R9 Fury,4.0,1050.0,1050.0,9551,791,2015,Unknown
Radeon VII,16.0,1400.0,1750.0,16767,788,2019,Desktop
GeForce GTX 750,2.0,1059.0,1137.0,3399,480,2014,Desktop
GeForce GTX 750,1.0,1059.0,1137.0,3399,480,2014,Desktop
Quadro K4200,4.0,771.0,771.0,4337,502,2014,Workstation
Quadro GP100,16.0,1380.0,1441.0,16203,858,2017,Workstation
Radeon Pro W5700,8.0,1243.0,1930.0,15085,908,2020,Desktop
GeForce GTX 780 Ti,3.0,1006.0,1072.0,9312,626,2013,Desktop
GeForce GTX 780 Ti,2.0,1072.0,1150.0,9312,626,2013,Desktop
Quadro M4000,8.0,,,6644,689,2015,Workstation
GeForce GTX 780,3.0,967.0,967.0,8022,601,2013,Desktop
GeForce GTX 780,6.0,967.0,1020.0,8022,601,2013,Desktop
Radeon Pro WX 5100,8.0,926.0,1206.0,5511,820,2016,Workstation
Radeon HD 7750,2.0,800.0,800.0,1696,398,2012,Desktop
Radeon HD 7750,1.0,,,1696,398,2012,Desktop
Radeon HD 7750,4.0,800.0,800.0,1696,398,2012,Desktop
Quadro P2200,5.0,1000.0,1493.0,9486,971,2019,Workstation
Radeon R7 370,4.0,1020.0,1070.0,4479,595,2016,Desktop
Radeon R7 370,2.0,970.0,1020.0,4479,595,2016,Desktop
Quadro K620,2.0,1058.0,1058.0,2246,472,2014,Workstation
FirePro W9100,16.0,930.0,930.0,7719,790,2014,Workstation
FirePro W9100,32.0,930.0,930.0,7719,790,2014,Workstation
GeForce GTX 260,0.875,680.0,680.0,1221,88,2012,Desktop
GeForce GTX 560 Ti,1.0,900.0,900.0,3056,416,2012,Desktop
GeForce GTX 560 Ti,2.0,822.0,822.0,3056,416,2012,Desktop
Radeon HD 7990,6.0,950.0,950.0,5566,766,2013,Desktop
Radeon R9 280X,3.0,1070.0,1070.0,6284,692,2016,Desktop
