chipset,memory,core_clock,boost_clock,Median Score,Number of Benchmarks
GeForce GTX 660,3.0,980.0,980.0,122.49,3
GeForce GTX 950,2.0,1190.0,1393.0,144.77,2
GeForce GTX 760,2.0,1085.0,1085.0,163.11,3
GeForce GTX 760,4.0,1085.0,1150.0,163.11,3
RTX A5500,24.0,1170.0,1695.0,5322.51,2
Quadro M6000,24.0,988.0,1114.0,481.92,1
Quadro M6000,12.0,988.0,988.0,481.92,1
Radeon Pro W5500,8.0,1354.0,1900.0,501.76,10
Quadro P620,2.0,1266.0,1354.0,125.33,1
GeForce GTX 650,2.0,1110.0,1110.0,46.84,1
GeForce GTX 650,1.0,1150.0,1150.0,46.84,1
Radeon VII,16.0,1400.0,1750.0,724.72,2
Radeon Pro W5700,8.0,1243.0,1930.0,838.5,6
GeForce GTX 780 Ti,3.0,1006.0,1072.0,386.65,1
GeForce GTX 780 Ti,2.0,1072.0,1150.0,386.65,1
Quadro M4000,8.0,,,233.94,5
GeForce GTX 780,3.0,967.0,967.0,298.53,1
GeForce GTX 780,6.0,967.0,1020.0,298.53,1
Quadro P2200,5.0,1000.0,1493.0,335.32,3
Quadro K620,2.0,1058.0,1058.0,81.6,2
Quadro K2200,4.0,1046.0,1046.0,121.34,1
Quadro P6000,24.0,1417.0,1531.0,841.6,2
GeForce GTX 670,2.0,1006.0,1006.0,213.41,2
GeForce GTX 670,4.0,967.0,967.0,213.41,2
Quadro M5000,8.0,861.0,1038.0,330.04,1
GeForce GT 640,2.0,901.0,901.0,31.9,2
GeForce GT 640,1.0,,,31.9,2
GeForce GT 640,4.0,901.0,901.0,31.9,2
Quadro K5200,8.0,667.0,667.0,292.55,1
