cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Pentium J3710,,1465,,715,,6.5,225.39,4,2016,unknown,Desktop
AMD Opteron 1352,135.99,1464,10.76,849,6.24,75.0,19.52,4,2009,AM2,Server
AMD Phenom 9450e Quad-Core,105.0,1455,13.86,841,8.01,65.0,22.39,4,2010,AM2+,Desktop
AMD A6-6400K APU,19.81,1453,73.35,1429,72.14,65.0,22.35,1,2013,FM2,Desktop
Intel Xeon E5320,38.75,1451,37.43,768,19.83,80.0,18.13,4,2009,LGA771,Server
Intel Xeon X5272,140.0,1451,10.36,1411,10.08,80.0,18.14,2,2009,LGA771,Server
Intel Core i3-530,115.19,1449,12.58,1176,10.21,73.0,19.85,2,2010,LGA1156,Desktop
Intel Xeon E5240,88.78,1448,16.32,1312,14.78,65.0,22.28,2,2009,LGA771,Server
Intel Core i3-4020Y,,1447,,796,,11.5,125.86,2,2014,BGA1168,Desktop
AMD Athlon II X3 415e,75.0,1441,19.21,1028,13.71,45.0,32.02,3,2010,AM3,Desktop
AMD Athlon X3 440,87.99,1438,16.35,1129,12.83,95.0,15.14,3,2010,unknown,Unknown
Intel Pentium G860,22.93,1437,62.66,1389,60.57,65.0,22.11,2,2011,FCLGA1155,Desktop
AMD A4-6300 APU,28.99,1431,49.36,1419,48.96,65.0,22.01,1,2013,FM2,Desktop
AMD Phenom II X3 700e,,1430,,969,,65.0,21.99,3,2010,AM3,Desktop
Intel Xeon E3113,9.79,1429,145.96,1282,130.96,65.0,21.98,2,2014,LGA775,Server
AMD A6-5400B APU,28.94,1428,49.36,1380,47.69,65.0,21.98,1,2013,FM2,Desktop
AMD Phenom II X2 560,23.98,1426,59.48,1450,60.49,80.0,17.83,2,2010,AM2+/AM3,Unknown
AMD Phenom II X3 740,88.99,1424,16.0,982,11.03,95.0,14.99,3,2010,unknown,Unknown
Intel Atom C2550,,1422,,554,,14.0,101.57,4,2014,FCBGA1283,Server
AMD Phenom 9150e Quad-Core,247.5,1414,5.71,721,2.91,65.0,21.75,4,2009,AM2+,Desktop
Intel Atom C2558,136.0,1410,10.37,358,2.63,15.0,94,4,2015,BGA 1283,"Laptop, Mobile/Embedded"
Intel Core2 Duo E8290,,1408,,1302,,65.0,21.66,2,2012,LGA775,Unknown
Intel Xeon E3-1220L v3,,1407,,777,,13.0,108.2,2,2014,LGA1150,Server
AMD Phenom II X2 565,168.87,1405,8.32,1413,8.37,80.0,17.57,2,2011,AM2+/AM3,Desktop
Intel Pentium G6951,75.0,1401,18.68,1137,15.16,73.0,19.19,2,2011,LGA1156,Desktop
AMD Phenom II X2 B59,48.02,1392,28.98,1384,28.82,80.0,17.4,2,2012,AM2+/AM3,Unknown
AMD Phenom 8600B Triple-Core,14.95,1390,92.96,957,64.03,95.0,14.63,3,2009,AM2+,Desktop
AMD Athlon 5150 APU,98.86,1389,14.05,550,5.56,25.0,55.57,4,2014,"AM1,FS1b",Desktop
Intel Xeon L5310,112.5,1385,12.31,662,5.88,50.0,27.7,4,2016,LGA771,Server
AMD E1-6050J APU,,1385,,787,,10.0,138.5,2,2016,unknown,Unknown
AMD A6-3500 APU,74.93,1382,18.44,958,12.79,65.0,21.25,3,2011,FM1,Desktop
Intel Pentium G850,101.97,1373,13.47,1339,13.13,65.0,21.13,2,2011,FCLGA1155,Desktop
Intel Core2 Duo E8600,149.95,1362,9.09,1413,9.42,65.0,20.96,2,2008,LGA775,Desktop
AMD Phenom II X2 570,,1360,,1408,,80.0,16.99,2,2015,AM3,Desktop
AMD Athlon II X2 280,76.89,1355,17.62,1462,19.02,65.0,20.84,2,2013,AM3,Unknown
Intel Pentium G645,93.35,1353,14.5,1303,13.96,65.0,20.82,2,2012,LGA1155,Desktop
Intel Core i3-4010Y,,1350,,744,,11.5,117.42,2,2013,BGA1168,Desktop
AMD A4-5300 APU,26.95,1349,50.06,1348,50.02,65.0,20.76,2,2012,FM2,Desktop
AMD Phenom 8750 Triple-Core,,1343,,974,,95.0,14.14,3,2009,AM2+,Desktop
Intel Xeon L3110,,1338,,1279,,45.0,29.74,2,2009,LGA775,Server
Intel Pentium G2020T,47.6,1337,28.08,1252,26.3,35.0,38.19,2,2013,FCLGA1155,Desktop
Intel Xeon L5240,31.4,1337,42.57,1299,41.36,40.0,33.42,2,2009,LGA771,Server
Intel Celeron G1610T,14.98,1334,89.04,1211,80.82,35.0,38.11,2,2013,LGA1155,Desktop
AMD Athlon II X3 405e,112.9,1331,11.79,973,8.62,45.0,29.58,3,2010,AM3,Desktop
Intel Xeon E3120,,1330,,1364,,65.0,20.47,2,2010,LGA775,Server
AMD A4-6300B APU,27.95,1328,47.51,1373,49.12,65.0,20.43,1,2013,unknown,Desktop
AMD Athlon X2 280,33.49,1327,39.63,1258,37.55,65.0,20.42,2,2014,AM3,Unknown
Intel Core i5 750S,210.19,1326,6.31,1039,4.94,82.0,16.17,4,2012,LGA1156,Desktop
Intel Xeon,,1324,,1383,,61.0,21.7,1,2018,PPGA603,Server
VIA QuadCore C4650@,,1323,,557,,,,4,2015,unknown,Unknown
AMD Athlon II X3 400e,25.49,1320,51.8,908,35.62,45.0,29.34,3,2009,AM3,Desktop
AMD Opteron 2393 SE,,1317,,1237,,105.0,12.54,2,2013,F (1207),Server
AMD Athlon X2 340 Dual Core,94.99,1315,13.85,1301,13.7,65.0,20.24,2,2013,unknown,Unknown
ARM Cortex-A73 6 Core 1992 MHz,,1311,,454,,,,6,2021,unknown,Unknown
ARM Cortex-A57 4 Core 2091 MHz,,1311,,449,,,,4,2022,unknown,Unknown
Intel Core i5-4202Y,,1309,,851,,11.5,113.85,2,2014,FCBGA1168,Desktop
AMD Phenom II X2 555,36.96,1308,35.4,1315,35.58,80.0,16.35,2,2010,AM2+/AM3,Desktop
Intel Xeon E5310,49.0,1306,26.65,640,13.05,80.0,16.33,4,2009,LGA771,Server
AMD Phenom X4 Quad-Core GP-9500,,1297,,711,,95.0,13.65,4,2009,AM2+,Desktop
Intel Pentium G6960,,1293,,1264,,73.0,17.71,2,2011,LGA1156,Desktop
AMD Phenom 8850B Triple-Core,,1281,,972,,95.0,13.48,3,2010,unknown,Desktop
AMD Phenom 9100e Quad-Core,34.95,1279,36.58,734,20.99,65.0,19.67,4,2009,AM2+,Desktop
AMD Phenom II X2 521,,1279,,1366,,65.0,19.67,2,2011,AM2+/AM3,Unknown
AMD A6-5400K APU,52.02,1279,24.59,1271,24.43,65.0,19.68,1,2012,FM2,Desktop
AMD A6-9230,,1279,,1158,,15.0,85.3,2,2017,unknown,Desktop
AMD Sempron 240,36.1,1278,35.39,1300,36.02,65.0,19.66,2,2018,FM2,Desktop
Intel Pentium G630,14.99,1277,85.21,1225,81.69,65.0,19.65,2,2011,LGA1155,Desktop
AMD Embedded G-Series GX-224IJ Radeon R4E,,1271,,1119,,15.0,84.73,2,2017,FP4,"Laptop, Mobile/Embedded"
Intel Pentium G640,30.0,1270,42.34,1290,43.0,65.0,19.54,2,2012,LGA1155,Desktop
Intel Celeron G555,39.99,1268,31.71,1275,31.87,65.0,19.51,2,2012,LGA1155,Desktop
Intel Pentium J2900,,1246,,731,,10.0,124.63,4,2014,FCBGA1170,Desktop
Intel Atom C3338,,1245,,874,,8.5,146.52,2,2021,FCBGA1310,"Server, Mobile/Embedded"
Intel Xeon E3110,199.95,1242,6.21,1331,6.66,65.0,19.11,2,2008,LGA775,Server
Intel Xeon X5260,13.0,1238,95.2,1406,108.17,80.0,15.47,2,2009,LGA771,Server
Intel Core2 Duo E8500,129.95,1238,9.53,1324,10.19,65.0,19.05,2,2008,LGA775,Desktop
AMD Athlon II X2 270,19.99,1234,61.75,1353,67.67,65.0,18.99,2,2011,AM3,Desktop
AMD Athlon II X2 265,15.5,1233,79.56,1344,86.7,65.0,18.97,2,2010,AM3,Desktop
AMD Phenom X4 Quad-Core GP-9530,,1228,,417,,,,4,2016,AM2+ (940-pin),Desktop
Intel Celeron J3160,,1227,,596,,6.0,204.44,4,2016,BGA1170,Desktop
AMD A4-4020 APU,91.0,1225,13.47,1238,13.61,65.0,18.85,2,2014,FM2,Desktop
AMD Athlon II X2 B26,24.95,1224,49.06,1291,51.73,65.0,18.83,2,2011,unknown,Unknown
AMD Phenom II X3 705e,152.34,1222,8.02,962,6.31,65.0,18.81,3,2009,AM3,Desktop
AMD A4-5300B APU,25.95,1220,47.02,1254,48.34,65.0,18.77,2,2012,FM2,Desktop
AMD R-272F APU,,1215,,1087,,35.0,34.71,2,2019,FS1,"Desktop, Laptop"
AMD Phenom 8450 Triple-Core,16.99,1214,71.48,829,48.8,95.0,12.78,3,2008,AM2+,Desktop
AMD Phenom 8600 Triple-Core,52.99,1210,22.84,898,16.95,95.0,12.74,3,2009,AM2+,Desktop
Intel Pentium G620,11.99,1207,100.66,1203,100.3,65.0,18.57,2,2011,LGA1155,Desktop
AMD Phenom 8650 Triple-Core,19.0,1205,63.42,854,44.94,95.0,12.68,3,2008,AM2+,Desktop
Intel Celeron G550,49.0,1200,24.49,1192,24.32,65.0,18.46,2,2012,LGA1155,Desktop
Intel Atom x5-Z8550,,1200,,703,,4.0,300.05,4,2016,UTFCBGA1380,"Laptop, Mobile/Embedded"
AMD Opteron 2222,19.0,1198,63.08,618,32.53,95.0,12.62,2,2013,F (1207),Server
Intel Celeron J3355,,1195,,806,,10.0,119.53,2,2017,FCBGA1296,"Desktop, Laptop"
ARM Cortex-A72 6 Core 1512 MHz,,1192,,522,,,,6,2022,unknown,Unknown
AMD A4-4000 APU,19.97,1190,59.59,1195,59.82,65.0,18.31,1,2013,FM2,Desktop
AMD Phenom 8750B Triple-Core,,1188,,901,,95.0,12.5,3,2009,AM2+,Desktop
AMD Athlon II X2 B28,39.02,1177,30.18,1347,34.52,65.0,18.11,2,2012,AM3,Desktop
Intel Pentium G840,84.53,1175,13.9,1252,14.81,65.0,18.08,2,2011,FCLGA1155,Desktop
Intel Celeron G540T,,1174,,972,,35.0,33.55,2,2012,LGA1155,Desktop
Intel Xeon Gold 6133,,1172,,1429,,150.0,7.82,1,2021,FCLGA3647,Server
ARM Cortex-A57 4 Core 1734 MHz,,1172,,387,,,,4,2021,unknown,Unknown
AMD Phenom II X2 550,41.91,1169,27.89,1240,29.58,80.0,14.61,2,2009,AM2+/AM3,Desktop
Intel Core2 Duo E8400,140.0,1169,8.35,1242,8.87,65.0,17.98,2,2008,LGA775,Desktop
Intel Pentium E6800,24.95,1166,46.74,1358,54.45,65.0,17.94,2,2010,LGA775,Desktop
Intel Pentium E5800,139.95,1165,8.33,1314,9.39,65.0,17.93,2,2012,LGA775,Desktop
AMD Phenom II X640 Dual-Core,,1165,,1142,,45.0,25.88,2,2012,S1,Unknown
Intel Pentium G645T,,1164,,1100,,35.0,33.25,2,2012,LGA1155,Desktop
AMD Phenom II X2 511,,1163,,1253,,65.0,17.89,2,2011,AM2+/AM3,Unknown
AMD Athlon II X2 255,12.55,1163,92.67,1249,99.53,65.0,17.89,2,2010,AM3,Desktop
Intel Core2 Duo E7600,119.95,1161,9.67,1275,10.63,65.0,17.85,2,2009,LGA775,Desktop
AMD Athlon II X2 250e,76.73,1155,15.05,1201,15.65,45.0,25.67,2,2011,AM3,Desktop
AMD Sempron 3850 APU,47.58,1153,24.22,448,9.42,25.0,46.1,4,2014,"AM1,FS1b",Desktop
ARM Cortex-A57 4 Core 2014 MHz,,1153,,428,,,,4,2021,unknown,Unknown
Intel Pentium E6700,140.19,1152,8.22,1314,9.37,65.0,17.72,2,2010,LGA775,Desktop
AMD Phenom II X2 B55,37.95,1151,30.34,1244,32.79,80.0,14.39,2,2009,AM3,Desktop
AMD Phenom 8850 Triple-Core,,1142,,982,,95.0,12.02,3,2010,AM2+,Desktop
Intel Xeon W3505,14.86,1142,76.86,1104,74.29,130.0,8.79,2,2009,LGA1366,Server
Intel Core2 Duo E6850,51.2,1140,22.26,1196,23.36,65.0,17.53,2,2008,LGA775,Desktop
Intel Pentium G640T,84.88,1139,13.42,1102,12.98,35.0,32.54,2,2012,LGA1155,Desktop
Intel Celeron J1900,,1137,,650,,10.0,113.68,4,2014,FCBGA1170,Desktop
AMD Phenom 8450e Triple-Core,,1134,,781,,65.0,17.45,3,2009,AM2+,Desktop
AMD Phenom II X2 B53,,1126,,1164,,80.0,14.07,2,2009,AM3,Desktop
Intel Xeon L5320,69.99,1118,15.97,281,4.02,50.0,22.35,4,2011,LGA771,Server
Intel Celeron G1820TE,,1115,,728,,35.0,31.85,2,2014,LGA1150,Desktop
AMD Phenom 8250 Triple-Core,,1114,,752,,65.0,17.14,3,2009,unknown,Desktop
AMD Athlon II X2 260,39.99,1113,27.83,1249,31.24,65.0,17.12,2,2010,AM3,Desktop
Intel Celeron G540,11.03,1110,100.59,1131,102.53,65.0,17.07,2,2011,LGA1155,Desktop
AMD Phenom II X2 545,43.98,1107,25.18,1083,24.63,80.0,13.84,2,2009,AM2+/AM3,Desktop
AMD Opteron 2220,1038.26,1106,1.07,553,0.53,95.0,11.64,2,2009,F (1207),Server
AMD Athlon II X2 210e,28.49,1105,38.79,1105,38.8,45.0,24.56,2,2010,AM3,Desktop
Intel Celeron G550T,,1102,,1026,,35.0,31.49,2,2014,LGA1155,Desktop
ARM Cortex-A72 6 Core 1416 MHz,,1101,,482,,,,6,2021,unknown,Unknown
AMD Phenom II X2 B57,,1099,,1231,,80.0,13.73,2,2010,unknown,Unknown
Intel Celeron G530,48.99,1096,22.36,1078,22.01,65.0,16.86,2,2011,LGA1155,Desktop
Intel Xeon 3075,349.95,1096,3.13,1096,3.13,,,2,2011,unknown,Server
AMD A4-3420 APU,136.0,1094,8.04,1150,8.46,65.0,16.83,2,2012,FM1,Desktop
Intel Core2 Duo E7500,99.63,1090,10.94,1198,12.03,65.0,16.76,2,2009,LGA775,Desktop
AMD Opteron 1222,,1089,,1128,,103.0,10.58,2,2010,AM2,Server
Intel Celeron G1101,19.77,1086,54.92,929,46.99,73.0,14.87,2,2011,FCLGA1156,Desktop
15/70,,1085,,878,,,,2,2021,unknown,Unknown
AMD Phenom 8250e Triple-Core,46.99,1084,23.08,729,15.52,65.0,16.68,3,2009,940,Desktop
AMD Athlon II X2 250,38.95,1083,27.8,1155,29.66,65.0,16.66,2,2009,AM3,Desktop
AMD Phenom 8400 Triple-Core,,1079,,786,,95.0,11.36,3,2009,AM2+,Desktop
AMD Athlon II X2 245e,19.99,1075,53.77,1145,57.28,45.0,23.89,2,2011,AM3,Desktop
ARM Cortex-A72 4 Core 2300 MHz,,1075,,726,,,,4,2021,unknown,Unknown
AMD Athlon II X2 B24,24.1,1073,44.53,1206,50.03,65.0,16.51,2,2010,AM3,Desktop
Intel Pentium E6500,95.71,1073,11.21,1210,12.64,65.0,16.51,2,2009,LGA775,Desktop
Intel Pentium E6600,16.99,1072,63.11,1156,68.06,65.0,16.49,2,2010,LGA775,Desktop
Intel Xeon 3085,,1070,,1124,,65.0,16.46,2,2015,LGA775,Server
AMD A4-3400 APU,20.0,1066,53.31,1075,53.73,65.0,16.4,2,2011,FM1,Desktop
Intel Core2 Duo E8200,75.99,1064,14.0,1126,14.82,65.0,16.36,2,2008,LGA775,Desktop
AMD Phenom X4 Quad-Core GS-6560,,1063,,282,,,,4,2015,unknown,Unknown
Intel Pentium G6950,79.0,1061,13.43,1035,13.1,73.0,14.53,2,2010,LGA1156,Desktop
AMD Athlon II X2 4400e,,1059,,1121,,37.0,28.61,2,2009,unknown,Unknown
AMD Embedded G-Series GX-215JJ Radeon R2E,,1057,,869,,10.0,105.74,2,2017,FP4,"Laptop, Mobile/Embedded"
Intel Celeron G530T,16.99,1056,62.15,962,56.61,35.0,30.17,2,2011,LGA1155,Desktop
Intel Xeon W3503,9.99,1052,105.35,1015,101.64,130.0,8.1,2,2009,LGA1366,Server
AMD Athlon II X2 235e,97.5,1049,10.75,1107,11.35,45.0,23.3,2,2009,AM3,Desktop
AMD GX-222GC SOC,,1038,,819,,15.0,69.2,2,2016,BGA769 (FT3b),"Laptop, Mobile/Embedded"
Intel Atom E3845,,1038,,536,,10.0,103.76,4,2014,FCBGA1170,Desktop
AMD Athlon 7850 Dual-Core,99.99,1037,10.37,1110,11.1,95.0,10.91,2,2009,AM2+,Desktop
AMD Opteron 1220,,1036,,1077,,103.0,10.05,2,2009,AM2,Server
AMD Athlon II X2 B22,25.95,1036,39.93,1124,43.31,65.0,15.94,2,2010,AM3,Desktop
AMD Opteron 2218,96.41,1036,10.75,491,5.09,95.0,10.91,2,2009,F (1207),Server
Intel Core2 Duo E8300,19.99,1034,51.71,1169,58.47,65.0,15.9,2,2008,LGA775,Desktop
Intel Pentium G630T,84.07,1029,12.24,1040,12.37,35.0,29.4,2,2011,LGA1155,Desktop
Intel Celeron U1900,,1028,,527,,,,4,2015,unknown,Unknown
Intel Xeon 3070,28.65,1025,35.78,1024,35.74,65.0,15.77,2,2010,LGA775,Server
AMD Athlon II X2 220,59.95,1024,17.07,1105,18.43,65.0,15.75,2,2010,AM3,Desktop
AMD Athlon II X2 245,12.55,1022,81.47,1113,88.69,65.0,15.73,2,2009,AM2+/AM3,Desktop
ARM Cortex-A57 8 Core 1500 MHz,,1022,,346,,,,8,2021,unknown,Unknown
Intel Pentium E5700,49.99,1017,20.35,1169,23.39,65.0,15.65,2,2010,LGA775,Desktop
Intel Pentium J2850,,1016,,646,,10.0,101.56,4,2014,FCBGA1170,Desktop
AMD Athlon X2 240e,,1015,,1092,,45.0,22.56,2,2011,unknown,Unknown
Intel Core2 Duo E6700,29.99,1012,33.76,1055,35.17,65.0,15.57,2,2010,LGA775,Desktop
Intel Core2 Duo E6750,10.3,1010,98.06,1050,101.99,65.0,15.54,2,2008,LGA775,Desktop
Intel Pentium E5500,15.99,1010,63.14,1140,71.31,65.0,15.53,2,2010,LGA775,Desktop
AMD Phenom X2 Dual-Core GE-7060,,1010,,1332,,,,2,2013,unknown,Unknown
Pentium Dual-Core T4500,,1008,,947,,,,2,2021,unknown,Unknown
Intel Core i3-3229Y,,1004,,678,,13.0,77.22,2,2013,BGA1023,Desktop
Intel Pentium E6300,41.85,1000,23.89,1129,26.97,65.0,15.38,2,2009,LGA775,Desktop
AMD Athlon X2 215,,996,,1107,,65.0,15.33,2,2010,unknown,Unknown
AMD Athlon X2 250,,993,,1132,,65.0,15.28,2,2009,unknown,Unknown
AMD Athlon II X2 4300e,,990,,1074,,13.0,76.18,2,2012,unknown,Unknown
Intel Pentium Extreme Edition 965,,987,,818,,130.0,7.59,2,2009,PLGA775,Desktop
ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,,984,,593,,,,4,2021,unknown,Unknown
AMD Athlon II X2 240e,37.89,980,25.86,1092,28.81,45.0,21.77,2,2009,AM3,Desktop
Intel Core2 Duo E7400,14.99,980,65.35,1104,73.63,65.0,15.07,2,2008,LGA775,Desktop
AMD Opteron 1218 HE,,979,,940,,65.0,15.06,2,2010,AM2,Server
AMD Phenom X3 8550,29.95,976,32.59,810,27.06,95.0,10.27,3,2009,AM2/AM2+,Desktop
Intel Core2 Duo E8135,,973,,1028,,,,2,2009,unknown,Unknown
AMD Athlon 64 FX-74,499.5,972,1.95,617,1.24,125.0,7.78,2,2009,F (1207),Desktop
AMD A4-3300 APU,56.61,971,17.15,1026,18.13,65.0,14.93,2,2011,FM1,Desktop
AMD Athlon 64 X2 Dual Core 6400+,249.95,967,3.87,1142,4.57,125.0,7.74,2,2008,AM2,Desktop
Intel Core2 Duo E7300,33.07,964,29.15,1097,33.17,65.0,14.83,2,2008,LGA775,Desktop
Intel Xeon 5160,43.5,963,22.14,1134,26.08,80.0,12.04,2,2009,LGA771,Server
AMD Athlon II X2 215,28.97,959,33.09,1041,35.92,65.0,14.75,2,2009,AM3,Desktop
AMD Opteron 285,24.95,956,38.3,509,20.39,95.0,10.06,2,2009,940,Server
AMD E2-3200 APU,7.99,953,119.23,964,120.61,65.0,14.66,2,2011,FM1,Desktop
AMD Opteron 290,135.0,952,7.05,570,4.22,95.0,10.02,2,2009,940,Server
AMD Athlon 7750 Dual-Core,79.99,951,11.88,1034,12.93,95.0,10.01,2,2009,AM2+,Desktop
Intel Core2 Duo E7200,47.0,947,20.14,1068,22.73,65.0,14.56,2,2008,LGA775,Desktop
ARM Cortex-A57 4 Core 1479 MHz,,947,,400,,,,4,2021,unknown,Unknown
VIA Eden X4 C42501.2+GHz,,944,,476,,,,4,2015,unknown,Unknown
AMD Athlon 64 FX-62 Dual Core,375.0,943,2.51,1000,2.67,125.0,7.54,2,2009,AM2,Desktop
Intel Celeron J1850,,942,,455,,10.0,94.18,4,2013,FCBGA1170,Desktop
Intel Xeon 3060,22.99,939,40.84,942,40.96,65.0,14.44,2,2009,LGA775,Server
AMD Athlon X2 255,,938,,1095,,65.0,14.43,2,2012,AM2+/AM3,Unknown
Intel Pentium E5400,92.76,936,10.09,1074,11.58,65.0,14.4,2,2009,LGA775,Desktop
AMD Athlon II X2 240,24.95,935,37.46,1027,41.18,65.0,14.38,2,2009,AM3,Desktop
Intel Celeron E3500,21.0,935,44.54,1154,54.93,65.0,14.39,2,2011,LGA775,Desktop
AMD Sempron X2 198 Dual-Core,,930,,1070,,65.0,14.31,2,2015,FM1,Desktop
Intel Xeon L3406,265.19,928,3.5,647,2.44,30.0,30.94,2,2010,LGA1156,Server
AMD Athlon 64 X2 Dual Core 5600+,107.21,923,8.61,1027,9.58,89.0,10.37,2,2008,AM2,Desktop
AMD E2-9030,,922,,906,,,,2,2019,BGA (FT4),Desktop
AMD Athlon X2 240,,921,,1017,,65.0,14.17,2,2009,unknown,Unknown
AMD Athlon 64 X2 Dual Core 6000+,38.5,919,23.87,1022,26.55,89.0,10.33,2,2008,AM2,Desktop
Intel Xeon 5148,20.0,912,45.62,868,43.39,40.0,22.81,2,2010,LGA771,Server
AMD Athlon 64 X2 Dual Core 5400+,52.99,910,17.16,1010,19.07,65.0,13.99,2,2008,AM2,Desktop
AMD Opteron 1218,,910,,962,,103.0,8.84,2,2010,AM2,Server
AMD Opteron 2220 SE,25.0,909,36.35,519,20.75,119.0,7.64,2,2009,F (1207),Server
Intel Pentium E5300,59.49,906,15.22,1032,17.34,65.0,13.93,2,2009,LGA775,Desktop
Intel Core2 Duo E6600,35.09,901,25.68,953,27.17,65.0,13.86,2,2008,PLGA775,Desktop
Intel Xeon ,,901,,734,,,,2,2009,unknown,Server
AMD Athlon II N370 Dual-Core,,899,,913,,35.0,25.67,2,2012,S1g4,Unknown
Intel Pentium G620T,19.99,896,44.84,961,48.05,35.0,25.61,2,2011,LGA1155,Desktop
Intel Xeon 5133,,887,,838,,40.0,22.18,2,2013,LGA771,Server
AMD Phenom X2 Dual-Core GP-7730,,884,,1047,,,,2,2009,unknown,Unknown
ARM FT-2000/4 4 Core 2200 MHz,,881,,565,,,,4,2022,unknown,Unknown
AMD Sempron X2 190,83.44,879,10.53,977,11.71,45.0,19.53,2,2012,AM2+/AM3,Unknown
Athlon 64 Dual Core 5600+,,875,,993,,65.0,13.46,2,2010,AM2,Desktop
Intel Core2 Duo E6550,13.3,875,65.78,911,68.52,65.0,13.46,2,2008,LGA775,Desktop
AMD Athlon 5200 Dual-Core,89.0,869,9.77,915,10.28,75.0,11.59,2,2010,AM2,Desktop
AMD Athlon II X2 4450e,,867,,1066,,45.0,19.27,2,2010,AM2,Desktop
Intel Pentium E5200,49.94,867,17.35,1006,20.14,65.0,13.33,2,2009,LGA775,Desktop
Intel Xeon 3065,20.9,867,41.49,836,40.0,65.0,13.34,2,2009,LGA775,Server
Intel Celeron E3200,19.99,860,43.02,992,49.63,65.0,13.23,2,2009,LGA775,Desktop
AMD Athlon 7550 Dual-Core,14.95,859,57.47,919,61.47,95.0,9.04,2,2009,AM2+,Desktop
Intel Xeon 5140,36.99,857,23.16,870,23.51,65.0,13.18,2,2009,LGA771,Server
ARM Cortex-A72 4 Core 1800 MHz,,853,,569,,,,4,2021,unknown,Unknown
Athlon 64 Dual Core 5000+,,850,,924,,89.0,9.55,2,2009,unknown,Desktop
Intel Xeon 3050,157.95,841,5.32,672,4.26,65.0,12.93,2,2009,LGA775,Server
Intel Xeon 5150,30.99,840,27.11,999,32.23,65.0,12.92,2,2009,LGA771,Server
AMD Opteron 275,99.95,839,8.4,445,4.45,95.0,8.83,2,2008,940,Server
Intel Xeon E5205,14.27,838,58.75,788,55.24,65.0,12.9,2,2012,LGA771,Server
Intel Xeon E5502,80.0,837,10.46,799,9.98,80.0,10.46,2,2009,LGA1366,Server
Intel Celeron E3300,64.78,837,12.92,1042,16.08,65.0,12.87,2,2009,LGA775,Desktop
Intel Atom Z3580,,837,,574,,,,4,2015,unknown,"Laptop, Mobile/Embedded"
AMD Athlon Dual Core 5000B,95.0,835,8.79,935,9.84,65.0,12.84,2,2009,AM2,Desktop
AMD Athlon 5000 Dual-Core,109.95,835,7.59,892,8.11,65.0,12.84,2,2009,"AM2,AM2+",Desktop
Intel Core2 Duo E4600,157.95,829,5.25,925,5.86,65.0,12.76,2,2008,LGA775,Desktop
Intel Celeron E3400,14.99,829,55.32,1007,67.16,65.0,12.76,2,2010,LGA775,Desktop
AMD Athlon Dual Core 5400B,,826,,969,,65.0,12.71,2,2009,AM2,Desktop
AMD Sempron X2 180,69.4,826,11.9,865,12.47,45.0,18.35,2,2011,unknown,Unknown
Intel Core2 Extreme X6800,263.64,823,3.12,973,3.69,75.0,10.98,2,2008,PLGA775,Desktop
DO-Regular,,819,,1055,,,,1,2021,unknown,Unknown
Intel Atom x5-Z8300,132.99,819,6.16,463,3.48,4.0,204.66,4,2015,UTFCBGA592,"Laptop, Mobile/Embedded"
AMD Athlon 64 X2 Dual Core 5200+,60.0,812,13.54,915,15.24,65.0,12.5,2,2008,AM2,Desktop
Intel Core2 Duo E4700,26.99,811,30.04,998,36.98,65.0,12.47,2,2008,LGA775,Desktop
Intel Core2 Duo E6540,,808,,969,,65.0,12.43,2,2009,LGA775,Desktop
AMD Opteron 1214 HE,,806,,811,,65.0,12.4,2,2015,AM2,Server
Intel Xeon E5503,130.19,804,6.18,845,6.49,80.0,10.05,2,2010,LGA1366,Server
ARM Cortex-A72 4 Core 2200 MHz,,804,,612,,,,4,2021,unknown,Unknown
AMD Athlon64 X2 Dual Core 4600+,,803,,755,,110.0,7.3,2,2009,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,29.95,797,26.6,1008,33.66,89.0,8.95,2,2009,unknown,Desktop
AMD Athlon Dual Core 5200B,,796,,953,,65.0,12.25,2,2009,AM2,Desktop
Intel Xeon 5130,48.99,795,16.22,796,16.24,65.0,12.23,2,2009,LGA771,Server
Intel Pentium E2220,55.0,793,14.42,892,16.23,65.0,12.21,2,2009,LGA775,Desktop
ARM Neoverse-N1 1 Core 0 MHz,,791,,1197,,,,1,2021,unknown,Unknown
AMD Athlon 7450 Dual-Core,,789,,853,,95.0,8.31,2,2009,AM2+,Desktop
Intel Pentium 997,,789,,729,,17.0,46.42,2,2012,BGA-1023,Unknown
Intel Xeon 3040,25.04,789,31.52,474,18.92,65.0,12.14,2,2009,LGA775,Server
AMD Opteron 1216,54.85,781,14.23,810,14.78,103.0,7.58,2,2009,AM2,Server
Intel Core2 Duo E6400,29.94,772,25.79,844,28.19,65.0,11.88,2,2009,LGA775,Desktop
AMD Opteron 1212 HE,,771,,731,,65.0,11.87,2,2012,AM2,Server
Athlon Dual Core 4850e,,769,,861,,45.0,17.08,2,2009,AM2,Desktop
AMD Athlon II N350 Dual-Core,,767,,945,,35.0,21.91,2,2010,unknown,Unknown
AMD Opteron 280,280.72,765,2.72,430,1.53,95.0,8.05,2,2009,940,Server
Intel Xeon 5120,1474.4,763,0.52,748,0.51,65.0,11.73,2,2009,LGA771,Server
