cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Athlon 5370 APU,598.68,1923,3.21,755,1.26,25.0,76.92,4,2016,"AM1,FS1B",Desktop
Intel Xeon E5410,10.69,1923,179.92,1024,95.78,80.0,24.04,4,2009,LGA771,Server
Intel Xeon L5410,100.08,1921,19.19,1029,10.28,50.0,38.42,4,2009,LGA771,Server
Intel Pentium G3240,116.99,1919,16.4,1749,14.95,53.0,36.21,2,2014,FCLGA1150,Desktop
AMD Opteron 3320 EE,548.0,1918,3.5,838,1.53,25.0,76.72,2,2016,AM3+,Server
Intel Pentium G3420T,159.99,1912,11.95,1570,9.81,35.0,54.61,2,2014,LGA1150,Desktop
AMD Opteron X2170 APU,,1911,,832,,25.0,76.43,4,2018,FT3,Server
Intel Core i5-3439Y,,1907,,1197,,13.0,146.72,2,2013,BGA1023,Desktop
AMD Phenom II X4 B05e,,1906,,974,,,,4,2012,unknown,Unknown
AMD Opteron 2419 EE,,1902,,396,,60.0,31.7,6,2014,F (1207),Server
AMD Phenom II X4 920,27.89,1899,68.1,1068,38.31,125.0,15.2,4,2009,AM2+,Desktop
AMD Opteron 1385,45.0,1898,42.19,1035,22.99,115.0,16.51,4,2014,"AM2+,AM3",Server
AMD Phenom II X4 905e,53.99,1895,35.11,1029,19.06,65.0,29.16,4,2009,AM3,Desktop
Intel Pentium G2130,43.64,1895,43.42,1745,39.99,55.0,34.46,2,2013,FCLGA1155,Desktop
AMD Phenom 9950 Quad-Core,97.04,1892,19.49,1041,10.73,125.0,15.13,4,2008,AM2+,Desktop
AMD A6-8570,,1889,,1638,,65.0,29.06,2,2017,AM4,Desktop
AMD A6-8550B,,1885,,1623,,65.0,28.99,1,2016,FM2+,Desktop
Intel Core i5-2515E,,1882,,1189,,35.0,53.76,2,2011,BGA1023,Desktop
Intel Celeron 4305UE,,1876,,1213,,15.0,125.04,2,2019,FCBGA1528,"Laptop, Mobile/Embedded"
AMD A6-9500,74.0,1875,25.34,1618,21.87,65.0,28.85,2,2017,AM4,Desktop
AMD Athlon II X4 610e,17.9,1871,104.55,999,55.81,45.0,41.59,4,2010,AM3,Desktop
Intel Core i3-2105,113.0,1871,16.55,1387,12.27,65.0,28.78,2,2011,LGA1155,Desktop
Intel Pentium G2120,74.99,1870,24.94,1708,22.77,55.0,34,2,2012,FCLGA1155,Desktop
AMD A6-9500,75.42,1864,24.72,1618,21.45,65.0,28.68,2,2016,AM4,Desktop
AMD Opteron 2378,14.49,1864,128.65,936,64.62,75.0,24.86,4,2009,F (1207),Server
Intel Pentium 1403,,1851,,990,,80.0,23.14,2,2013,LGA1356,Server
ARM Cortex-A53 6 Core 1896 MHz,,1851,,751,,,,6,2021,unknown,Unknown
AMD Phenom II X4 810,213.0,1849,8.68,1018,4.78,95.0,19.46,4,2009,AM3,Desktop
Intel Pentium G3220,64.8,1849,28.53,1695,26.16,54.0,34.24,2,2013,FCLGA1150,Desktop
Intel Core2 Extreme Q9300,,1845,,1046,,45.0,41,4,2008,PGA478,Desktop
AMD Phenom II X3 B77,22.29,1844,82.71,1310,58.76,95.0,19.41,3,2012,AM2+/AM3,Unknown
AMD Phenom II X4 805,173.99,1844,10.6,999,5.74,95.0,19.42,4,2009,AM3,Desktop
AMD A6-9500E,74.45,1841,24.72,1478,19.85,35.0,52.59,2,2018,AM4,Desktop
Intel Xeon X3323,19.36,1837,94.86,1059,54.69,80.0,22.96,4,2014,LGA775,Server
AMD Athlon II X3 455,39.99,1832,45.82,1343,33.59,95.0,19.29,3,2010,AM3,Desktop
AMD A6-3620 APU,22.49,1830,81.38,987,43.89,65.0,28.16,4,2012,FM1,Desktop
AMD Phenom II X4 B15e,,1825,,1069,,,,4,2010,AM2+/AM3,Desktop
Intel Core i3-2330E,,1823,,1063,,35.0,52.1,2,2014,rPGA988,Desktop
Intel Core i3-2100,116.19,1819,15.65,1426,12.27,65.0,27.98,2,2011,LGA1155,Desktop
Intel Xeon X3220,66.14,1819,27.5,942,14.24,105.0,17.32,4,2009,LGA775,Server
Intel Core i5-4302Y,,1817,,1084,,11.5,158,2,2014,FCBGA1168,Desktop
AMD A8-6500T APU,59.95,1816,30.29,1048,17.49,45.0,40.35,2,2014,FM2,Desktop
Intel Xeon E5345,39.99,1814,45.36,947,23.68,80.0,22.68,4,2008,LGA771,Server
Intel Core2 Quad Q8300,34.3,1814,52.89,1059,30.87,95.0,19.1,4,2009,LGA775,Desktop
AMD Athlon X4 620,64.95,1810,27.87,1033,15.9,95.0,19.06,4,2009,unknown,Unknown
AMD Athlon II X3 445,15.21,1808,118.84,1282,84.28,95.0,19.03,3,2010,AM3,Desktop
AMD Phenom 9750 Quad-Core,48.02,1804,37.56,942,19.63,125.0,14.43,4,2008,AM2+,Desktop
AMD A6-7470K,35.22,1799,51.09,1576,44.74,65.0,27.68,1,2016,FM2+,Desktop
AMD Opteron 1381,,1797,,1011,,75.0,23.96,4,2012,AM3,Server
Intel Core2 Quad Q8200,63.99,1797,28.08,1014,15.85,95.0,18.92,4,2008,LGA775,Desktop
AMD Athlon X4 530,,1786,,690,,25.0,71.42,4,2021,AM1,Desktop
AMD Phenom X4 Quad-Core GP-9730,,1784,,957,,,,4,2016,AM2+ (940-pin),Desktop
Snapdragon 835,,1784,,1016,,9.0,198.26,8,2021,unknown,Unknown
AMD Athlon X3 455,,1783,,1227,,95.0,18.77,3,2012,AM2+/AM3,Unknown
AMD Athlon X3 435,95.49,1781,18.65,1192,12.48,95.0,18.75,3,2009,unknown,Unknown
Intel Core2 Quad Q6600,95.6,1778,18.6,958,10.02,105.0,16.93,4,2008,LGA775,Desktop
AMD Phenom II X4 910,100.0,1776,17.76,988,9.88,95.0,18.7,4,2009,AM3,Desktop
AMD R-464L APU,,1773,,1123,,35.0,50.65,4,2012,FS1r2,Unknown
AMD Athlon II X3 450,28.02,1763,62.91,1292,46.12,95.0,18.56,3,2010,AM3,Desktop
Intel Xeon L5408,,1761,,935,,40.0,44.04,4,2014,LGA771,Server
Intel Celeron G1840,69.0,1758,25.48,1612,23.36,53.0,33.17,2,2014,FCLGA1150,Desktop
Intel Atom C3538,75.0,1756,23.41,669,8.92,15.0,117.06,4,2018,FCBGA1310,Server
Intel Pentium G3240T,,1755,,1558,,35.0,50.14,2,2014,LGA1150,Desktop
Intel Pentium G3260T,49.99,1755,35.1,1568,31.37,35.0,50.13,2,2015,LGA1150,Desktop
HP Hexa-Core ,504.27,1741,3.45,804,1.59,,,4,2014,unknown,Unknown
AMD Athlon 5350 APU,129.0,1737,13.47,698,5.41,25.0,69.48,4,2014,"AM1,FS1B",Desktop
AMD Phenom 9600B Quad-Core,39.95,1736,43.45,937,23.45,95.0,18.27,4,2009,AM2+,Desktop
AArch64 rev 4 (aarch64),,1735,,648,,,,8,2021,unknown,Unknown
AMD Opteron 2356,89.95,1733,19.26,849,9.44,75.0,23.1,4,2009,F (1207),Server
Intel Pentium G3250T,49.99,1726,34.52,1568,31.38,35.0,49.3,2,2015,LGA1150,Desktop
AMD Phenom X2 Dual-Core GE-6060,,1722,,1160,,,,2,2012,unknown,Unknown
AMD Athlon II X3 440,14.76,1718,116.42,1220,82.65,95.0,18.09,3,2010,AM3,Desktop
AMD Athlon II X4 600e,19.99,1711,85.59,913,45.68,45.0,38.02,4,2009,AM3,Desktop
Intel Pentium G2030,29.0,1711,59.01,1599,55.14,55.0,31.11,2,2013,FCLGA1155,Desktop
Intel Celeron G1630,69.99,1707,24.39,1553,22.19,55.0,31.04,2,2013,FCLGA1155,Desktop
AMD Opteron 1356,89.99,1703,18.92,918,10.2,75.0,22.7,4,2009,AM2,Server
AMD Phenom 9650 Quad-Core,39.99,1699,42.5,924,23.1,95.0,17.89,4,2008,AM2+,Desktop
AMD Phenom FX-5200 Quad-Core,,1699,,919,,65.0,26.14,4,2010,AM3,Unknown
Intel Core i3-560,36.97,1696,45.87,1379,37.3,73.0,23.23,2,2010,LGA1156,Desktop
Intel Pentium G2100T,,1691,,1460,,35.0,48.33,2,2016,LGA1155,Desktop
Intel Celeron J4025,,1688,,1234,,10.0,168.79,2,2020,FCBGA1090,Desktop
AMD A4-6250J APU,,1685,,700,,25.0,67.4,4,2014,unknown,Unknown
Intel Pentium G2020,50.0,1684,33.68,1566,31.33,55.0,30.61,2,2013,FCLGA1155,Desktop
AMD Phenom 9850 Quad-Core,129.99,1680,12.92,925,7.12,125.0,13.44,4,2008,AM2+,Desktop
Intel Xeon L5335,18.79,1678,89.29,827,43.99,50.0,33.56,4,2007,LGA771,Server
AMD A9-9430,,1676,,1441,,,,2,2017,unknown,Desktop
AMD Athlon II X3 435,159.95,1670,10.44,1188,7.43,95.0,17.58,3,2009,AM3,Desktop
Intel Celeron G1820,62.3,1670,26.81,1520,24.39,53.0,31.51,2,2014,FCLGA1150,Desktop
Intel Xeon E5405,59.0,1664,28.21,877,14.86,80.0,20.8,4,2009,LGA771,Server
AMD A6-9500E,74.0,1662,22.46,1493,20.18,35.0,47.5,2,2017,AM4,Desktop
AMD Phenom X4 Quad-Core GP-9600,,1649,,764,,95.0,17.36,4,2009,AM2+,Desktop
AMD A6-3600 APU,24.95,1649,66.1,896,35.92,65.0,25.37,4,2011,FM1,Desktop
AMD A6 PRO-7400B,,1641,,1494,,65.0,25.24,1,2014,FM2+,Desktop
AMD Phenom 9550 Quad-Core,29.99,1636,54.56,873,29.11,95.0,17.23,4,2008,AM2+,Desktop
AMD Opteron 2373 EE,,1635,,814,,60.0,27.25,4,2018,F (1207),Server
Intel Core i3-2100T,49.13,1634,33.26,1183,24.08,35.0,46.69,2,2011,LGA1155,Desktop
AMD Embedded R-Series RX-216GD,,1628,,1313,,15.0,108.54,2,2017,BGA (FP4),"Laptop, Mobile/Embedded"
Intel Pentium G3320TE,,1623,,1314,,35.0,46.38,2,2014,FCLGA1150,Desktop
AMD Opteron 1354,238.01,1620,6.81,864,3.63,75.0,21.6,4,2009,AM2,Server
AMD Phenom 9600 Quad-Core,39.95,1619,40.52,904,22.64,95.0,17.04,4,2008,AM2+,Desktop
Intel Core i5 E 520,,1619,,1032,,35.0,46.26,2,2010,BGA1288,Desktop
AMD A6-6400B APU,,1616,,1608,,65.0,24.85,1,2014,FM2,Desktop
Intel Celeron G1820T,42.0,1614,38.43,1396,33.24,35.0,46.11,2,2014,LGA1150,Desktop
Intel Pentium G2120T,,1613,,1493,,35.0,46.09,2,2020,FCLGA1155,Desktop
AMD A6-8550,,1604,,1474,,65.0,24.68,2,2015,FM2+,Desktop
AMD Phenom FX-5000 Quad-Core,,1599,,826,,65.0,24.61,4,2009,AM2+,Unknown
Intel Xeon X3210,185.71,1599,8.61,875,4.71,105.0,15.23,4,2008,LGA775,Server
Intel Core i3-550,18.46,1588,86.01,1342,72.69,73.0,21.75,2,2010,LGA1156,Desktop
AMD A6-7400K APU,69.99,1587,22.68,1422,20.31,65.0,24.42,2,2014,FM2+,Desktop
ARM Neoverse-N1 2 Core 0 MHz,,1583,,1357,,,,2,2021,unknown,Unknown
Intel Celeron J4005,168.75,1581,9.37,1119,6.63,10.0,158.14,2,2018,FCBGA1090,Desktop
ARM phytium FT1500a 4 Core 2000 MHz,,1579,,716,,,,4,2021,unknown,Unknown
AMD Athlon II X3 425,58.34,1576,27.02,1105,18.95,95.0,16.59,3,2009,AM3,Desktop
Intel Celeron G1840T,,1576,,1431,,35.0,45.02,2,2015,LGA1150,Desktop
Intel Core i5-3339Y,,1569,,898,,13.0,120.67,2,2013,BGA1023,Desktop
ZHAOXIN KaiXian KX-6640MA@2.2+GHz,,1566,,722,,70.0,22.36,4,2020,unknown,Unknown
AMD Phenom X2 Dual-Core GE-5060,,1566,,1053,,,,2,2016,unknown,Unknown
Intel Pentium G3220T,69.95,1564,22.36,1447,20.68,35.0,44.68,2,2014,LGA1150,Desktop
AMD A4-6320 APU,69.99,1563,22.34,1550,22.14,65.0,24.05,1,2014,FM2,Desktop
AMD Embedded G-Series GX-420GI Radeon R7E,,1561,,854,,16.1,96.94,4,2017,FP4,"Laptop, Mobile/Embedded"
AMD Phenom II X3 B75,49.95,1560,31.23,1161,23.23,95.0,16.42,3,2009,AM3,Desktop
Intel Celeron G1830,89.0,1560,17.53,1513,17.0,53.0,29.44,2,2014,LGA1150,Desktop
Intel Core i5-4200Y,,1558,,944,,11.5,135.47,2,2013,BGA1168,Desktop
AMD Athlon II X3 420e,116.15,1557,13.4,1058,9.11,45.0,34.6,3,2011,AM3,Desktop
AMD Phenom II X3 710,169.0,1554,9.2,1069,6.33,95.0,16.36,3,2009,AM3,Desktop
AMD A4-8350B,28.99,1552,53.53,1365,47.07,65.0,23.87,1,2016,FM2+,Desktop
AMD A6-6420B APU,,1550,,1629,,65.0,23.84,1,2014,FM2,Desktop
Intel Xeon E5335,17.77,1549,87.15,817,45.99,80.0,19.36,4,2009,LGA771,Server
ZHAOXIN KaiXian ZX-C+ C4700@,,1547,,556,,,,4,2019,unknown,Unknown
AMD A4 PRO-7350B,,1544,,1438,,65.0,23.75,1,2014,FM2+,Desktop
Intel Pentium G2010,22.97,1541,67.08,1473,64.12,55.0,28.01,2,2013,FCLGA1155,Desktop
AMD Phenom II X3 B73,75.0,1538,20.5,1056,14.08,95.0,16.19,3,2010,AM3,Desktop
AMD A6-6420K APU,149.99,1538,10.26,1557,10.38,65.0,23.67,2,2014,FM2,Desktop
Intel Core i5-4210Y,,1537,,1008,,11.0,139.76,2,2013,BGA1168,Desktop
Intel Pentium G2030T,130.5,1535,11.76,1441,11.04,35.0,43.85,2,2014,LGA1155,Desktop
Intel Xeon E5504,64.0,1529,23.89,838,13.1,80.0,19.11,4,2009,LGA1366,Server
AMD Opteron X3216 APU,,1525,,1294,,15.0,101.66,2,2017,unknown,Server
Intel Xeon X5270,,1524,,1485,,80.0,19.05,2,2014,LGA771,Server
AMD Phenom 9750B Quad-Core,,1520,,913,,95.0,16,4,2009,AM2+,Desktop
Intel Core i3-540,179.95,1516,8.43,1264,7.03,73.0,20.77,2,2010,LGA1156,Desktop
AMD Athlon X3 425,,1516,,845,,95.0,15.96,3,2010,unknown,Unknown
AMD Phenom 9500 Quad-Core,29.99,1512,50.42,849,28.31,95.0,15.92,4,2008,AM2+,Desktop
AMD Opteron 2354,285.19,1509,5.29,857,3.0,115.0,13.12,4,2013,F (1207),Server
Intel Celeron G1620T,42.0,1507,35.88,1321,31.44,35.0,43.05,2,2014,LGA1155,Desktop
AMD Phenom II X4 900e,,1505,,917,,65.0,23.15,4,2010,AM3,Desktop
AMD Athlon X2 370K Dual Core,,1504,,1514,,65.0,23.14,1,2013,unknown,Unknown
AMD Phenom 9350e Quad-Core,3382.07,1501,0.44,792,0.23,65.0,23.1,4,2009,AM2+,Desktop
Intel Pentium G870,77.0,1495,19.41,1464,19.01,65.0,22.99,2,2012,FCLGA1155,Desktop
AMD A4-7300 APU,19.69,1492,75.77,1484,75.35,65.0,22.95,1,2014,FM2,Desktop
AMD A6-8570E,,1489,,1216,,35.0,42.55,2,2017,unknown,Desktop
Intel Core i3-2120T,133.89,1486,11.1,1144,8.54,35.0,42.47,2,2011,LGA1155,Desktop
AMD A4 PRO-7300B APU,,1481,,1522,,65.0,22.78,1,2014,unknown,Desktop
Intel Core i5-4300Y,,1479,,965,,11.5,128.57,2,2013,BGA1168,Desktop
Intel Celeron G1610,37.0,1478,39.95,1359,36.73,55.0,26.88,2,2012,FCLGA1155,Desktop
Intel Core m5-7Y54,,1475,,746,,,,2,2021,unknown,Unknown
Pentium Dual-Core E6000,,1472,,1542,,,,2,2011,unknown,Unknown
Intel Xeon E7320,,1469,,776,,80.0,18.36,4,2016,604,Server
AMD Phenom II X3 720,64.45,1466,22.74,1081,16.77,95.0,15.43,3,2009,AM3,Desktop
Intel Celeron G1620,70.27,1466,20.86,1407,20.02,55.0,26.65,2,2013,FCLGA1155,Desktop
