Cores,GHz,CPU ScoreSingle 15,CPU ScoreMulti 15,match
16,5.2,294,4111,Intel Core i9-12900KF
16,5.2,294,4111,Intel Core i9-12900K
16,5.1,287,3911,Intel Core i9-12900F
16,5.1,287,3911,Intel Core i9-12900
8,5.3,262,2515,Intel Core i9-11900KF
8,5.3,262,2515,Intel Core i9-11900K
16,5.4,310,4639,Intel Core i7-13700KF
16,5.4,310,4639,Intel Core i7-13700K
12,5,286,3327,Intel Core i7-12700KF
12,5,286,3327,Intel Core i7-12700K
12,4.9,259,3140,Intel Core i7-12700
14,5.1,290,3652,Intel Core i5-13600KF
14,5.1,290,3652,Intel Core i5-13600K
10,4.9,274,2596,Intel Core i5-12600KF
10,4.9,274,2596,Intel Core i5-12600K
14,4.9,270,3149,Intel Core i5-13500
10,4.6,253,2336,Intel Core i5-13400F
10,4.6,253,2336,Intel Core i5-13400
