index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred,core_count_spec,boost_clock_spec,cache_spec,tdp_spec
19,Intel Core i5-13400F,208.98,0.14285714285714285,2.5,0.6818181818181818,0.8431372549019608,,True,Raptor Lake-S,1700,10,0.07450980392156863,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.5601171098341672,Unknown,True,0.3552456839309429,False,0.3664779591977631,False,10,4.6,20.0,65
20,AMD Ryzen 9 7900X,419.99,0.1746031746031746,4.7,0.9090909090909091,0.43137254901960786,Radeon,True,Raphael,AM5,5,0.24705882352941178,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",0.8403067578491992,Unknown,True,0.574203187,True,0.7557388932997342,False,12,5.6,64.0,170
21,AMD Ryzen 9 5900X,349.0,0.1746031746031746,3.7,0.7272727272727272,0.6862745098039216,,True,Vermeer,AM4,7,0.24705882352941178,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.8527824510039546,Desktop,False,0.5644090305444887,True,0.5532638337533226,False,12,4.8,64.0,105
22,Intel Core i3-12100F,88.12,0.047619047619047616,3.3,0.6136363636363635,0.8705882352941177,,True,Alder Lake-S,1700,10,0.043137254901960784,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790",Jan-22,0.3072822215910332,Server,False,0.197211155,True,0.2050467741378715,False,4,4.3,12.0,58
23,Intel Core i5-13600KF,289.99,0.20634920634920634,3.5,0.7954545454545453,0.607843137254902,,True,Raptor Lake-S,1700,10,0.09019607843137255,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.7606895496952085,Unknown,True,0.5737051792828685,False,0.5554213124374331,False,14,5.1,24.0,125
24,AMD Ryzen 9 7950X3D,557.0,0.23809523809523808,4.2,0.9318181818181818,0.6274509803921569,Radeon,True,Raphael,AM5,5,0.4980392156862745,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.9359173239528938,Unknown,True,0.650398406,True,0.967896717,False,16,5.7,128.0,120
25,AMD Ryzen 7 5700G,165.94,0.1111111111111111,3.8,0.6818181818181818,0.8431372549019608,Radeon Vega 8,True,Cezanne,AM4,7,0.058823529411764705,DDR4,,"Apr 13th, 2021",0.5269724049028819,Desktop,False,0.3715139442231076,True,0.3456798646829369,False,8,4.6,16.0,65
26,AMD Ryzen 9 7950X,581.74,0.23809523809523808,4.5,0.9318181818181818,0.43137254901960786,Radeon,True,Raphael,AM5,5,0.24705882352941178,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",0.9541174157180624,Unknown,True,0.6437583001328021,True,1.0,False,16,5.7,64.0,170
27,Intel Core i9-12900K,344.99,0.23809523809523808,3.2,0.8181818181818182,0.607843137254902,Intel UHD Graphics 770,True,Alder Lake-S,1700,10,0.11372549019607843,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.8881775874500207,Desktop,False,0.6499003984063745,False,0.6082709102834064,False,16,5.2,30.0,125
28,AMD Ryzen 5 4500,78.2,0.07936507936507936,3.6,0.568181818181818,0.8431372549019608,,True,Renoir,AM4,7,0.027450980392156862,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.3555244816360418,Desktop,False,0.2342297476759628,True,0.2358210500880251,False,6,4.1,8.0,65
29,Intel Core i7-13700KF,382.84,0.23809523809523808,3.4,0.8636363636363636,0.607843137254902,,True,Raptor Lake-S,1700,10,0.11372549019607843,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9150516725294412,Unknown,True,0.7375498007968128,False,0.697797646,False,16,5.4,30.0,125
30,Intel Core i5-13500,247.98,0.20634920634920634,2.5,0.7272727272727272,0.8431372549019608,Intel UHD Graphics 770,True,Raptor Lake-S,1700,10,0.09019607843137255,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.7037732963359479,Unknown,True,0.4902058432934927,False,0.467775898,False,14,4.8,24.0,65
31,AMD Ryzen 7 7700,296.31,0.1111111111111111,3.6,0.8409090909090907,0.8431372549019608,Radeon,True,Raphael,AM5,5,0.12156862745098039,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.6169896654941117,Unknown,True,0.4676294820717132,True,0.5851082191307949,False,8,5.3,32.0,65
32,Intel Core i5-10400F,114.64,0.07936507936507936,2.9,0.6136363636363635,0.8431372549019608,,True,Comet Lake,1200,14,0.043137254901960784,DDR4,,"Apr 30th, 2020",0.2624702309423409,Desktop,False,0.1900730411686587,False,0.2109496358175981,False,6,4.3,12.0,65
