name,Blender Score,Number of Benchmarks
Intel Xeon Gold 6146,155.058,1
Intel Xeon E5-2667 v4,154.80599999999998,1
Intel Core i7-12700,257.67,35
Intel Core i9-13905H,257.57,5
Intel Xeon E5-2680 v3,153.97799999999998,1
Apple M2 Max,254.06,68
Intel Xeon Silver 4210R,151.32,1
Intel Xeon Silver 4116,150.39,1
AMD Ryzen 7 7745HX,248.91,6
Intel Core i7-12700F,246.83,26
Intel Xeon E5-2660 v3,147.972,2
Intel Xeon E5-2630 v4,147.456,1
Intel Xeon E5-2697 v4,242.98,1
AMD Ryzen 9 PRO 5945,242.59,1
AMD Ryzen 7 7840H w/Radeon 780M Graphics,240.81,2
Intel Core i5-13500HX,240.48,11
Intel Xeon E5-2695 v4,240.33,1
Intel Xeon E5-2650 v3,143.40599999999998,1
Intel Core i7-13800H,237.98,4
Intel Xeon W-3235,236.44,4
Intel Xeon E5-2696 v3,236.14,10
Intel Xeon E5-2686 v4,235.66,3
AMD Ryzen 9 7940HS w/ Radeon 780M Graphics,235.02,45
Intel Xeon Gold 6346,140.466,1
Intel Xeon Silver 4114,140.208,2
Intel Core i9-10900K,231.89,39
Intel Core i9-12950HX,231.47,1
Intel Xeon Silver 4310,229.27,1
Intel Core i7-13700,228.61,9
Intel Core i9-12900,228.14,4
Intel Core i9-10850K,226.43,19
Intel Core i5-12600K,226.26,55
AMD Ryzen 7 5700X,224.96,3
Genuine Intel 0000,223.24,1
Intel Xeon W-2265,222.31,1
Intel Xeon E5-2695 v2,132.31799999999998,5
Intel Xeon E5-2699 v3,219.79,7
AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,219.45,21
Intel Core i5-12600KF,218.2,11
Intel Core i5-13490F,217.13,2
Intel Core i9-10910,215.68,3
AMD Ryzen 5 7600X,214.08,102
AMD Ryzen 7 7840H with Radeon 780M Graphics,213.7,1
AMD Ryzen 7 5800X,213.65,272
AMD Ryzen 7 7840HS with Radeon 780M Graphics,212.98,3
Intel Core i9-11900K,212.95,28
Intel Core i5-13450HX,211.75,2
Intel Xeon E5-2690 v2,126.86399999999999,1
Genuine Intel 0000,211.25,2
AMD Ryzen 7 5800X3D,210.93,120
Intel Core i9-13900H,210.88,65
Intel Core i7-13700H,210.71,42
Intel Xeon E5-2640 v3,126.39599999999999,1
Intel Core i9-12900H,210.56,24
Intel Core i9-10920X,210.44,4
AMD EPYC 7252,126.00599999999999,1
Apple M1 Max,209.41,62
Intel Core i9-7900X,209.19,17
Intel Xeon E5-2643 v4,125.094,1
AMD Ryzen 5 7500F,208.04,26
Intel Core i7-11700KF,207.0,4
Intel Core i7-11700K,206.26,26
Intel Xeon E-2388G,205.93,1
Intel Core i7-6950X,205.72,2
Intel Xeon E5-2690 v4,205.6,9
Intel Core i5-13400F,203.33,34
AMD Ryzen 5 7600,203.08,43
Intel Xeon E5-2697 v3,203.06,1
AMD Ryzen 7 5700X,202.95,161
AMD Ryzen Threadripper 1920X,202.77,5
AMD Ryzen 7 5700GE,202.58,1
Intel Core i5-13400,201.07,14
Intel Xeon E5-2698 v3,200.8,2
Intel Xeon E5-2683 v4,199.4,8
Intel Core i9-10900KF,199.1,15
Apple M2 Pro,198.08,64
Intel Xeon E5-2680 v4,197.02,7
Intel Xeon E5-2630 v3,117.28799999999998,1
Intel Core i7-11700F,193.17,6
AMD Ryzen Z1 Extreme,193.03,6
AMD Ryzen Threadripper 2920X,192.25,4
AMD Ryzen 7 5700G,191.28,59
AMD Ryzen 9 6900HX,190.77,20
AMD Ryzen 7 7735HS,190.49,22
Intel Xeon Silver 4109T,114.252,7
Intel Core i9-11900,189.83,3
Intel Core i7-13620H,188.62,21
Intel Core i9-10900X,187.88,5
Intel Xeon E5-2697 v2,112.36200000000001,1
Intel Core i7-12700H,186.35,88
AMD Ryzen 7 5800,185.95,1
AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,185.69,6
Intel Core i5-13500H,185.12,12
Intel Xeon E5-2680 v3,184.22,2
AMD Ryzen 7 3800XT,183.84,7
AMD Ryzen 9 6900HS,181.96,25
AMD Ryzen 7 3700X,181.81,134
Intel Xeon E5-2667 v3,108.89999999999999,1
Intel Core i9-9900KF,181.43,26
Intel Core i7-10700KF,181.05,13
Intel Xeon W-2155,180.8,1
Intel Core i9-9900X,180.21,3
Intel Core i5-11600,178.84,1
AMD Ryzen 7 PRO 4750G,178.09,2
AMD Ryzen 7 PRO 3700,177.89,1
Intel Core i7-10700K,177.8,39
AMD Ryzen 7 3800X,176.66,47
Intel Xeon W-2150B,176.32,5
Intel Core i7-1370P,176.23,5
AMD Ryzen 7 7840U w/ Radeon 780M Graphics,174.63,6
AMD Ryzen 7 6800H,174.59,24
AMD Ryzen 7 4700G,173.55,1
AMD Ryzen 9 5900HX,173.53,22
Genuine Intel 0000,172.5,1
AMD Ryzen 7 7730U,172.26,5
Intel Core i7-1280P,171.28,3
Intel Xeon E5-2670 v2,102.486,2
AMD Ryzen 7 PRO 6850H,169.5,1
AMD Ryzen 7 6800HS Creator Edition,169.12,1
Intel Core i9-9900K,168.76,84
AMD Ryzen 7 6800HS,168.5,12
Apple M1 Pro,168.41,77
Intel Xeon E5-2680 v2,100.662,4
Intel Xeon W-2145,167.51,1
Intel Xeon E5-2690 v3,167.28,2
Intel Xeon E5-2650 v4,167.1,6
Intel Core i9-12900HK,166.73,21
AMD Ryzen 7 5800HS,165.17,10
Intel Core i9-11900KB,165.03,1
Intel Core i7-11700,164.54,7
Intel Xeon E5-2678 v3,164.53,5
Intel Core i9-9900KS,163.71,8
Intel Core i7-12650H,163.28,52
AMD Ryzen 5 5600X3D,163.0,6
Intel Xeon W-3223,162.95,1
Intel Core i9-10900,162.69,5
Intel Core i7-1360P,162.16,8
Intel Core i5-12500H,161.88,44
AMD EPYC 7252,160.8,1
Intel Core i5-12400F,160.69,102
Intel Core i7-7820X,160.69,3
Intel Core i5-12500,160.55,5
AMD Ryzen 9 5900HS,160.38,10
Intel Core i5-1340P,160.07,13
AMD Ryzen 7 5800H,159.8,76
Intel Core i5-12400,159.61,39
Intel Core i9-11900KF,158.98,2
AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,157.81,1
AMD Ryzen 7 1800X,157.66,4
Intel Xeon E5-2667 v2,94.22399999999999,4
Intel Xeon E5-2670 v3,154.5,4
AMD Ryzen 5 5600,154.46,129
Intel Core i5-11600KF,153.84,2
Intel Core i5-11600K,153.7,11
Intel Xeon E5-1660 v3,153.64,2
Intel Xeon Gold 6244,153.33,1
AMD Ryzen 7 2700X,152.42,26
AMD Ryzen 5 5600X,152.16,170
Intel Xeon W-2140B,152.11,1
Intel Xeon E5-2666 v3,150.69,6
Intel Xeon E5-2673 v3,150.6,1
Intel Xeon Silver 4210,149.28,1
AMD Ryzen 5 7535HS,148.92,1
Intel Core i5-11500,148.51,3
AMD Ryzen 5 5600G,146.61,1
Genuine Intel 0000,146.58,1
Intel Core i7-10700F,145.86,15
Intel Core i7-5960X,145.36,5
AMD Ryzen 5 3600XT,145.11,3
Intel Core i7-11850H,144.93,5
AMD Ryzen 5 5500,144.71,102
AMD Ryzen 5 5600G,144.67,93
AMD Ryzen 7 4800H,144.37,26
Intel Core i7-11800H,144.08,51
AMD Ryzen 7 4700GE,143.45,2
AMD Ryzen 7 PRO 6850U,143.25,13
Intel Core i7-6900K,142.5,13
AMD Ryzen 5 7540U w/ Radeon 740M Graphics,142.27,2
Intel Core i9-11950H,141.93,8
Intel Core i7-12800H,141.5,13
Genuine Intel 0000,141.45,1
Intel Xeon E5-2620 v4,84.75599999999999,1
AMD Ryzen 7 5800U,140.51,23
Intel Core i5-11400F,140.51,23
AMD EPYC 74F3,140.31,1
Intel Core i7-9800X,140.19,3
Intel Xeon E5-2643 v2,82.866,3
AMD Ryzen 7 PRO 7730U,136.73,1
Intel Xeon E5-2650 v3,136.69,1
Intel Xeon Gold 6126,81.978,2
AMD Ryzen 7 6800U,136.41,3
Intel Core i7-10700,136.37,17
Intel Xeon E5-2683 v3,136.2,2
AMD Ryzen 5 3600X,135.74,24
Intel Xeon Silver 4116,135.03,1
Intel Xeon E-2286M,134.94,1
Intel Core i5-11400,134.51,15
AMD Ryzen 7 2700,133.35,11
Intel Core i5-10600K,132.52,11
Intel Xeon E5-1660 v4,132.21,3
Intel Core i9-9900,131.85,3
AMD Ryzen 5 4600G,131.48,2
AMD Ryzen 7 5825U,131.46,6
Intel Xeon E5-2667 v4,131.31,11
AMD Ryzen 5 PRO 5675U,130.51,1
Intel Xeon E-2286G,129.58,1
AMD Ryzen 7 PRO 5850U,129.01,8
AMD Ryzen 7 1700X,128.57,9
AMD Ryzen 5 3600,128.41,159
AMD Ryzen 5 6600H,128.38,7
AMD Ryzen 5 4500,127.63,11
Genuine Intel 0000,127.46,2
Intel Core i9-9980HK,127.2,10
Intel Core i7-1260P,126.71,13
Intel Core i9-9880H,126.02,12
Intel Core i7-9700K,125.71,48
AMD Ryzen 7 1700,125.61,19
Intel Core i9-10885H,124.89,3
Intel Core i7-8700K,124.73,73
Intel Xeon X5690 ,74.22,3
Intel Core i5-11260H,123.22,3
Intel Core i5-12450H,123.05,30
Intel Core i7-1270P,122.94,1
Intel Core i7-8086K,122.84,6
Intel Xeon E5-2637 v3,73.5,1
AMD Ryzen 5 5600U,121.59,4
Intel Core i7-9700KF,121.01,7
AMD Ryzen 9 4900HS,120.9,5
AMD Ryzen 7 PRO 5875U,120.6,1
Intel Xeon X5680 ,72.198,1
AMD Ryzen 5 2600,120.31,1
Intel Core i5-10600KF,119.68,5
Intel Xeon Gold 6128,118.73,1
Intel Core i7-10875H,118.25,20
AMD Ryzen 5 PRO 6650U,117.76,2
Intel Core i5-12500T,117.63,3
Intel Xeon W-2135,117.56,5
Intel Core i5-13420H,116.75,11
AMD Ryzen 5 5600H,115.73,67
AMD Ryzen 5 7535U,115.22,1
AMD Ryzen 5 PRO 4650G,114.34,2
AMD Ryzen 7 5700U,114.29,7
Genuine Intel 0000,114.11,6
AMD Ryzen 5 2600X,113.83,20
Intel Core i3-12100,113.35,7
Intel Core i5-10400F,113.22,29
Intel Xeon E5-2650 v2,67.842,3
Intel Core i9-10980HK,112.95,2
"AMD Eng Sample, ZS288057TGG54_35/28/20_2/16",67.722,1
Intel Core i5-10500,112.78,1
Intel Xeon E5-2670 0,67.464,3
AMD Ryzen 5 4600H,112.23,14
Intel Xeon E5-4627 v4,112.17,1
Intel Core i5-11400H,111.95,46
Apple M2,110.59,95
Intel Core i5-1345U,110.11,2
Intel Core i3-13100,110.06,2
Intel Core i3-13100F,110.02,4
Intel Core i3-12100F,109.8,18
