name,Blender Score,Number of Benchmarks
Intel Core i5-4590T,36.11,1
AMD FX(tm)-8300,36.04,2
Intel Core i7-2600,36.03,7
Intel Core i7-2700K,35.97,2
Intel Core i7-4710MQ,35.95,4
AMD FX(tm)-8120,35.78,1
Intel Xeon E5-2620,35.42,1
Intel Core i7-3635QM,35.35,2
AMD FX(tm)-8150,34.84,2
AMD Ryzen 3 1200,34.8,1
6X Virtual,34.63,2
Intel Core i7-8569U,34.33,1
Intel Core i5-3570S,34.16,1
AMD Phenom(tm) II X6 1100T,33.35,1
AMD Ryzen 5 3450U with Radeon Vega Mobile Gfx,33.3,1
Intel Core i7-3615QM,32.82,6
Intel Core i7-3820,32.7,4
Intel Core i7-4600U,32.02,2
Intel Core i7-4578U,31.83,2
Intel Core i7-3615QE,31.8,1
Intel Core i7-10510U,31.71,5
Intel Core i5-2500K,31.14,4
Intel Core i7-3610QM,31.08,1
Intel N100,31.04,3
Intel Core i7-4720HQ,30.59,2
Virtual,30.51,2
Intel Core i7-7567U,30.48,2
Intel Xeon E5507 ,18.276,1
Intel Core i5-1030NG7,30.37,2
Intel Core i7-4712MQ,30.27,1
Intel Core i5-4570T,29.61,1
Intel Core i3-1115G4,29.32,5
Intel Core i5-8400H,29.03,1
Intel Pentium Gold G6400,28.84,1
Intel Core i5-3570K,28.75,4
Intel Xeon E3-1220 V2,28.54,1
Intel Core i5-4690,28.5,1
AMD Ryzen 9 7950X3D,17.01,1
Intel Core i5-3470,28.35,12
Intel Core i3-4130,28.24,2
Intel Core i5-3570,28.24,10
Intel Core i3-1005G1,27.84,4
AMD Phenom(tm) II X6 1045T,27.79,1
Intel Core i7-2760QM,27.72,2
Intel Core i7-3630QM,27.47,1
Intel Pentium Gold G5400,27.23,1
Intel Core i7-860,27.05,2
AMD FX(tm)-6100,26.68,4
Intel Core i5-7360U,26.66,8
Intel Core i5-5287U,26.59,2
Intel Core i5-2500,25.96,1
Intel Core i3-7020U,25.79,2
Intel Core i5-3470S,25.69,1
"AMD A10-9700 RADEON R7, 10 COMPUTE CORES 4C+6G",25.33,3
Intel Core i5-2400S,25.15,1
AMD FX(tm)-6300,25.0,4
Intel Core i5-5257U,24.92,5
Intel Core i7-2860QM,24.92,1
Intel Core i7-5557U,24.51,2
AMD Ryzen 5 6600HS Creator Edition,14.687999999999999,1
Intel Core i3-8130U,24.47,1
Intel Core m3-7Y32,24.39,3
Intel Core i7-2630QM,24.38,1
Intel Xeon Platinum 8259CL,24.23,8
Intel Core i7-6500U,23.89,7
Intel Core i7S 860,23.81,1
Intel Pentium Gold 7505,23.81,2
Intel Core i3-7100,23.76,1
Intel Core i7-7500U,23.69,10
Intel Core i3-4170,23.63,1
Intel Core i5-4278U,23.58,3
AMD A10-6700 APU with Radeon(tm) HD Graphics,23.53,1
Intel Core i5-5350U,23.27,5
Intel Xeon X5550,23.06,1
Intel Core i5-4210M,22.95,1
AMD Phenom(tm) II X4 980,22.79,2
Intel Core i5-6267U,22.65,1
Intel Core i5-7200U,22.46,8
Intel Core i5-2320,22.16,2
Intel Core i5-7300U,22.16,2
Intel Core i7-6600U,22.11,1
"AMD PRO A8-9600 R7, 10 COMPUTE CORES 4C+6G",21.77,1
Intel Xeon E3-1240 v5,21.64,3
Intel Core i5-7267U,21.61,3
"AMD A10-7700K Radeon R7, 10 Compute Cores 4C+6G",21.57,1
AMD Ryzen 3 3250U,21.52,5
Intel Core i3-6100T,21.51,1
Intel Core i5-6200U,21.51,5
Intel Core i5-2400,21.28,2
Intel Core i5-6300U,21.17,3
Intel Core m5-6Y54,21.0,2
Intel Celeron J6413,20.69,1
Intel Core i5-750,20.61,1
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,20.46,1
"AMD A12-9800 RADEON R7, 12 COMPUTE CORES 4C+8G",19.75,1
AMD Athlon(tm) X4 760K Quad Core,19.35,1
Intel Core i5-8210Y,19.3,3
Intel Core i7-13700K,11.484,1
Intel Core i5-5250U,19.12,3
Intel Core i7Q 740,18.79,1
Intel Celeron N5105,18.77,1
Intel Core i5-4258U,18.36,1
Intel Pentium 4417U,18.35,3
Intel Core i3-4100M,18.18,1
Intel Core i7-3667U,18.16,1
AMD FX(tm)-770K Quad Core,18.04,1
Intel Core i7-3520M,17.81,1
Intel Core i5-5200U,17.54,4
Intel Core i7-4500U,17.1,1
"AMD A8-7600 Radeon R7, 10 Compute Cores 4C+6G",16.98,2
Intel Core i5-4200U,16.6,1
Intel Core i5-3320M,16.36,1
Intel Core m3-8100Y,16.09,1
AMD Athlon Silver 3050U,15.95,2
Intel Pentium 5405U,15.88,2
Intel Core i3-7130U,15.81,1
AMD Athlon(tm) II X4 640,15.73,1
Intel Core i3-6100U,15.62,6
Intel Core i7Q 720 ,15.56,1
"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",15.41,1
Intel Celeron J4125,15.15,3
Intel Core i5-4300U,15.06,1
Intel Core i3-10110U,14.93,1
Intel Core i7-4650U,14.84,1
AMD Athlon(tm) II X2 280,14.72,1
Intel Core2 Quad Q6600,14.56,1
Intel Core i3-6006U,14.19,6
Intel Core i3-3220,13.52,1
Intel Core i3M 370 ,13.48,1
AMD EPYC 7443P,13.19,2
Intel Core2 Quad Q9450,13.17,1
Intel Core i3-4005U,12.92,2
Intel Core i3-5005U,12.57,8
Intel Celeron N5100,12.42,4
Intel Core i5-2520M,12.27,4
Intel Core i5-3230M,12.24,1
Intel Pentium G3260,12.24,2
Intel Celeron N4100,12.11,1
Intel Core i5-3210M,11.96,3
AMD Athlon 3000G,11.92,1
Intel Core i3-2120,11.63,2
AMD Athlon(tm) II X2 250,11.44,2
Intel Celeron G3900T,11.39,1
Intel Pentium Silver N5030,11.36,1
Intel Pentium G2020,11.26,1
Intel Core i3-8145U,11.13,1
Intel Core i3-3240,11.01,4
Intel Core2 Duo E7600,10.49,1
AMD A6-5400K APU with Radeon(tm) HD Graphics,10.46,1
Intel Core i3-3110M,10.37,3
Intel Pentium G860,10.26,1
Intel Core i3-2348M,10.2,1
Intel Pentium 6405U,10.02,1
Intel Atom x6211E,9.51,1
Intel Core i7-5500U,9.48,3
Intel Core i3M 350,9.41,1
Intel Pentium 4415Y,8.95,1
Intel Core2 Duo P8700,8.6,1
Intel Celeron J4105,8.45,2
Virtual,8.0,2
Intel Celeron N2930,7.39,1
AMD E2-6110 APU with AMD Radeon R2 Graphics,6.62,2
AMD A4-7210 APU with AMD Radeon R3 Graphics,6.11,1
Intel Xeon Gold 6342,3.318,16
Pentium Dual-Core T4300,5.44,4
Intel Core2- 6300,5.35,1
Intel Core2- 4300,5.09,1
Intel Core i3-2350M,5.02,2
Intel Celeron N4020,4.51,1
Intel Celeron N2840,4.03,3
Intel Celeron J1800,3.93,3
AMD Athlon(tm) 64 X2 Dual Core 4800+,3.82,1
Intel Atom N455,1.22,1
