name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,Blender Score,Number of Benchmarks
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",262.02,64
AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True,Raphael,Socket AM5,5 nm,32 MB,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",330.0,69
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",113.22,29
AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",181.81,134
Intel Core i3-13100F,118.99,4,3.4,4.5,58,,True,Raptor Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",110.02,4
Intel Core i9-13900KS,,24,3.0,6.0,150,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",531.61,49
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",295.41,44
AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,,True,Vermeer,Socket AM4,7 nm,64 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",413.43,458
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",521.44,95
AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 21st, 2020",131.48,2
Intel Core i3-10100F,75.83,4,3.6,4.3,65,,True,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",81.5,21
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",159.61,39
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",201.07,14
AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,,True,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",80.48,3
AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True,Raphael,Socket AM5,5 nm,64 MB,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",405.75,36
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",218.2,11
Intel Core i5-11400F,130.97,6,2.6,4.4,65,,True,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",140.51,23
AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True,Raphael,Socket AM5,5 nm,128 MB,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",414.09,32
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 19th, 2018",125.71,48
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",108.93,82
