name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,Blender Score,Number of Benchmarks
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,False,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",79.69,38
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2019",307.69,3
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,85.19,2
Intel Core i9-11900KF,,8,3.5,5.3,125,,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",158.98,2
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",72.39,3
Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,,"Jan 9th, 2011",36.03,7
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",43.52,5
AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,True,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",55.67,4
Intel Core i5-4570,121.16,4,3.2,3.2,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",45.14,3
Intel Core i5-3570K,125.0,4,3.4,3.4,77,Intel HD Graphics 4000,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Apr 29th, 2012",28.75,4
Intel Core i5-9600KF,230.0,6,3.7,4.6,95,,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",96.47,8
Intel Core i5-2400,170.99,4,3.1,3.1,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",21.28,2
Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 28th, 2019",163.71,8
AMD Ryzen 5 3500,,6,3.6,4.1,65,,False,Picasso,Socket FP5,12 nm,4 MB,DDR4,,"Jan 6th, 2019",87.5,12
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Feb 14th, 2018",84.5,6
AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",66.85,5
AMD Athlon 3000G,98.99,2,3.5,3.5,35,Radeon Vega 3,True,Zen,Socket AM4,14 nm,4 MB,DDR4,,"Nov 20th, 2019",11.92,1
Intel Pentium Gold G6400,53.94,2,4.0,4.0,58,Intel UHD Graphics 610,True,Comet Lake,Socket 1200,14 nm,4 MB,DDR4,,"Apr 30th, 2020",28.84,1
AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",157.66,4
Intel Core i3-6100,100.0,2,3.7,3.7,51,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,4 MB,DDR4,,"Sep 1st, 2015",39.48,2
AMD Ryzen 3 1200,115.0,4,3.1,3.4,65,,False,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 27th, 2017",34.8,1
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",28.5,1
Intel Core i9-12900F,432.0,16,2.4,5.1,65,,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",339.36,1
Intel Core i7-5820K,,6,3.3,3.6,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",93.84,10
Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",112.78,1
Intel Core i7-6900K,164.9,8,3.2,3.7,140,,True,Broadwell-E,Socket 2011-3,14 nm,20 MB,DDR4,,"May 31st, 2016",142.5,13
Intel Core i5-4670K,144.25,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",54.09,1
Intel Core i9-10900X,508.0,10,3.7,4.7,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",187.88,5
Intel Core i5-2500K,234.0,4,3.3,3.3,95,Intel HD Graphics 3000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",31.14,4
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",228.14,4
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 1st, 2015",56.53,4
Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",53.83,1
Intel Core i3-7100,103.0,2,3.9,3.9,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,3 MB,DDR4,,"Jan 3rd, 2017",23.76,1
Intel Pentium G3260,,2,3.3,3.3,53,Intel HD Graphics,False,,,,,,,,12.24,2
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Sep 1st, 2018",53.99,1
Intel Core i5-3570,,4,3.4,3.4,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,"Intel 6 Series, Intel 7 Series","Jun 1st, 2012",28.24,10
Intel Core i7-2700K,95.0,4,3.5,3.5,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Oct 24th, 2011",35.97,2
Intel Core i5-13600,,14,2.7,5.0,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",292.6,1
Intel Core i7-6800K,195.0,6,3.4,3.6,140,,True,Broadwell-E,Socket 2011-3,14 nm,15 MB,DDR4,,"May 31st, 2016",108.31,2
Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",38.92,6
Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True,Skylake-X,Socket 2066,14 nm,14 MB,DDR4,,"Jun 26th, 2017",209.19,17
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",162.69,5
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jun 5th, 2018",122.84,6
Intel Core i9-13900T,,24,1.1,5.3,35,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",481.74,1
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Sep 1st, 2013",39.22,6
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",189.83,3
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True,Skylake-X,Socket 2066,14 nm,22 MB,DDR4,,"Sep 1st, 2017",324.22,1
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",148.51,3
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Oct 19th, 2018",77.22,2
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,,,"Apr 30th, 2020",105.54,1
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Feb 14th, 2018",92.16,5
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,,,"Apr 23rd, 2019",131.85,3
Intel Core i5-2500,,4,3.3,3.3,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,,,"Jan 9th, 2011",25.96,1
Intel Core i9-10920X,679.99,12,3.5,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,,,"Oct 19th, 2019",210.44,4
Intel Core i3-4130,77.14,2,3.4,3.4,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Sep 1st, 2013",28.24,2
Intel Pentium Gold G5400,64.95,2,3.7,3.7,58,Intel UHD Graphics 610,True,Coffee Lake,Socket 1151,14 nm,4 MB,DDR4,,"Apr 2nd, 2018",27.23,1
Intel Core i3-4170,,2,3.7,3.7,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",23.63,1
Intel Core i7-6950X,328.29,10,3.0,3.5,140,,True,Broadwell-E,Socket 2011-3,14 nm,25 MB,DDR4,,"May 31st, 2016",205.72,2
Intel Core i3-3220,,2,3.3,3.3,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",13.52,1
Intel Core i7-4930K,175.0,6,3.4,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,12 MB,DDR3,,"Sep 1st, 2013",58.41,3
Intel Core i7-7800X,405.86,6,3.5,4.0,140,,True,Skylake-X,Socket 2066,14 nm,8.25 MB,DDR4,,"Jun 26th, 2017",108.23,2
Intel Core i5-4670,135.86,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",39.18,1
Intel Core i7-5960X,,8,3.0,3.5,140,,True,Haswell-E,Socket 2011-3,22 nm,20 MB,DDR4,,"Sep 1st, 2014",145.36,5
Intel Core i3-2120,128.12,2,3.3,3.3,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",11.63,2
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,True,Skylake-X,Socket 2066,14 nm,11 MB,,,"Jun 26th, 2017",160.69,3
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",80.63,5
Intel Core i5-11600,240.0,6,2.8,4.8,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",178.84,1
Intel Core i7-920,99.0,4,2.66,2.66,130,,True,Bloomfield,Socket 1366,45 nm,8 MB,,,"Nov 17th, 2008",43.98,3
AMD FX-8370,241.98,8,4.0,4.3,125,,False,Vishera,Socket AM3+,32 nm,8 MB,,,"Sep 2nd, 2014",47.18,2
Intel Core i9-7980XE,1193.0,18,2.6,4.4,165,,True,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Sep 1st, 2017",305.4,5
Intel Core i7-5930K,,6,3.5,3.7,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",95.7,2
Intel Core i7-3930K,298.98,6,3.2,3.2,130,,True,Sandy Bridge-E,Socket 2011,32 nm,12 MB,DDR3,,"Nov 14th, 2011",64.79,8
Intel Core i9-10940X,850.0,14,3.3,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",259.05,4
Intel Core i7-3820,,4,3.6,3.6,130,,True,Sandy Bridge-E,Socket 2011,32 nm,10 MB,DDR3,,"Feb 13th, 2012",32.7,4
Intel Xeon E5-2630,36.65,6,2.3,2.3,95,,True,Sandy Bridge-EP,Socket 2011,32 nm,15 MB,DDR3,,"Mar 6th, 2012",56.76,1
Intel Core i7-860,270.0,4,2.8,2.8,95,,True,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",27.05,2
Intel Core i7-4820K,168.0,4,3.7,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,10 MB,DDR3,,"Sep 1st, 2013",39.42,3
Intel Core i5-2400S,99.07,4,2.5,2.5,65,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",25.15,1
Intel Core i9-7920X,538.5,12,2.9,4.4,140,,True,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Sep 10th, 2017",272.86,4
Intel Core i7-4790S,,4,3.2,4.0,65,Intel HD Graphics 4000,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 11th, 2014",57.42,3
Intel Core i9-9980XE,1998.95,18,3.0,4.4,165,,True,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2018",302.2,1
Intel Core i7-4960X,1000.0,6,3.6,4.0,130,,True,Ivy Bridge-E,Socket 2011,22 nm,15 MB,DDR3,,"Sep 3rd, 2013",54.5,1
Intel Pentium G2020,94.79,2,2.9,2.9,55,Intel HD Graphics,False,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Jan 21st, 2013",11.26,1
Intel Core i7-9800X,449.2,8,3.8,4.5,165,,True,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Oct 19th, 2018",140.19,3
Intel Core i5-8500T,,6,2.1,3.5,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Apr 2nd, 2018",58.86,3
Intel Core i7-870,,4,2.93,2.93,95,,True,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",51.82,17
Intel Core i3-3240,116.69,2,3.4,3.4,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",11.01,4
Intel Core i5-2320,255.39,4,3.0,3.0,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Sep 4th, 2011",22.16,2
Intel Core i5-4590S,,4,3.0,3.7,65,Intel HD Graphics 4000,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",45.67,3
Intel Core i5-750,102.0,4,2.66,2.66,95,,False,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",20.61,1
Intel Core i7-4771,,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Sep 1st, 2013",51.07,1
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,"DDR3, DDR4","Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",45.52,1
Intel Core i5-3470S,,4,2.9,2.9,65,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",25.69,1
Intel Core i3-10320,159.18,4,3.8,4.6,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,8 MB,DDR4,,"Apr 30th, 2020",75.73,1
Intel Core i5-4570S,163.93,4,2.9,2.9,65,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",42.11,2
AMD FX-8320E,,8,3.2,4.0,95,,False,Vishera,Socket AM3+,32 nm,8 MB,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Sep 2nd, 2014",36.76,1
Intel Core i5-4440S,123.85,4,2.8,3.3,65,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,,,"Sep 1st, 2013",37.57,1
Intel Core i5-8400T,,6,1.7,3.3,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Apr 2nd, 2018",80.67,1
Intel Core i5-4570T,128.8,2,2.9,2.9,35,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,4 MB,,,"Jun 2nd, 2013",29.61,1
Intel Core i7-3960X,782.9,6,3.3,3.3,130,,True,Sandy Bridge-E,Socket 2011,32 nm,15 MB,DDR3,,"Nov 14th, 2011",73.66,3
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Sep 1st, 2015",57.29,1
Intel Core i3-7320,80.01,2,4.1,4.1,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,4 MB,DDR4,,"Jan 3rd, 2017",39.05,1
Intel Core i7-970,,6,3.2,3.2,130,,True,Gulftown,Socket 1366,32 nm,12 MB,DDR3,,"Jul 19th, 2010",42.61,1
Intel Core i3-8100T,,4,3.1,3.1,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,,,"Apr 2nd, 2018",39.91,2
Intel Core i5-4590T,,4,2.0,2.0,35,Intel HD Graphics 4000,True,Haswell,Socket 1150,22 nm,6 MB,,,"May 11th, 2014",36.11,1
Intel Core i9-9900X,,10,3.5,4.4,165,,True,Skylake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2018",180.21,3
Intel Core i5-7600T,147.91,4,2.8,3.7,35,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",42.09,2
Intel Core i3-4330,96.95,2,3.5,3.5,54,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,4 MB,DDR3,,"Sep 1st, 2013",36.41,1
Intel Core i5-3570S,,4,3.1,3.8,65,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",34.16,1
Intel Core i3-6100T,289.95,2,3.2,3.2,35,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,3 MB,"DDR3, DDR4",,"Sep 1st, 2015",21.51,1
Intel Xeon E5-2690,,8,2.9,3.8,135,,True,Sandy Bridge-EP,Socket 2011,32 nm,20 MB,DDR3,,"Mar 6th, 2012",65.44,1
Intel Xeon E-2286G,1427.23,6,4.0,4.9,95,Intel HD Graphics P630,True,Coffee Lake-S WS,Socket 1151,14 nm,12 MB,DDR4,"C242, C246","May 29th, 2019",129.58,1
Intel Xeon E3-1220 V2,,4,3.1,3.1,69,,False,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,,"May 14th, 2012",28.54,1
Intel Xeon E5-1650,,6,3.2,3.8,130,,True,Sandy Bridge-E,Socket 2011,32 nm,12 MB,,,"Mar 6th, 2012",54.02,3
Intel Xeon E5-2620,58.0,6,2.0,2.0,95,,True,Sandy Bridge-EP,Socket 2011,32 nm,15 MB,,,"Mar 6th, 2012",35.42,1
Intel Core i5-9400T,,6,1.8,3.4,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Sep 1st, 2018",61.59,2
Intel Pentium G860,,2,3.0,3.0,65,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,,"Sep 4th, 2011",10.26,1
Intel Xeon E-2244G,,4,3.8,4.8,71,Intel HD Graphics P630,True,Coffee Lake-S WS,Socket 1151,14 nm,8 MB,DDR4,"C242, C246","May 29th, 2019",73.79,1
